"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-18.2574549307317
2,3.8,90,-179,-23.7611442528824
2,3.8,90,-178,-26.410309653503
2,3.8,90,-177,-21.3304501323844
2,3.8,90,-176,-17.915658548315
2,3.8,90,-175,-16.0410894558471
2,3.8,90,-174,-15.1942225077464
2,3.8,90,-173,-15.1828537678781
2,3.8,90,-172,-16.0085357837835
2,3.8,90,-171,-17.8802165147383
2,3.8,90,-170,-21.4611390093165
2,3.8,90,-169,-28.9041761668628
2,3.8,90,-168,-27.1751815258726
2,3.8,90,-167,-19.6321749317956
2,3.8,90,-166,-15.5036337056373
2,3.8,90,-165,-12.8611735645589
2,3.8,90,-164,-11.0759060847559
2,3.8,90,-163,-9.8854979304432
2,3.8,90,-162,-9.1617032145705
2,3.8,90,-161,-8.83867554713035
2,3.8,90,-160,-8.88590005979659
2,3.8,90,-159,-9.29674057389377
2,3.8,90,-158,-10.0825014784376
2,3.8,90,-157,-11.2640820488145
2,3.8,90,-156,-12.8412093154975
2,3.8,90,-155,-14.6709407588183
2,3.8,90,-154,-16.133530805758
2,3.8,90,-153,-16.1368591168212
2,3.8,90,-152,-14.7086142980293
2,3.8,90,-151,-12.9399099500827
2,3.8,90,-150,-11.4230991901826
2,3.8,90,-149,-10.2871467775564
2,3.8,90,-148,-9.52470816606125
2,3.8,90,-147,-9.10783512043057
2,3.8,90,-146,-9.01621304891256
2,3.8,90,-145,-9.24302291797837
2,3.8,90,-144,-9.79600451556081
2,3.8,90,-143,-10.6968858661858
2,3.8,90,-142,-11.9746066890166
2,3.8,90,-141,-13.6283441961837
2,3.8,90,-140,-15.4689569703395
2,3.8,90,-139,-16.7017304274276
2,3.8,90,-138,-16.1677292966274
2,3.8,90,-137,-14.2686810737657
2,3.8,90,-136,-12.1776713548893
2,3.8,90,-135,-10.3648308341868
2,3.8,90,-134,-8.89219194363957
2,3.8,90,-133,-7.72364485681912
2,3.8,90,-132,-6.812905056236
2,3.8,90,-131,-6.12114040425583
2,3.8,90,-130,-5.61840989224573
2,3.8,90,-129,-5.28203353426458
2,3.8,90,-128,-5.09478870221344
2,3.8,90,-127,-5.04344673504259
2,3.8,90,-126,-5.11762636734856
2,3.8,90,-125,-5.30883131823537
2,3.8,90,-124,-5.60951564158731
2,3.8,90,-123,-6.01199509437466
2,3.8,90,-122,-6.50697379187703
2,3.8,90,-121,-7.0813901076599
2,3.8,90,-120,-7.71526556289324
2,3.8,90,-119,-8.37746456982645
2,3.8,90,-118,-9.02119857850718
2,3.8,90,-117,-9.58231184148906
2,3.8,90,-116,-9.98621928701219
2,3.8,90,-115,-10.1681866000756
2,3.8,90,-114,-10.1002120148072
2,3.8,90,-113,-9.80418521285385
2,3.8,90,-112,-9.33875832308378
2,3.8,90,-111,-8.77241346597755
2,3.8,90,-110,-8.16307164687849
2,3.8,90,-109,-7.55103872873315
2,3.8,90,-108,-6.96061561356852
2,3.8,90,-107,-6.40448959765695
2,3.8,90,-106,-5.88785216963231
2,3.8,90,-105,-5.41139438490743
2,3.8,90,-104,-4.97325615879776
2,3.8,90,-103,-4.57022520500044
2,3.8,90,-102,-4.19845219140387
2,3.8,90,-101,-3.85386972686099
2,3.8,90,-100,-3.53243492443253
2,3.8,90,-99,-3.23026850447424
2,3.8,90,-98,-2.9437338087282
2,3.8,90,-97,-2.66948108094121
2,3.8,90,-96,-2.40447158914832
2,3.8,90,-95,-2.14598976937313
2,3.8,90,-94,-1.8916478100176
2,3.8,90,-93,-1.6393849262157
2,3.8,90,-92,-1.38746237453074
2,3.8,90,-91,-1.13445465866693
2,3.8,90,-90,-0.879237145811223
2,3.8,90,-89,-0.620970300901233
2,3.8,90,-88,-0.359080850020875
2,3.8,90,-87,-0.093240332113124
2,3.8,90,-86,0.176658359697166
2,3.8,90,-85,0.450525741409427
2,3.8,90,-84,0.728101049605347
2,3.8,90,-83,1.00897735075916
2,3.8,90,-82,1.29262575456574
2,3.8,90,-81,1.57841813149041
2,3.8,90,-80,1.86564785111446
2,3.8,90,-79,2.15354818181059
2,3.8,90,-78,2.4413081117505
2,3.8,90,-77,2.72808545795169
2,3.8,90,-76,3.0130172198255
2,3.8,90,-75,3.29522720598116
2,3.8,90,-74,3.57383102020316
2,3.8,90,-73,3.84793853873318
2,3.8,90,-72,4.11665405126731
2,3.8,90,-71,4.3790742773766
2,3.8,90,-70,4.63428451251879
2,3.8,90,-69,4.8813532062207
2,3.8,90,-68,5.11932533046647
2,3.8,90,-67,5.34721495810733
2,3.8,90,-66,5.56399753682773
2,3.8,90,-65,5.7686024102293
2,3.8,90,-64,5.95990619975027
2,3.8,90,-63,6.13672771562814
2,3.8,90,-62,6.29782510959668
2,3.8,90,-61,6.44189601662991
2,3.8,90,-60,6.56758146126468
2,3.8,90,-59,6.67347433299858
2,3.8,90,-58,6.75813327557421
2,3.8,90,-57,6.82010289967515
2,3.8,90,-56,6.85794133129894
2,3.8,90,-55,6.87025626016761
2,3.8,90,-54,6.855750858944
2,3.8,90,-53,6.81328119755392
2,3.8,90,-52,6.7419270499771
2,3.8,90,-51,6.64107822351202
2,3.8,90,-50,6.51053862337742
2,3.8,90,-49,6.35065001675463
2,3.8,90,-48,6.16243659773793
2,3.8,90,-47,5.94776956900481
2,3.8,90,-46,5.70954750357258
2,3.8,90,-45,5.45188259921673
2,3.8,90,-44,5.18027453294158
2,3.8,90,-43,4.90174234702784
2,3.8,90,-42,4.62487161161782
2,3.8,90,-41,4.3597219146006
2,3.8,90,-40,4.11753413661594
2,3.8,90,-39,3.91018614346745
