"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
0,28,2.5,-2.83753319041422
0,28,2.51,-2.9197365070761
0,28,2.52,-3.00301630329338
0,28,2.53,-3.08741059516126
0,28,2.54,-3.17308384782249
0,28,2.55,-3.26032307374767
0,28,2.56,-3.34950518589908
0,28,2.57,-3.44105136567729
0,28,2.58,-3.53538547775457
0,28,2.59,-3.63290637155591
0,28,2.6,-3.73397533712277
0,28,2.61,-3.83891482307112
0,28,2.62,-3.94801330815897
0,28,2.63,-4.06153225972124
0,28,2.64,-4.17971272586764
0,28,2.65,-4.30278041895037
0,28,2.66,-4.4309489458389
0,28,2.67,-4.56442122211128
0,28,2.68,-4.70338923301813
0,28,2.69,-4.84803230197266
0,28,2.7,-4.99851397590153
0,28,2.71,-5.15497757674951
0,28,2.72,-5.31754041783734
0,28,2.73,-5.48628664928817
0,28,2.74,-5.66125868028192
0,28,2.75,-5.84244712813813
0,28,2.76,-6.02977926622696
0,28,2.77,-6.22310598661019
0,28,2.78,-6.42218736255089
0,28,2.79,-6.62667699523311
0,28,2.8,-6.83610546365412
0,28,2.81,-7.04986337218016
0,28,2.82,-7.26718471079627
0,28,2.83,-7.48713150905174
0,28,2.84,-7.70858106939979
0,28,2.85,-7.93021739060148
0,28,2.86,-8.150528701482
0,28,2.87,-8.36781326170112
0,28,2.88,-8.58019566671837
0,28,2.89,-8.78565571521552
0,28,2.9,-8.9820713485757
0,28,2.91,-9.16727616478804
0,28,2.92,-9.33913051782601
0,28,2.93,-9.49560332342405
0,28,2.94,-9.63485963497106
0,28,2.95,-9.75534720607148
0,28,2.96,-9.85587408212457
0,28,2.97,-9.93566918971095
0,28,2.98,-9.99441915881065
0,28,2.99,-10.0322771440715
0,28,3,-10.0498427869545
0,28,3.01,-10.0481160103395
0,28,3.02,-10.0284303389253
0,28,3.03,-9.99237333875046
0,28,3.04,-9.94170233304652
0,28,3.05,-9.87826289114616
0,28,3.06,-9.80391606875419
0,28,3.07,-9.72047846701371
0,28,3.08,-9.62967728370036
0,28,3.09,-9.53312089550959
0,28,3.1,-9.43228416604828
0,28,3.11,-9.32850646563476
0,28,3.12,-9.22299910639346
0,28,3.13,-9.1168575268038
0,28,3.14,-9.01107258798164
0,28,3.15,-8.90653578428738
0,28,3.16,-8.80403591391071
0,28,3.17,-8.7042493427191
0,28,3.18,-8.6077300655907
0,28,3.19,-8.51490651407096
0,28,3.2,-8.4260888233923
0,28,3.21,-8.3414853862742
0,28,3.22,-8.26122417030537
0,28,3.23,-8.18537385973754
0,28,3.24,-8.11396156394096
0,28,3.25,-8.04698597381842
0,28,3.26,-7.98442635565067
0,28,3.27,-7.92624841527712
0,28,3.28,-7.87240809751165
0,28,3.29,-7.82285414184756
0,28,3.3,-7.77752992482028
0,28,3.31,-7.73637488586355
0,28,3.32,-7.69932568065568
0,28,3.33,-7.66631712136862
0,28,3.34,-7.63728292520216
0,28,3.35,-7.6121562817778
0,28,3.36,-7.59087025262689
0,28,3.37,-7.5733580235985
0,28,3.38,-7.55955303883958
0,28,3.39,-7.54938905084143
0,28,3.4,-7.54280012411554
0,28,3.41,-7.5397206302923
0,28,3.42,-7.54008527004936
0,28,3.43,-7.54382915253415
0,28,3.44,-7.55088795603208
0,28,3.45,-7.56119818463827
0,28,3.46,-7.5746975246354
0,28,3.47,-7.59132529118447
0,28,3.48,-7.61102294091022
0,28,3.49,-7.63373460930237
0,28,3.5,-7.65940761412457
0,28,3.51,-7.68799284812437
0,28,3.52,-7.71944496752196
0,28,3.53,-7.7537222685815
0,28,3.54,-7.7907861347842
0,28,3.55,-7.83059993346707
0,28,3.56,-7.87312724474021
0,28,3.57,-7.91832931799847
0,28,3.58,-7.96616167260213
0,28,3.59,-8.01656978870918
0,28,3.6,-8.06948387051978
0,28,3.61,-8.12481270581458
0,28,3.62,-8.18243669151111
0,28,3.63,-8.24220014511016
0,28,3.64,-8.30390307836191
0,28,3.65,-8.36729267651971
0,28,3.66,-8.43205481034384
0,28,3.67,-8.49780601526678
0,28,3.68,-8.56408650748138
0,28,3.69,-8.63035496899098
0,28,3.7,-8.69598601129872
0,28,3.71,-8.76027139390609
0,28,3.72,-8.82242618465976
0,28,3.73,-8.88160104239164
0,28,3.74,-8.9369016059091
0,28,3.75,-8.98741551972472
0,28,3.76,-9.032246877617
0,28,3.77,-9.07055684077877
0,28,3.78,-9.10160799398864
0,28,3.79,-9.12480884175258
0,28,3.8,-9.13975398976186
0,28,3.81,-9.14625528907114
0,28,3.82,-9.14435974465312
0,28,3.83,-9.13435133908305
0,28,3.84,-9.11673590883058
0,28,3.85,-9.09221045341798
0,28,3.86,-9.06162028312291
0,28,3.87,-9.02590879762313
0,28,3.88,-8.98606519341982
0,28,3.89,-8.94307501637561
0,28,3.9,-8.89787741083416
0,28,3.91,-8.85133149013551
0,28,3.92,-8.8041927949852
0,28,3.93,-8.75709956943385
0,28,3.94,-8.71056770668324
0,28,3.95,-8.66499272519116
0,28,3.96,-8.62065697759408
0,28,3.97,-8.57774037991351
0,28,3.98,-8.53633317975365
0,28,3.99,-8.49644957798423
0,28,4,-8.45804132022398
0,28,4.01,-8.42101064687177
0,28,4.02,-8.38522221656874
0,28,4.03,-8.35051379363176
0,28,4.04,-8.31670561851434
0,28,4.05,-8.28360846869547
0,28,4.06,-8.25103047364901
0,28,4.07,-8.21878277946032
0,28,4.08,-8.18668417298671
0,28,4.09,-8.15456477773994
0,28,4.1,-8.12226892826147
0,28,4.11,-8.08965731998365
0,28,4.12,-8.05660851989144
0,28,4.13,-8.02301991149168
0,28,4.14,-7.98880813689207
0,28,4.15,-7.95390908997437
0,28,4.16,-7.918277508147
0,28,4.17,-7.88188620611134
0,28,4.18,-7.8447249933528
0,28,4.19,-7.80679931734595
0,28,4.2,-7.76812867624942
0,28,4.21,-7.72874484755917
0,28,4.22,-7.68868998212628
0,28,4.23,-7.64801461547126
0,28,4.24,-7.60677564984945
0,28,4.25,-7.565034360567
0,28,4.26,-7.52285447830218
0,28,4.27,-7.48030039552172
0,28,4.28,-7.43743553955951
0,28,4.29,-7.39432094777529
0,28,4.3,-7.35101407180786
0,28,4.31,-7.30756782874687
0,28,4.32,-7.26402990757628
0,28,4.33,-7.22044232999691
0,28,4.34,-7.17684125616317
0,28,4.35,-7.13325701834423
0,28,4.36,-7.08971435930933
0,28,4.37,-7.04623284750331
0,28,4.38,-7.00282743787769
0,28,4.39,-6.95950914554079
0,28,4.4,-6.91628579907713
0,28,4.41,-6.87316284129628
0,28,4.42,-6.83014414710435
0,28,4.43,-6.78723283092656
0,28,4.44,-6.74443201942589
0,28,4.45,-6.70174556894677
0,28,4.46,-6.65917871097095
0,28,4.47,-6.6167386127359
0,28,4.48,-6.57443484389676
0,28,4.49,-6.53227974360269
0,28,4.5,-6.4902886855326
0,28,4.51,-6.4484802412455
0,28,4.52,-6.40687624462679
0,28,4.53,-6.36550176225069
0,28,4.54,-6.32438497614622
0,28,4.55,-6.2835569867722
0,28,4.56,-6.24305154500513
0,28,4.57,-6.20290472265368
0,28,4.58,-6.16315453146459
0,28,4.59,-6.12384050080614
0,28,4.6,-6.08500322423619
0,28,4.61,-6.04668388500853
0,28,4.62,-6.00892377027769
0,28,4.63,-5.97176378335988
0,28,4.64,-5.93524396293794
0,28,4.65,-5.89940301760513
0,28,4.66,-5.86427788367373
0,28,4.67,-5.82990331378323
0,28,4.68,-5.79631150357718
0,28,4.69,-5.7635317636236
0,28,4.7,-5.73159024386631
0,28,4.71,-5.70050971822991
0,28,4.72,-5.67030943755439
0,28,4.73,-5.6410050597651
0,28,4.74,-5.61260866700564
0,28,4.75,-5.58512888023353
0,28,4.76,-5.55857108228864
0,28,4.77,-5.53293776039505
0,28,4.78,-5.50822897805759
0,28,4.79,-5.48444298387946
0,28,4.8,-5.46157696038982
0,28,4.81,-5.43962790893048
0,28,4.82,-5.41859365645039
0,28,4.83,-5.39847395631753
0,28,4.84,-5.37927163795808
0,28,4.85,-5.36099373983684
0,28,4.86,-5.34365253837368
0,28,4.87,-5.32726636420864
0,28,4.88,-5.31186008014416
0,28,4.89,-5.297465086245
0,28,4.9,-5.28411872131053
0,28,4.91,-5.27186294990179
0,28,4.92,-5.26074226213314
0,28,4.93,-5.25080076842571
0,28,4.94,-5.24207853863589
0,28,4.95,-5.23460730611886
0,28,4.96,-5.22840572152366
0,28,4.97,-5.22347438698533
0,28,4.98,-5.21979091915972
0,28,4.99,-5.21730527340845
0,28,5,-5.2159355106958
2,28,2.5,-1.3160199538422
2,28,2.51,-1.37766892612467
2,28,2.52,-1.4416608524779
2,28,2.53,-1.50793355963032
2,28,2.54,-1.57641449913826
2,28,2.55,-1.64702057465291
2,28,2.56,-1.7196585297266
2,28,2.57,-1.79422592403052
2,28,2.58,-1.87061269461641
2,28,2.59,-1.94870327220491
2,28,2.6,-2.02837919995913
2,28,2.61,-2.1095221827297
2,28,2.62,-2.19201747719186
2,28,2.63,-2.27575751693037
2,28,2.64,-2.36064565143923
2,28,2.65,-2.44659986511509
2,28,2.66,-2.53355633320294
2,28,2.67,-2.62147266808057
2,28,2.68,-2.71033071272781
2,28,2.69,-2.80013874944437
2,28,2.7,-2.89093301054274
2,28,2.71,-2.9827784024566
2,28,2.72,-3.07576838319992
2,28,2.73,-3.17002396264579
2,28,2.74,-3.2656918229685
2,28,2.75,-3.36294158069979
2,28,2.76,-3.4619622311653
2,28,2.77,-3.56295783104381
2,28,2.78,-3.66614248764085
2,28,2.79,-3.77173473827523
2,28,2.8,-3.87995142579457
2,28,2.81,-3.99100121372572
2,28,2.82,-4.1050779437765
2,28,2.83,-4.22235412303427
2,28,2.84,-4.3429749336083
2,28,2.85,-4.46705326302237
2,28,2.86,-4.59466631447856
2,28,2.87,-4.72585429963805
2,28,2.88,-4.86062145513137
2,28,2.89,-4.99893909608716
2,28,2.9,-5.14074966230996
2,28,2.91,-5.28596993378693
2,28,2.92,-5.43449117477059
2,28,2.93,-5.58617432128607
2,28,2.94,-5.74083961376772
2,28,2.95,-5.89825195806548
2,28,2.96,-6.05810499565321
2,28,2.97,-6.22000757527676
2,28,2.98,-6.38347572730128
2,28,2.99,-6.54793170545269
2,28,3,-6.7127099303578
2,28,3.01,-6.87706841236696
2,28,3.02,-7.04020372262663
2,28,3.03,-7.20126771241203
2,28,3.04,-7.35938465775911
2,28,3.05,-7.51366804817312
2,28,3.06,-7.66323667160492
2,28,3.07,-7.8072299115986
2,28,3.08,-7.94482227834062
2,28,3.09,-8.07523718794165
2,28,3.1,-8.19775993449845
2,28,3.11,-8.31174971108484
2,28,3.12,-8.41665046043727
2,28,3.13,-8.51200029220724
2,28,3.14,-8.59743919761403
2,28,3.15,-8.67271482092591
2,28,3.16,-8.73768610123056
2,28,3.17,-8.79232466630438
2,28,3.18,-8.83671393348239
2,28,3.19,-8.87104594429136
2,28,3.2,-8.89561602805324
2,28,3.21,-8.91081545492743
2,28,3.22,-8.91712230148203
2,28,3.23,-8.9150908108726
2,28,3.24,-8.9053395817377
2,28,3.25,-8.88853895982805
2,28,3.26,-8.86539802864505
2,28,3.27,-8.83665159589056
2,28,3.28,-8.80304755009679
2,28,3.29,-8.76533491859424
2,28,3.3,-8.72425289914419
2,28,3.31,-8.68052107006824
2,28,3.32,-8.63483091480325
2,28,3.33,-8.58783873267831
2,28,3.34,-8.54015995254045
2,28,3.35,-8.49236482153508
2,28,3.36,-8.44497540770355
2,28,3.37,-8.39846383048932
2,28,3.38,-8.35325161551751
2,28,3.39,-8.30971005700781
2,28,3.4,-8.26816146142729
2,28,3.41,-8.2288811388907
2,28,3.42,-8.19210000459808
2,28,3.43,-8.15800765201167
2,28,3.44,-8.12675576337885
2,28,3.45,-8.09846173216311
2,28,3.46,-8.07321238589462
2,28,3.47,-8.05106771608234
2,28,3.48,-8.03206454261846
2,28,3.49,-8.01622006153042
2,28,3.5,-8.00353524478652
2,28,3.51,-7.99399807708891
2,28,3.52,-7.98758662562031
2,28,3.53,-7.98427194368143
2,28,3.54,-7.98402080802933
2,28,3.55,-7.98679828329733
2,28,3.56,-7.99257009665879
2,28,3.57,-8.00130479392119
2,28,3.58,-8.01297563677688
2,28,3.59,-8.02756219219875
2,28,3.6,-8.04505156079
2,28,3.61,-8.06543919247486
2,28,3.62,-8.0887292456359
2,28,3.63,-8.11493445916471
2,28,3.64,-8.14407552458022
2,28,3.65,-8.17617996543715
2,28,3.66,-8.21128055140496
2,28,3.67,-8.24941329233924
2,28,3.68,-8.29061507138963
2,28,3.69,-8.33492098425548
2,28,3.7,-8.38236145339242
2,28,3.71,-8.43295918133688
2,28,3.72,-8.48672599709888
2,28,3.73,-8.54365963509198
2,28,3.74,-8.60374046904561
2,28,3.75,-8.66692820575308
2,28,3.76,-8.73315852746386
2,28,3.77,-8.80233965944176
2,28,3.78,-8.874348832973
2,28,3.79,-8.94902861633195
2,28,3.8,-9.02618309942351
2,28,3.81,-9.10557394460904
2,28,3.82,-9.1869163590392
2,28,3.83,-9.26987510459162
2,28,3.84,-9.35406074101533
2,28,3.85,-9.43902639480862
2,28,3.86,-9.52426545614414
2,28,3.87,-9.60921071967924
2,28,3.88,-9.69323558745817
2,28,3.89,-9.7756580220377
2,28,3.9,-9.85574794834404
2,28,3.91,-9.93273872322707
2,28,3.92,-10.0058430937753
2,28,3.93,-10.0742737306754
2,28,3.94,-10.137267952636
2,28,3.95,-10.1941156831819
2,28,3.96,-10.2441890684215
2,28,3.97,-10.2869716330996
2,28,3.98,-10.3220844806582
2,28,3.99,-10.3493069627266
2,28,4,-10.368589527343
2,28,4.01,-10.3800571087626
2,28,4.02,-10.3840023693323
2,28,4.03,-10.3808691981547
2,28,4.04,-10.3712279252426
2,28,4.05,-10.3557445432691
2,28,4.06,-10.3351467125464
2,28,4.07,-10.310189408076
2,28,4.08,-10.2816227825502
2,28,4.09,-10.250164262039
2,28,4.1,-10.2164761897729
2,28,4.11,-10.1811496148661
2,28,4.12,-10.1446941879284
2,28,4.13,-10.1075336367504
2,28,4.14,-10.0700059760592
2,28,4.15,-10.0323674478418
2,28,4.16,-9.99479916489151
2,28,4.17,-9.95741550306734
2,28,4.18,-9.92027342000476
2,28,4.19,-9.88338203766757
2,28,4.2,-9.84671198899223
2,28,4.21,-9.81020417888565
2,28,4.22,-9.77377773806481
2,28,4.23,-9.73733705122186
2,28,4.24,-9.70077781907989
2,28,4.25,-9.66399216963549
2,28,4.26,-9.62687287090568
2,28,4.27,-9.58931671971421
2,28,4.28,-9.55122719213074
2,28,4.29,-9.51251644428779
2,28,4.3,-9.47310675001699
2,28,4.31,-9.43293145606729
2,28,4.32,-9.39193552807555
2,28,4.33,-9.35007575202538
2,28,4.34,-9.30732064740154
2,28,4.35,-9.26365014015086
2,28,4.36,-9.21905503626561
2,28,4.37,-9.17353633058743
2,28,4.38,-9.12710438050208
2,28,4.39,-9.07977797072287
2,28,4.4,-9.03158329344994
2,28,4.41,-8.98255286786255
2,28,4.42,-8.9327244240346
2,28,4.43,-8.88213977865464
2,28,4.44,-8.8308437328483
2,28,4.45,-8.77888302517146
2,28,4.46,-8.7263053745093
2,28,4.47,-8.67315864715015
2,28,4.48,-8.61949017880335
2,28,4.49,-8.56534627524906
2,28,4.5,-8.51077190468621
2,28,4.51,-8.45581058143799
2,28,4.52,-8.40050442594084
2,28,4.53,-8.34489437183315
2,28,4.54,-8.28902047954509
2,28,4.55,-8.23292230880883
2,28,4.56,-8.17663930097083
2,28,4.57,-8.12021112594338
2,28,4.58,-8.0636779571861
2,28,4.59,-8.00708064965475
2,28,4.6,-7.9504608082761
2,28,4.61,-7.89386074637952
2,28,4.62,-7.83732334324386
2,28,4.63,-7.78089181670674
2,28,4.64,-7.72460943045367
2,28,4.65,-7.6685191564719
2,28,4.66,-7.6126633118515
2,28,4.67,-7.55708318640062
2,28,4.68,-7.50181867414199
2,28,4.69,-7.44690791827176
2,28,4.7,-7.39238697601739
2,28,4.71,-7.33828950727871
2,28,4.72,-7.28464648907956
2,28,4.73,-7.23148595669092
2,28,4.74,-7.1788327717312
2,28,4.75,-7.12670841749408
2,28,4.76,-7.07513082207308
2,28,4.77,-7.02411421042524
2,28,4.78,-6.97366898724083
2,28,4.79,-6.92380165327499
2,28,4.8,-6.87451475858393
2,28,4.81,-6.825806896841
2,28,4.82,-6.77767274554754
2,28,4.83,-6.73010315746735
2,28,4.84,-6.68308530897404
2,28,4.85,-6.63660291117901
2,28,4.86,-6.59063648967326
2,28,4.87,-6.54516373843405
2,28,4.88,-6.50015995288267
2,28,4.89,-6.45559854619647
2,28,4.9,-6.41145165175436
2,28,4.91,-6.36769081303072
2,28,4.92,-6.32428776039031
2,28,4.93,-6.28121527219223
2,28,4.94,-6.23844811560653
2,28,4.95,-6.19596406096434
2,28,4.96,-6.15374496290084
2,28,4.97,-6.11177790290858
2,28,4.98,-6.0700563924751
2,28,4.99,-6.0285816454919
2,28,5,-5.98736394538735
4,28,2.5,-1.19328878345707
4,28,2.51,-1.24747589133495
4,28,2.52,-1.30394559887645
4,28,2.53,-1.36270825928294
4,28,2.54,-1.42376473927344
4,28,2.55,-1.48710569877574
4,28,2.56,-1.55271102093809
4,28,2.57,-1.62054940156383
4,28,2.58,-1.69057812841211
4,28,2.59,-1.76274310276411
4,28,2.6,-1.83697917291455
4,28,2.61,-1.9132108564955
4,28,2.62,-1.99135352172817
4,28,2.63,-2.0713150751784
4,28,2.64,-2.15299816679745
4,28,2.65,-2.23630287651366
4,28,2.66,-2.32112979738608
4,28,2.67,-2.40738338640561
4,28,2.68,-2.49497542284723
4,28,2.69,-2.58382840068591
4,28,2.7,-2.67387868744392
4,28,2.71,-2.76507930447668
4,28,2.72,-2.85740221747433
4,28,2.73,-2.9508400635971
4,28,2.74,-3.04540727627796
4,28,2.75,-3.14114059548039
4,28,2.76,-3.2380989682489
4,28,2.77,-3.33636285279885
4,28,2.78,-3.43603294223068
4,28,2.79,-3.53722832497387
4,28,2.8,-3.64008410148444
4,28,2.81,-3.74474848243208
4,28,2.82,-3.85137940299985
4,28,2.83,-3.96014070010561
4,28,2.84,-4.07119791273179
4,28,2.85,-4.18471377830951
4,28,2.86,-4.30084350864657
4,28,2.87,-4.41972993604808
4,28,2.88,-4.54149862339142
4,28,2.89,-4.66625303080466
4,28,2.9,-4.79406982652547
4,28,2.91,-4.92499442115762
4,28,2.92,-5.05903679395869
4,28,2.93,-5.19616766841187
4,28,2.94,-5.33631508387454
4,28,2.95,-5.47936140242465
4,28,2.96,-5.62514078691875
4,28,2.97,-5.77343718910013
4,28,2.98,-5.92398289593924
4,28,2.99,-6.07645769769768
4,28,3,-6.23048876052211
4,28,3.01,-6.38565130624468
4,28,3.02,-6.54147021772319
4,28,3.03,-6.69742269391259
4,28,3.04,-6.85294206934405
4,28,3.05,-7.00742288333858
4,28,3.06,-7.160227233002
4,28,3.07,-7.3106923722679
4,28,3.08,-7.45813943272261
4,28,3.09,-7.60188305081492
4,28,3.1,-7.74124160398353
4,28,3.11,-7.87554770039013
4,28,3.12,-8.00415854699987
4,28,3.13,-8.1264658473745
4,28,3.14,-8.24190495416328
4,28,3.15,-8.34996311205647
4,28,3.16,-8.45018675494813
4,28,3.17,-8.54218793898165
4,28,3.18,-8.62565007184337
4,28,3.19,-8.70033311405663
4,28,3.2,-8.7660783682064
4,28,3.21,-8.82281284239115
4,28,3.22,-8.87055299885723
4,28,3.23,-8.9094075171679
4,28,3.24,-8.93957856021404
4,28,3.25,-8.9613609740563
4,28,3.26,-8.97513890718463
4,28,3.27,-8.98137950603588
4,28,3.28,-8.98062360996307
4,28,3.29,-8.9734736863833
4,28,3.3,-8.96057955916821
4,28,3.31,-8.94262273477365
4,28,3.32,-8.92030027867401
4,28,3.33,-8.89430921875375
4,28,3.34,-8.86533235621776
4,28,3.35,-8.83402617310703
4,28,3.36,-8.80101127669205
4,28,3.37,-8.76686555678068
4,28,3.38,-8.73211998965916
4,28,3.39,-8.69725682898212
4,28,3.4,-8.66270979369376
4,28,3.41,-8.62886579810072
4,28,3.42,-8.59606776215422
4,28,3.43,-8.5646180775861
4,28,3.44,-8.53478237223711
4,28,3.45,-8.50679329576164
4,28,3.46,-8.48085413244103
4,28,3.47,-8.45714212206243
4,28,3.48,-8.43581143224996
4,28,3.49,-8.41699577291406
4,28,3.5,-8.40081067566899
4,28,3.51,-8.38735547982293
4,28,3.52,-8.37671507441828
4,28,3.53,-8.36896144564078
4,28,3.54,-8.36415507345552
4,28,3.55,-8.36234621292883
4,28,3.56,-8.36357608622925
4,28,3.57,-8.36787800212688
4,28,3.58,-8.37527841180955
4,28,3.59,-8.3857979034868
4,28,3.6,-8.39945213371873
4,28,3.61,-8.41625269061374
4,28,3.62,-8.43620788275755
4,28,3.63,-8.45932344763661
4,28,3.64,-8.4856031740278
4,28,3.65,-8.51504943395549
4,28,3.66,-8.54766362098552
4,28,3.67,-8.58344649247855
4,28,3.68,-8.62239841362903
4,28,3.69,-8.6645195003681
4,28,3.7,-8.70980965624212
4,28,3.71,-8.75826849501052
4,28,3.72,-8.80989513599934
4,28,3.73,-8.86468785394609
4,28,3.74,-8.92264356178025
4,28,3.75,-8.98375711082918
4,28,3.76,-9.04802042716765
4,28,3.77,-9.1154216103688
4,28,3.78,-9.18594440072746
4,28,3.79,-9.25956905701767
4,28,3.8,-9.3362768903827
4,28,3.81,-9.41606218132176
4,28,3.82,-9.4989543321927
4,28,3.83,-9.58504245050442
4,28,3.84,-9.67446990319223
4,28,3.85,-9.76736091474856
4,28,3.86,-9.86371508058013
4,28,3.87,-9.96338235487201
4,28,3.88,-10.0661427964542
4,28,3.89,-10.1717903529788
4,28,3.9,-10.2801565290128
4,28,3.91,-10.3910934041502
4,28,3.92,-10.5044493805532
4,28,3.93,-10.6200511025154
4,28,3.94,-10.737692005794
4,28,3.95,-10.8571248831762
4,28,3.96,-10.9780564266921
