"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,15,2.5,-1.96278899701612
2,15,2.51,-2.02621308546564
2,15,2.52,-2.09236555738932
2,15,2.53,-2.1612507537201
2,15,2.54,-2.23289285672324
2,15,2.55,-2.30734155458052
2,15,2.56,-2.38467433119157
2,15,2.57,-2.46499598525332
2,15,2.58,-2.54843616323619
2,15,2.59,-2.63514566084687
2,15,2.6,-2.72529209992769
2,15,2.61,-2.81905540164039
2,15,2.62,-2.91662330302405
2,15,2.63,-3.01818702650227
2,15,2.64,-3.12393711582799
2,15,2.65,-3.23405939243431
2,15,2.66,-3.3487309546789
2,15,2.67,-3.46811613052863
2,15,2.68,-3.59236229499062
2,15,2.69,-3.72159547224518
2,15,2.7,-3.85591565596683
2,15,2.71,-3.99539179808085
2,15,2.72,-4.14005643546999
2,15,2.73,-4.28989994578223
2,15,2.74,-4.44486444769869
2,15,2.75,-4.60483738820815
2,15,2.76,-4.76964489010754
2,15,2.77,-4.93904496764494
2,15,2.78,-5.11272075741976
2,15,2.79,-5.29027395563669
2,15,2.8,-5.47121870146963
2,15,2.81,-5.65497619888714
2,15,2.82,-5.84087042415106
2,15,2.83,-6.02812532044731
2,15,2.84,-6.21586393042246
2,15,2.85,-6.40310995590441
2,15,2.86,-6.58879225438156
2,15,2.87,-6.7717527751988
2,15,2.88,-6.95075839528914
2,15,2.89,-7.12451702466279
2,15,2.9,-7.29169820638851
2,15,2.91,-7.45095822670689
2,15,2.92,-7.6009694740874
2,15,2.93,-7.74045344376466
2,15,2.94,-7.86821638907451
2,15,2.95,-7.98318619973963
2,15,2.96,-8.08444868475558
2,15,2.97,-8.17128111567537
2,15,2.98,-8.24318071786305
2,15,2.99,-8.29988585297763
2,15,3,-8.34138796368947
2,15,3.01,-8.3679329572704
2,15,3.02,-8.38001153871361
2,15,3.03,-8.37833896258393
2,15,3.04,-8.36382561568051
2,15,3.05,-8.33754062432797
2,15,3.06,-8.30067118441222
2,15,3.07,-8.25448047847049
2,15,3.08,-8.20026687723587
2,15,3.09,-8.1393266856343
2,15,3.1,-8.07292208415528
2,15,3.11,-8.00225524454391
2,15,3.12,-7.92844895976753
2,15,3.13,-7.85253359083078
2,15,3.14,-7.77543973401002
2,15,3.15,-7.69799575948789
2,15,3.16,-7.62092925311039
2,15,3.17,-7.54487138168648
2,15,3.18,-7.47036326900297
2,15,3.19,-7.3978635857174
2,15,3.2,-7.32775669705744
2,15,3.21,-7.26036085904045
2,15,3.22,-7.19593609367711
2,15,3.23,-7.13469149824089
2,15,3.24,-7.07679184896077
2,15,3.25,-7.02236344403108
2,15,3.26,-6.9714991951018
2,15,3.27,-6.92426302202466
2,15,3.28,-6.88069363479975
2,15,3.29,-6.84080780186785
2,15,3.3,-6.80460320764777
2,15,3.31,-6.77206099698108
2,15,3.32,-6.74314809225717
2,15,3.33,-6.71781935263983
2,15,3.34,-6.69601962602822
2,15,3.35,-6.67768572498956
2,15,3.36,-6.66274833949533
2,15,3.37,-6.65113388319186
2,15,3.38,-6.6427662571244
2,15,3.39,-6.63756850593091
2,15,3.4,-6.63546433676012
2,15,3.41,-6.6363794704134
2,15,3.42,-6.64024279699499
2,15,3.43,-6.64698731395487
2,15,3.44,-6.65655083192983
2,15,3.45,-6.66887644226487
2,15,3.46,-6.68391274858876
2,15,3.47,-6.70161387248926
2,15,3.48,-6.72193924951879
2,15,3.49,-6.74485323599679
2,15,3.5,-6.77032454911184
2,15,3.51,-6.79832556262187
2,15,3.52,-6.82883147813588
2,15,3.53,-6.86181938780817
2,15,3.54,-6.89726723865381
2,15,3.55,-6.93515270202487
2,15,3.56,-6.97545194451556
2,15,3.57,-7.0181382891322
2,15,3.58,-7.06318074839917
2,15,3.59,-7.11054240459837
2,15,3.6,-7.16017860700274
2,15,3.61,-7.21203495227342
2,15,3.62,-7.26604501278814
2,15,3.63,-7.32212777940111
2,15,3.64,-7.38018479113039
2,15,3.65,-7.44009693600292
2,15,3.66,-7.50172092659386
2,15,3.67,-7.56488548281907
2,15,3.68,-7.62938729553227
2,15,3.69,-7.69498689944887
