"$Ha [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
0,2.5,-0.874080332675785
0,2.51,-0.898423148454429
0,2.52,-0.924795872645131
0,2.53,-0.953350989644282
0,2.54,-0.984245509565078
0,2.55,-1.0176395666744
0,2.56,-1.05369516661505
0,2.57,-1.09257511532328
0,2.58,-1.13444212315679
0,2.59,-1.17945803526251
0,2.6,-1.22778310036275
0,2.61,-1.27957516212672
0,2.62,-1.33498864610175
0,2.63,-1.39417322374372
0,2.64,-1.45727206197905
0,2.65,-1.52441960582021
0,2.66,-1.59573888285216
0,2.67,-1.67133834964924
0,2.68,-1.75130830865879
0,2.69,-1.83571690134021
0,2.7,-1.92460566504336
0,2.71,-2.01798508223392
0,2.72,-2.11583628729987
0,2.73,-2.2181964877464
0,2.74,-2.32587005063635
0,2.75,-2.43757003378874
0,2.76,-2.55223189220329
0,2.77,-2.67082622617806
0,2.78,-2.79304554562148
0,2.79,-2.91849871519341
0,2.8,-3.04676347985383
0,2.81,-3.17737016032509
0,2.82,-3.30979446131529
0,2.83,-3.44345554904209
0,2.84,-3.57771715161675
0,2.85,-3.71189098519854
0,2.86,-3.84524234703984
0,2.87,-3.97699787028641
0,2.88,-4.1063554394385
0,2.89,-4.2324961996307
0,2.9,-4.35459848820305
0,2.91,-4.47185338971003
0,2.92,-4.5834814787325
0,2.93,-4.68875018242262
0,2.94,-4.78699108172602
0,2.95,-4.87761639218791
0,2.96,-4.96013383620601
0,2.97,-5.034159148809
0,2.98,-5.09942555273565
0,2.99,-5.15578969233642
0,3,-5.20323371810821
0,3.01,-5.24186344595789
0,3.02,-5.27190275445166
0,3.03,-5.29368460509891
0,3.04,-5.30763925347576
0,3.05,-5.31428034682038
0,3.06,-5.31418966849601
0,3.07,-5.30800129153104
0,3.08,-5.29638584969243
0,3.09,-5.28003553783166
0,3.1,-5.25965032883933
0,3.11,-5.23592575790632
0,3.12,-5.2095424895665
0,3.13,-5.18115775975624
0,3.14,-5.15139868086422
0,3.15,-5.12085731598191
0,3.16,-5.09008736991063
0,3.17,-5.05960230737061
0,3.18,-5.02987469036095
0,3.19,-5.00133652312656
0,3.2,-4.97438040096871
0,3.21,-4.94936127471212
0,3.22,-4.92659866301374
0,3.23,-4.90637916744143
0,3.24,-4.88895916852144
0,3.25,-4.87456760344245
0,3.26,-4.86340874695625
0,3.27,-4.85566493574093
0,3.28,-4.85149919288194
0,3.29,-4.85105772317101
0,3.3,-4.85447226175249
0,3.31,-4.86186226847734
0,3.32,-4.8733369684206
0,3.33,-4.88899724565878
0,3.34,-4.90893740286887
0,3.35,-4.93324680385731
0,3.36,-4.96201141998505
0,3.37,-4.99531530481095
0,3.38,-5.03324202427444
0,3.39,-5.07587607246872
0,3.4,-5.12330430555188
0,3.41,-5.17561742857949
0,3.42,-5.23291157193115
0,3.43,-5.29528999540432
0,3.44,-5.36286495877372
0,3.45,-5.43575979745344
0,3.46,-5.51411124064844
0,3.47,-5.59807200689153
0,3.48,-5.68781370809304
0,3.49,-5.78353008831771
0,3.5,-5.88544061782578
0,3.51,-5.99379445714128
0,3.52,-6.10887480102277
0,3.53,-6.23100360947038
0,3.54,-6.36054673374475
0,3.55,-6.4979194512316
0,3.56,-6.64359243502661
0,3.57,-6.79809820294019
0,3.58,-6.96203811594852
0,3.59,-7.13609002652981
0,3.6,-7.32101671014352
0,3.61,-7.5176752444237
0,3.62,-7.72702752555984
0,3.63,-7.95015212429842
0,3.64,-8.18825767929954
0,3.65,-8.44269799763704
0,3.66,-8.71498897552869
0,3.67,-9.00682736068029
0,3.68,-9.32011124179205
0,3.69,-9.65696195424007
0,3.7,-10.0197468009895
0,3.71,-10.4111015393079
0,3.72,-10.8339508494309
0,3.73,-11.2915237362631
0,3.74,-11.7873585558095
0,3.75,-12.3252882334204
0,3.76,-12.9093886246839
0,3.77,-13.5438588433008
0,3.78,-14.2327762097443
0,3.79,-14.9796204075126
0,3.8,-15.786375125766
0,3.81,-16.6518685278476
0,3.82,-17.5687943679606
0,3.83,-18.5186406878791
0,3.84,-19.4639666618923
0,3.85,-20.3394195038619
0,3.86,-21.0487285086814
0,3.87,-21.4827878598638
0,3.88,-21.5667554759443
0,3.89,-21.3061389153539
0,3.9,-20.7825304613233
0,3.91,-20.1041136379953
0,3.92,-19.3619872447486
0,3.93,-18.6160773383808
0,3.94,-17.8997875679501
0,3.95,-17.2290714734184
0,3.96,-16.6097903850307
0,3.97,-16.0424293154939
0,3.98,-15.5248246190886
0,3.99,-15.0536589213535
0,4,-14.6252502376457
0,4.01,-14.2359516326843
0,4.02,-13.8823402621725
0,4.03,-13.5612943832025
0,4.04,-13.2700121225445
0,4.05,-13.0060011995375
0,4.06,-12.7670553551686
0,4.07,-12.5512258802466
0,4.08,-12.356792600169
0,4.09,-12.1822364615638
0,4.1,-12.0262146603478
0,4.11,-11.8875386037469
0,4.12,-11.7651546629806
0,4.13,-11.6581275105129
0,4.14,-11.5656257683922
0,4.15,-11.4869096784007
0,4.16,-11.4213205156699
0,4.17,-11.3682714911065
0,4.18,-11.3272399165938
0,4.19,-11.2977604362507
0,4.2,-11.2794191548285
0,4.21,-11.2718485195975
0,4.22,-11.2747228344206
0,4.23,-11.2877543041568
0,4.24,-11.3106895242331
0,4.25,-11.3433063444622
0,4.26,-11.3854110482519
0,4.27,-11.4368357985519
0,4.28,-11.4974363104909
0,4.29,-11.5670897179247
0,4.3,-11.6456926072534
0,4.31,-11.7331591970712
0,4.32,-11.8294196466264
0,4.33,-11.9344184798228
0,4.34,-12.0481131146773
0,4.35,-12.1704724908261
0,4.36,-12.3014757898745
0,4.37,-12.4411112451304
0,4.38,-12.5893750385037
0,4.39,-12.7462702830566
0,4.4,-12.9118060897403
0,4.41,-13.0859967161349
0,4.42,-13.2688607933248
0,4.43,-13.4604206241841
0,4.44,-13.6607015420159
0,4.45,-13.8697313123437
0,4.46,-14.0875395522668
0,4.47,-14.3141571306554
0,4.48,-14.5496154979578
0,4.49,-14.7939458757834
0,4.5,-15.0471782128351
0,4.51,-15.3093397841235
0,4.52,-15.5804532734453
0,4.53,-15.8605341333481
0,4.54,-16.1495869604802
0,4.55,-16.4476005553617
0,4.56,-16.7545412520836
0,4.57,-17.0703440032137
0,4.58,-17.3949005867915
0,4.59,-17.7280441657079
0,4.6,-18.0695292780271
0,4.61,-18.4190061786649
0,4.62,-18.775988307112
0,4.63,-19.1398115581266
0,4.64,-19.5095840445434
0,4.65,-19.8841252651386
0,4.66,-20.2618941822797
0,4.67,-20.640906898284
0,4.68,-21.0186466879972
0,4.69,-21.3919724210098
0,4.7,-21.7570361327689
0,4.71,-22.1092266055234
0,4.72,-22.4431625092364
0,4.73,-22.7527639162052
0,4.74,-23.0314312324589
0,4.75,-23.2723509066655
0,4.76,-23.4689232963969
0,4.77,-23.6152693540955
0,4.78,-23.7067268085279
0,4.79,-23.7402106946137
0,4.8,-23.7143172507916
0,4.81,-23.6291675102362
0,4.82,-23.4864949948093
0,4.83,-23.2920797014524
0,4.84,-23.0626856336311
0,4.85,-22.819451900221
0,4.86,-22.5510731796896
0,4.87,-22.218579541471
0,4.88,-21.7475103329176
0,4.89,-20.7055031563046
0,4.9,-20.7831148556722
0,4.91,-21.2562063734304
0,4.92,-21.3027516648646
0,4.93,-21.1827088795019
0,4.94,-21.0013444531945
0,4.95,-20.805011129639
0,4.96,-20.6125703291299
0,4.97,-20.432380640783
0,4.98,-20.268808249658
0,4.99,-20.1246537949564
0,5,-20.0021278842068
2,2.5,-0.167195998669989
2,2.51,-0.190201569183216
2,2.52,-0.215618381353073
2,2.53,-0.243262193210484
2,2.54,-0.272943950010506
2,2.55,-0.304493070587073
2,2.56,-0.337774801828756
2,2.57,-0.372700227822663
2,2.58,-0.409229336774885
2,2.59,-0.447368658896745
2,2.6,-0.48716537437724
2,2.61,-0.528699660646291
2,2.62,-0.572076659267958
2,2.63,-0.617418995069684
2,2.64,-0.664860387227246
2,2.65,-0.714540596159139
2,2.66,-0.766601750126594
2,2.67,-0.821185971382083
2,2.68,-0.878434149969908
2,2.69,-0.938485673969928
2,2.7,-1.00147890408706
2,2.71,-1.06755216954791
2,2.72,-1.13684505707266
2,2.73,-1.20949976401723
2,2.74,-1.28566229130127
2,2.75,-1.36548326322793
2,2.76,-1.44911818198539
2,2.77,-1.5367269565659
2,2.78,-1.62847259030809
2,2.79,-1.72451896803802
2,2.8,-1.82502775052992
2,2.81,-1.93015445594704
2,2.82,-2.04004387791859
2,2.83,-2.15482504921577
2,2.84,-2.27460599964416
2,2.85,-2.39946856943494
2,2.86,-2.52946352126655
2,2.87,-2.6646061461359
2,2.88,-2.80487248695465
2,2.89,-2.95019621973245
2,2.9,-3.10046614879247
2,2.91,-3.25552420286478
2,2.92,-3.41516377382309
2,2.93,-3.57912822567838
2,2.94,-3.74710941963683
2,2.95,-3.918746148406
2,2.96,-4.09362244294673
2,2.97,-4.27126579913861
2,2.98,-4.45114546155687
2,2.99,-4.63267098852937
2,3,-4.81519139965943
2,3.01,-4.99799526788426
2,3.02,-5.18031215742216
2,3.03,-5.36131582156487
2,3.04,-5.54012955534175
2,3.05,-5.71583404317375
2,3.06,-5.88747794731579
2,3.07,-6.0540913477344
2,3.08,-6.21470196996083
2,3.09,-6.36835393090848
2,3.1,-6.51412850583602
2,3.11,-6.65116619078263
2,3.12,-6.77868912737705
2,3.13,-6.89602279752428
2,3.14,-7.00261581029804
2,3.15,-7.09805661366586
2,3.16,-7.18208608104312
2,3.17,-7.25460514526527
2,3.18,-7.31567696341991
2,3.19,-7.36552346423502
2,3.2,-7.4045165148852
2,3.21,-7.43316430256091
2,3.22,-7.45209381861443
2,3.23,-7.46203053093977
2,3.24,-7.46377641962351
2,3.25,-7.45818753365086
2,3.26,-7.446152117903
2,3.27,-7.42857018435346
2,3.28,-7.40633518772967
2,3.29,-7.38031824148773
2,3.3,-7.35135509771866
2,3.31,-7.32023593092655
2,3.32,-7.28769781979733
2,3.33,-7.2544197160725
2,3.34,-7.22101962349852
2,3.35,-7.18805367732339
2,3.36,-7.15601680904213
2,3.37,-7.12534469469999
2,3.38,-7.09641671114537
2,3.39,-7.0695596572807
2,3.4,-7.04505203192863
2,3.41,-7.02312869305351
2,3.42,-7.00398575260946
2,3.43,-6.98778558614002
2,3.44,-6.97466185622135
2,3.45,-6.96472446437718
2,3.46,-6.95806435812236
2,3.47,-6.95475812950298
2,3.48,-6.95487235014916
2,3.49,-6.95846759659927
2,3.5,-6.96560212938972
2,3.51,-6.97633520067616
2,3.52,-6.99072997809305
2,3.53,-7.00885608689734
2,3.54,-7.0307917875705
2,3.55,-7.05662582113765
2,3.56,-7.08645896857793
2,3.57,-7.12040538297889
2,3.58,-7.15859376283456
2,3.59,-7.20116844167522
2,3.6,-7.24829047292271
2,3.61,-7.30013878967115
2,3.62,-7.35691151744427
2,3.63,-7.41882751452044
2,3.64,-7.48612820991119
2,3.65,-7.55907980434718
2,3.66,-7.6379758954774
2,3.67,-7.72314058570352
2,3.68,-7.81493213039373
2,3.69,-7.91374718641091
2,3.7,-8.02002572681393
2,3.71,-8.13425669839453
2,3.72,-8.25698451606713
2,3.73,-8.38881651462423
2,3.74,-8.53043151805789
2,3.75,-8.68258974581732
2,3.76,-8.84614436352374
2,3.77,-9.02205511652295
2,3.78,-9.2114046764812
2,3.79,-9.41541860441681
2,3.8,-9.63549020040058
2,3.81,-9.87321194576286
2,3.82,-10.130415617569
2,3.83,-10.4092230975511
2,3.84,-10.7121086042897
2,3.85,-11.0419692179213
2,3.86,-11.4021929033857
2,3.87,-11.7967031559502
2,3.88,-12.229955728792
2,3.89,-12.7068835889817
2,3.9,-13.2328421445534
2,3.91,-13.8136660061494
2,3.92,-14.4559357344718
2,3.93,-15.1674398359981
2,3.94,-15.9576934132038
2,3.95,-16.8383323280063
2,3.96,-17.8231671169911
2,3.97,-18.927413831993
2,3.98,-20.1647017330291
2,3.99,-21.5379607802929
2,4,-23.0143562220136
2,4.01,-24.4659190357803
2,4.02,-25.5801916674526
2,4.03,-25.9097501308531
2,4.04,-25.2916479357907
2,4.05,-24.0654667188835
2,4.06,-22.6539106179021
2,4.07,-21.2863074052017
2,4.08,-20.0423671340847
2,4.09,-18.935934534551
2,4.1,-17.958116118416
2,4.11,-17.0941139859341
2,4.12,-16.329056299434
2,4.13,-15.6497403740388
2,4.14,-15.0449387529345
2,4.15,-14.5052402160509
2,4.16,-14.0227743511182
2,4.17,-13.5909388539345
2,4.18,-13.2041646627065
2,4.19,-12.857724080536
2,4.2,-12.5475773197532
2,4.21,-12.2702506327061
2,4.22,-12.0227395079389
2,4.23,-11.8024314664046
2,4.24,-11.6070441195663
2,4.25,-11.43457513339
2,4.26,-11.2832615328036
2,4.27,-11.151546390844
2,4.28,-11.038051396771
2,4.29,-10.9415540987711
2,4.3,-10.8609687606787
2,4.31,-10.7953297406935
2,4.32,-10.743776125189
2,4.33,-10.705536235218
2,4.34,-10.6799110172833
2,4.35,-10.666256649286
2,4.36,-10.6639685502442
2,4.37,-10.6724698338611
2,4.38,-10.6912057845143
2,4.39,-10.7196430918686
2,4.4,-10.7572708547608
2,4.41,-10.8036008916751
2,4.42,-10.8581665351042
2,4.43,-10.9205203032593
2,4.44,-10.9902311758557
2,4.45,-11.0668820115872
2,4.46,-11.1500673592192
2,4.47,-11.2393917199638
2,4.48,-11.3344682291647
2,4.49,-11.4349176987248
2,4.5,-11.540367961681
2,4.51,-11.6504534675385
2,4.52,-11.76481508419
2,4.53,-11.8831000679001
2,4.54,-12.0049621672188
2,4.55,-12.1300618302474
2,4.56,-12.2580664875618
2,4.57,-12.3886508851425
2,4.58,-12.5214974425681
2,4.59,-12.6562966112617
2,4.6,-12.792747205672
2,4.61,-12.9305566771265
2,4.62,-13.069441296212
2,4.63,-13.2091262056132
2,4.64,-13.3493453022404
2,4.65,-13.4898409060664
2,4.66,-13.6303631741752
2,4.67,-13.7706692227279
2,4.68,-13.9105219272936
2,4.69,-14.049688383454
2,4.7,-14.1879380247267
2,4.71,-14.3250404134262
2,4.72,-14.4607627416786
2,4.73,-14.5948671038756
2,4.74,-14.7271076276798
2,4.75,-14.8572275773956
2,4.76,-14.9849565699699
2,4.77,-15.1100080686501
2,4.78,-15.2320773405572
2,4.79,-15.3508400798284
2,4.8,-15.4659519047483
2,4.81,-15.5770489322215
2,4.82,-15.6837496126362
2,4.83,-15.7856579694434
2,4.84,-15.8823683281846
2,4.85,-15.9734715383862
2,4.86,-16.0585625902144
2,4.87,-16.1372494107708
2,4.88,-16.209162500852
2,4.89,-16.2739649540043
2,4.9,-16.3313623007832
2,4.91,-16.3811115583787
2,4.92,-16.4230288539104
2,4.93,-16.4569950389767
2,4.94,-16.4829588264334
2,4.95,-16.5009371516126
2,4.96,-16.5110126734952
2,4.97,-16.5133285630668
2,4.98,-16.5080809482842
2,4.99,-16.4955095701668
2,5,-16.4758873301519
4,2.5,-0.186403349736217
4,2.51,-0.202590575030431
4,2.52,-0.21961206171047
4,2.53,-0.237527002198583
4,2.54,-0.256397119672071
4,2.55,-0.276286706897758
4,2.56,-0.297262755488642
4,2.57,-0.319395158610389
4,2.58,-0.342756960167781
4,2.59,-0.367424614249491
4,2.6,-0.393478211010033
4,2.61,-0.421001620530809
4,2.62,-0.450082506482558
4,2.63,-0.480812169503939
4,2.64,-0.513285200271974
4,2.65,-0.547598959930062
4,2.66,-0.583852967747135
4,2.67,-0.622148368566298
4,2.68,-0.662587773320424
4,2.69,-0.705275884957164
4,2.7,-0.750321348433437
4,2.71,-0.797840014478212
4,2.72,-0.847959066145751
4,2.73,-0.900820259050588
4,2.74,-0.95657961580174
4,2.75,-1.01540169256077
4,2.76,-1.07744958187515
4,2.77,-1.14287511357707
4,2.78,-1.21181394020467
4,2.79,-1.28438684112564
4,2.8,-1.36070489712192
4,2.81,-1.44087510073625
4,2.82,-1.52500422347245
4,2.83,-1.61320046288829
4,2.84,-1.70557336053462
4,2.85,-1.8022326751726
4,2.86,-1.90328671263862
4,2.87,-2.00884036740804
4,2.88,-2.11899294878855
4,2.89,-2.23383576243348
4,2.9,-2.3534493736319
4,2.91,-2.47790046869117
4,2.92,-2.60723823852404
4,2.93,-2.74149022556912
4,2.94,-2.88065759758764
4,2.95,-3.0247098386054
4,2.96,-3.17357887859246
4,2.97,-3.32715272030295
4,2.98,-3.48526866517161
4,2.99,-3.64770629144891
4,3,-3.81418039795519
4,3.01,-3.98433419691369
4,3.02,-4.15773312003428
4,3.03,-4.33385969368817
4,3.04,-4.51211004103126
4,3.05,-4.69179267865536
4,3.06,-4.87213038596044
4,3.07,-5.05226602226969
4,3.08,-5.23127322155655
4,3.09,-5.40817285851043
4,3.1,-5.58195597591885
4,3.11,-5.75161338719271
4,3.12,-5.91617130283143
4,3.13,-6.07473099642825
4,3.14,-6.22650877553311
4,3.15,-6.37087066326237
4,3.16,-6.50735488967116
4,3.17,-6.63567549192472
4,3.18,-6.75570291620596
4,3.19,-6.86742266652848
4,3.2,-6.97087957674908
4,3.21,-7.06612069022275
4,3.22,-7.1531512666902
4,3.23,-7.23191480583352
4,3.24,-7.3023004402989
4,3.25,-7.36417286021721
4,3.26,-7.41741441578655
4,3.27,-7.46196780022393
4,3.28,-7.49787015087817
4,3.29,-7.52527363428994
4,3.3,-7.54445169814835
4,3.31,-7.55579305337966
4,3.32,-7.55978683927691
4,3.33,-7.55700262409574
4,3.34,-7.54806838411591
4,3.35,-7.53364880802118
4,3.36,-7.51442546666171
4,3.37,-7.49107970876868
4,3.38,-7.4642786340469
4,3.39,-7.43466414768756
4,3.4,-7.40284488490346
4,3.41,-7.36939067676134
4,3.42,-7.33482917937788
4,3.43,-7.29964428378158
4,3.44,-7.26427594598409
4,3.45,-7.2291211138098
4,3.46,-7.19453547055291
4,3.47,-7.16083576023478
4,3.48,-7.12830250186646
4,3.49,-7.09718293885757
4,3.5,-7.06769410370155
4,3.51,-7.04002590708724
4,3.52,-7.01434418480948
4,3.53,-6.99079365567616
4,3.54,-6.9695007595397
4,3.55,-6.95057635715722
4,3.56,-6.93411828332476
4,3.57,-6.92021375211275
4,3.58,-6.90894161846705
4,3.59,-6.90037450428608
4,3.6,-6.89458079963323
4,3.61,-6.89162655123723
4,3.62,-6.89157725107101
4,3.63,-6.89449953774776
4,3.64,-6.90046282287241
4,3.65,-6.90954085345954
4,3.66,-6.92181322018212
4,3.67,-6.93736681964814
4,3.68,-6.95629727720101
4,3.69,-6.97871033498784
4,3.7,-7.00472320831703
4,3.71,-7.03446591171311
4,3.72,-7.06808255466264
4,3.73,-7.10573260594202
4,3.74,-7.14759212477476
4,3.75,-7.19385495710052
4,3.76,-7.24473389628579
4,3.77,-7.30046181020401
4,3.78,-7.36129274166611
4,3.79,-7.42750299826821
4,3.8,-7.49939226371199
4,3.81,-7.57728479098575
4,3.82,-7.6615307892469
4,3.83,-7.75250821318333
4,3.84,-7.85062535473811
4,3.85,-7.9563250329535
4,3.86,-8.0700920333528
4,3.87,-8.19246728898393
4,3.88,-8.32407519042989
4,3.89,-8.46565673399779
4,3.9,-8.61765402929441
4,3.91,-8.76116083803054
4,3.92,-8.90284657265651
4,3.93,-9.10921158749063
4,3.94,-9.31220071048831
4,3.95,-9.52505244956412
4,3.96,-9.75102547470591
4,3.97,-9.99175662677146
4,3.98,-10.2485138084082
4,3.99,-10.5224441188008
4,4,-10.8145995916797
4,4.01,-11.1258756740137
4,4.02,-11.4568929285979
4,4.03,-11.8078313213444
4,4.04,-12.1782220189988
4,4.05,-12.5666996555402
4,4.06,-12.9707158149007
4,4.07,-13.3862146482009
4,4.08,-13.8072803416448
4,4.09,-14.2257913412983
4,4.1,-14.6311635103019
4,4.11,-15.0103307122611
4,4.12,-15.3481736726547
4,4.13,-15.6286120107209
4,4.14,-15.8364429560142
4,4.15,-15.9597027834079
4,4.16,-15.9919405387318
4,4.17,-15.9335935685141
4,4.18,-15.7918912625351
4,4.19,-15.5793263851126
4,4.2,-15.311320018122
4,4.21,-15.0038893385745
4,4.22,-14.6718909225112
4,4.23,-14.3280234879864
4,4.24,-13.9824837070793
4,4.25,-13.6430539598195
4,4.26,-13.3154122553677
4,4.27,-13.0035164868124
4,4.28,-12.7099784900524
4,4.29,-12.4363893199371
4,4.3,-12.183584557127
4,4.31,-11.9518522787603
4,4.32,-11.7410919089527
4,4.33,-11.550933406347
4,4.34,-11.3808255168869
4,4.35,-11.2301003979999
4,4.36,-11.098020418554
4,4.37,-10.9838116090163
4,4.38,-10.8866871508792
