"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,90.0000000000002,-180,-9.94167231789908
2,3.3,90.0000000000002,-179,-9.90782987389655
2,3.3,90.0000000000002,-178,-9.94753623220295
2,3.3,90.0000000000002,-177,-10.0593379113327
2,3.3,90.0000000000002,-176,-10.2433783981172
2,3.3,90.0000000000002,-175,-10.5017304284816
2,3.3,90.0000000000002,-174,-10.838733725844
2,3.3,90.0000000000002,-173,-11.261350379612
2,3.3,90.0000000000002,-172,-11.7795823885732
2,3.3,90.0000000000002,-171,-12.4070434887692
2,3.3,90.0000000000002,-170,-13.1618482835983
2,3.3,90.0000000000002,-169,-14.0680990353533
2,3.3,90.0000000000002,-168,-15.1584720678844
2,3.3,90.0000000000002,-167,-16.4788714262415
2,3.3,90.0000000000002,-166,-18.0971765808431
2,3.3,90.0000000000002,-165,-20.1206659619118
2,3.3,90.0000000000002,-164,-22.7328204648052
2,3.3,90.0000000000002,-163,-26.2674435643186
2,3.3,90.0000000000002,-162,-31.1469313744816
2,3.3,90.0000000000002,-161,-34.0585219856686
2,3.3,90.0000000000002,-160,-30.0124184595043
2,3.3,90.0000000000002,-159,-26.4114550437346
2,3.3,90.0000000000002,-158,-24.0487379956289
2,3.3,90.0000000000002,-157,-22.4827280169378
2,3.3,90.0000000000002,-156,-21.4567961922886
2,3.3,90.0000000000002,-155,-20.8317971329101
2,3.3,90.0000000000002,-154,-20.5274817532128
2,3.3,90.0000000000002,-153,-20.494432710014
2,3.3,90.0000000000002,-152,-20.6996257391507
2,3.3,90.0000000000002,-151,-21.1173321475667
2,3.3,90.0000000000002,-150,-21.7211367790827
2,3.3,90.0000000000002,-149,-22.4742478340161
2,3.3,90.0000000000002,-148,-23.3164128004993
2,3.3,90.0000000000002,-147,-24.1500426157679
2,3.3,90.0000000000002,-146,-24.8401120231847
2,3.3,90.0000000000002,-145,-25.25420320636
2,3.3,90.0000000000002,-144,-25.3397064893416
2,3.3,90.0000000000002,-143,-25.1639219514815
2,3.3,90.0000000000002,-142,-24.865244512181
2,3.3,90.0000000000002,-141,-24.5780185204003
2,3.3,90.0000000000002,-140,-24.3987401799924
2,3.3,90.0000000000002,-139,-24.3898148657647
2,3.3,90.0000000000002,-138,-24.5950232294157
2,3.3,90.0000000000002,-137,-25.0544209149525
2,3.3,90.0000000000002,-136,-25.8179753419093
2,3.3,90.0000000000002,-135,-26.9624727352719
2,3.3,90.0000000000002,-134,-28.6218607900161
2,3.3,90.0000000000002,-133,-31.0580954660591
2,3.3,90.0000000000002,-132,-34.8555464574171
2,3.3,90.0000000000002,-131,-40.9994653284155
2,3.3,90.0000000000002,-130,-39.8315442867205
2,3.3,90.0000000000002,-129,-33.5255778189932
2,3.3,90.0000000000002,-128,-29.5021479040624
2,3.3,90.0000000000002,-127,-26.7053620627119
2,3.3,90.0000000000002,-126,-24.6047169922004
2,3.3,90.0000000000002,-125,-22.9533230690763
2,3.3,90.0000000000002,-124,-21.6189578742085
2,3.3,90.0000000000002,-123,-20.5226262987196
2,3.3,90.0000000000002,-122,-19.6131236977353
2,3.3,90.0000000000002,-121,-18.8551053272936
2,3.3,90.0000000000002,-120,-18.2229116063252
2,3.3,90.0000000000002,-119,-17.6971143350547
2,3.3,90.0000000000002,-118,-17.2624601711785
2,3.3,90.0000000000002,-117,-16.9065814067207
2,3.3,90.0000000000002,-116,-16.6191523063559
2,3.3,90.0000000000002,-115,-16.3913170008768
2,3.3,90.0000000000002,-114,-16.2152904274082
2,3.3,90.0000000000002,-113,-16.0840745862119
2,3.3,90.0000000000002,-112,-15.9912554988828
2,3.3,90.0000000000002,-111,-15.9308598946435
2,3.3,90.0000000000002,-110,-15.8972589169853
2,3.3,90.0000000000002,-109,-15.8851111304173
2,3.3,90.0000000000002,-108,-15.8893398982866
2,3.3,90.0000000000002,-107,-15.9051413625654
2,3.3,90.0000000000002,-106,-15.9280191208408
2,3.3,90.0000000000002,-105,-15.9538405584759
2,3.3,90.0000000000002,-104,-15.9789080320412
2,3.3,90.0000000000002,-103,-16.0000362307803
