"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-20.2342491587738
2,3.8,90,-179,-13.2782166110298
2,3.8,90,-178,-9.7765456771296
2,3.8,90,-177,-7.68191565510369
2,3.8,90,-176,-6.4316743379044
2,3.8,90,-175,-5.80561083866215
2,3.8,90,-174,-5.71397384533716
2,3.8,90,-173,-6.13963797329901
2,3.8,90,-172,-7.12828555881454
2,3.8,90,-171,-8.81217445885241
2,3.8,90,-170,-11.4959939102345
2,3.8,90,-169,-15.9230978915362
2,3.8,90,-168,-22.7536087302591
2,3.8,90,-167,-18.6140593524411
2,3.8,90,-166,-13.1920234770163
2,3.8,90,-165,-10.0363457084032
2,3.8,90,-164,-8.09168626603425
2,3.8,90,-163,-6.92149822004459
2,3.8,90,-162,-6.333317510737
2,3.8,90,-161,-6.2405524276249
2,3.8,90,-160,-6.61539938686348
2,3.8,90,-159,-7.47301016671576
2,3.8,90,-158,-8.86639082764263
2,3.8,90,-157,-10.8644613666947
2,3.8,90,-156,-13.3692983899018
2,3.8,90,-155,-15.2254895589253
2,3.8,90,-154,-14.2486405449489
2,3.8,90,-153,-11.6999374597561
2,3.8,90,-152,-9.40971565455211
2,3.8,90,-151,-7.69920244356104
2,3.8,90,-150,-6.50499050727846
2,3.8,90,-149,-5.74197437346386
2,3.8,90,-148,-5.3505870506368
2,3.8,90,-147,-5.29548587935351
2,3.8,90,-146,-5.55995404570852
2,3.8,90,-145,-6.14108134873065
2,3.8,90,-144,-7.04342992115274
2,3.8,90,-143,-8.26267565152939
2,3.8,90,-142,-9.73393008733538
2,3.8,90,-141,-11.1901983190901
2,3.8,90,-140,-11.9851825307886
2,3.8,90,-139,-11.5199305886849
2,3.8,90,-138,-10.1325144189785
2,3.8,90,-137,-8.5437759198576
2,3.8,90,-136,-7.12154919239309
2,3.8,90,-135,-5.96126224721611
2,3.8,90,-134,-5.06205052669089
2,3.8,90,-133,-4.39932495026827
2,3.8,90,-132,-3.94643874971455
2,3.8,90,-131,-3.67972106952312
2,3.8,90,-130,-3.57848923248857
2,3.8,90,-129,-3.62341828499801
2,3.8,90,-128,-3.79406279517968
2,3.8,90,-127,-4.06554279198139
2,3.8,90,-126,-4.40435269844349
2,3.8,90,-125,-4.76392426721991
2,3.8,90,-124,-5.08235097232139
2,3.8,90,-123,-5.28717930299712
2,3.8,90,-122,-5.31194945009292
2,3.8,90,-121,-5.12059504542076
2,3.8,90,-120,-4.72300637325742
2,3.8,90,-119,-4.16758510361826
2,3.8,90,-118,-3.51770224208474
2,3.8,90,-117,-2.83061402638584
2,3.8,90,-116,-2.14812122010952
2,3.8,90,-115,-1.49645816368497
2,3.8,90,-114,-0.889916308286661
2,3.8,90,-113,-0.334779363769249
2,3.8,90,-112,0.167630821332787
2,3.8,90,-111,0.618901069178383
2,3.8,90,-110,1.02223598964494
2,3.8,90,-109,1.38167735128175
2,3.8,90,-108,1.7016432711778
2,3.8,90,-107,1.98666074061828
2,3.8,90,-106,2.24121220027627
2,3.8,90,-105,2.46964783718366
2,3.8,90,-104,2.67613458217772
2,3.8,90,-103,2.86462458926679
2,3.8,90,-102,3.03883317970356
2,3.8,90,-101,3.20222067503578
2,3.8,90,-100,3.35797533666719
2,3.8,90,-99,3.50899642236343
2,3.8,90,-98,3.65787752670004
2,3.8,90,-97,3.8068910883514
2,3.8,90,-96,3.95797532389364
2,3.8,90,-95,4.11272494152071
2,3.8,90,-94,4.27238684126547
2,3.8,90,-93,4.43786166899032
2,3.8,90,-92,4.60971162102426
2,3.8,90,-91,4.78817436819871
2,3.8,90,-90,4.9731824587679
2,3.8,90,-89,5.16438713730878
2,3.8,90,-88,5.36118522966655
2,3.8,90,-87,5.56274761463512
2,3.8,90,-86,5.76804782673026
2,3.8,90,-85,5.9758894844794
2,3.8,90,-84,6.18493147488139
2,3.8,90,-83,6.39371010265092
2,3.8,90,-82,6.60065769195153
2,3.8,90,-81,6.80411737699413
2,3.8,90,-80,7.00235401577883
2,3.8,90,-79,7.19356129871776
2,3.8,90,-78,7.37586519972701
2,3.8,90,-77,7.54732393600654
2,3.8,90,-76,7.70592457116485
2,3.8,90,-75,7.84957632176709
2,3.8,90,-74,7.97610051523207
2,3.8,90,-73,8.08321699963182
2,3.8,90,-72,8.1685266216195
2,3.8,90,-71,8.2294891606855
2,3.8,90,-70,8.26339582337056
2,3.8,90,-69,8.26733503940384
2,3.8,90,-68,8.23814983234264
2,3.8,90,-67,8.17238441585409
2,3.8,90,-66,8.06621683024136
2,3.8,90,-65,7.91537329376956
2,3.8,90,-64,7.71501837889788
2,3.8,90,-63,7.45961297810379
2,3.8,90,-62,7.14272912062059
2,3.8,90,-61,6.75680692032895
2,3.8,90,-60,6.29283448229162
2,3.8,90,-59,5.73992784230882
2,3.8,90,-58,5.08479005161925
2,3.8,90,-57,4.31105298850308
2,3.8,90,-56,3.39860517537855
2,3.8,90,-55,2.32335261310103
2,3.8,90,-54,1.05899794361221
2,3.8,90,-53,-0.413846446660731
2,3.8,90,-52,-2.07428281653568
2,3.8,90,-51,-3.75980047543003
2,3.8,90,-50,-4.97601951534605
2,3.8,90,-49,-5.02007330318554
2,3.8,90,-48,-3.88625526438521
2,3.8,90,-47,-2.28004853728844
2,3.8,90,-46,-0.708310183248918
2,3.8,90,-45,0.6563718318473
2,3.8,90,-44,1.7850988682507
2,3.8,90,-43,2.68949788314908
2,3.8,90,-42,3.38741498448763
2,3.8,90,-41,3.89325721528511
2,3.8,90,-40,4.21569863864625
2,3.8,90,-39,4.35725899597063
2,3.8,90,-38,4.31401842854784
2,3.8,90,-37,4.07480120655513
2,3.8,90,-36,3.61932971111706
2,3.8,90,-35,2.91456413934302
2,3.8,90,-34,1.90757837028139
2,3.8,90,-33,0.511082344676848
2,3.8,90,-32,-1.4285867062273
2,3.8,90,-31,-4.21052484054566
2,3.8,90,-30,-8.47968867179158
2,3.8,90,-29,-14.4861943539538
2,3.8,90,-28,-11.336192112758
2,3.8,90,-27,-5.99980886951944
2,3.8,90,-26,-2.63033905402914
2,3.8,90,-25,-0.373912634161144
2,3.8,90,-24,1.18872595969004
2,3.8,90,-23,2.25439298753303
2,3.8,90,-22,2.92239250137466
2,3.8,90,-21,3.24188632877952
2,3.8,90,-20,3.23065255522711
2,3.8,90,-19,2.88124397859293
2,3.8,90,-18,2.1589352322395
2,3.8,90,-17,0.989768710361402
2,3.8,90,-16,-0.771862473253592
2,3.8,90,-15,-3.43547968275388
2,3.8,90,-14,-7.81291467921869
2,3.8,90,-13,-17.218151190259
2,3.8,90,-12,-14.4580004682488
2,3.8,90,-11,-6.77567759660085
2,3.8,90,-10,-2.93560982535722
2,3.8,90,-9,-0.571152073642493
2,3.8,90,-8,0.960830268014
2,3.8,90,-7,1.91580392658369
2,3.8,90,-6,2.41204998829128
2,3.8,90,-5,2.50299387240249
2,3.8,90,-4,2.20202233917387
2,3.8,90,-3,1.48890737092352
2,3.8,90,-2,0.304706530568074
2,3.8,90,-1,-1.46554482287954
2,3.8,90,0,-4.01880782757393
2,3.8,90,1,-7.53177550161672
2,3.8,90,2,-10.4497308494641
2,3.8,90,3,-8.2957995120603
2,3.8,90,4,-4.7557589324437
2,3.8,90,5,-2.13712287188439
2,3.8,90,6,-0.335072045787195
2,3.8,90,7,0.866024981575512
2,3.8,90,8,1.59984733094305
2,3.8,90,9,1.94281944908646
2,3.8,90,10,1.93625395669478
2,3.8,90,11,1.59849411834838
2,3.8,90,12,0.931935810226161
2,3.8,90,13,-0.0700041581329228
2,3.8,90,14,-1.40648608836022
2,3.8,90,15,-3.01664343115212
2,3.8,90,16,-4.63018027139364
2,3.8,90,17,-5.56931015148554
2,3.8,90,18,-5.20202429775747
2,3.8,90,19,-3.9036946477969
2,3.8,90,20,-2.43105439226564
2,3.8,90,21,-1.15186579512444
2,3.8,90,22,-0.153883613910016
2,3.8,90,23,0.569453326770191
2,3.8,90,24,1.04655875679087
2,3.8,90,25,1.30693545187258
2,3.8,90,26,1.3765649411626
2,3.8,90,27,1.27789206930431
2,3.8,90,28,1.03109822641286
2,3.8,90,29,0.655865165671656
2,3.8,90,30,0.173620241751884
2,3.8,90,31,-0.389498269978097
2,3.8,90,32,-0.998804231170442
2,3.8,90,33,-1.60688558940616
2,3.8,90,34,-2.15138807508242
2,3.8,90,35,-2.55967444339113
2,3.8,90,36,-2.76536648217404
2,3.8,90,37,-2.73337219305353
2,3.8,90,38,-2.47652758016867
2,3.8,90,39,-2.0486220121353
2,3.8,90,40,-1.5202066309022
2,3.8,90,41,-0.956442307505285
2,3.8,90,42,-0.407026494385483
2,3.8,90,43,0.0942063528642165
2,3.8,90,44,0.525704050269454
2,3.8,90,45,0.874215754987899
2,3.8,90,46,1.13167568815582
2,3.8,90,47,1.29307341085858
2,3.8,90,48,1.35508874892056
2,3.8,90,49,1.31525245763486
2,3.8,90,50,1.17146732580936
2,3.8,90,51,0.921810125153645
2,3.8,90,52,0.564623003339856
2,3.8,90,53,0.0990123857791805
2,3.8,90,54,-0.473959625634255
2,3.8,90,55,-1.1488330441266
2,3.8,90,56,-1.91109637729803
2,3.8,90,57,-2.72903374220955
2,3.8,90,58,-3.54163553954624
2,3.8,90,59,-4.24735136497536
2,3.8,90,60,-4.71118788270828
2,3.8,90,61,-4.813948531027
2,3.8,90,62,-4.52626981583759
2,3.8,90,63,-3.92944600833896
2,3.8,90,64,-3.15589886549084
2,3.8,90,65,-2.32155280073027
2,3.8,90,66,-1.50116630925797
2,3.8,90,67,-0.734168157996181
2,3.8,90,68,-0.0375568050690593
2,3.8,90,69,0.584002705275496
2,3.8,90,70,1.13204115381875
2,3.8,90,71,1.61092963737569
2,3.8,90,72,2.02614253329746
2,3.8,90,73,2.38339352685154
2,3.8,90,74,2.68822662860586
2,3.8,90,75,2.94583948304083
2,3.8,90,76,3.16102271316772
2,3.8,90,77,3.33815508622065
2,3.8,90,78,3.48122346402379
2,3.8,90,79,3.59385167076974
2,3.8,90,80,3.67933030794249
2,3.8,90,81,3.74064366011896
2,3.8,90,82,3.78049197469858
2,3.8,90,83,3.8013085064713
2,3.8,90,84,3.80527129018091
2,3.8,90,85,3.79430990284439
2,3.8,90,86,3.77010764032983
2,3.8,90,87,3.73409962998639
2,3.8,90,88,3.6874674658204
2,3.8,90,89,3.63113099616715
2,3.8,90,90,3.56573791494985
2,3.8,90,91,3.49165179865759
2,3.8,90,92,3.40893918166967
2,3.8,90,93,3.31735616258627
2,3.8,90,94,3.21633487686925
2,3.8,90,95,3.10496995403069
2,3.8,90,96,2.98200480361879
2,3.8,90,97,2.84581725053404
2,3.8,90,98,2.69440367656159
2,3.8,90,99,2.52536043145004
2,3.8,90,100,2.33586086161519
2,3.8,90,101,2.12262587380086
2,3.8,90,102,1.88188551305641
2,3.8,90,103,1.60932861242799
2,3.8,90,104,1.30003723514375
2,3.8,90,105,0.948402564567086
2,3.8,90,106,0.54801956263438
2,3.8,90,107,0.091560205782332
2,3.8,90,108,-0.429368028709986
2,3.8,90,109,-1.02435454059271
2,3.8,90,110,-1.70424328923054
2,3.8,90,111,-2.48095032434003
2,3.8,90,112,-3.36663633054845
2,3.8,90,113,-4.37125829774106
2,3.8,90,114,-5.49620548168544
2,3.8,90,115,-6.71903508348515
2,3.8,90,116,-7.96111273269166
2,3.8,90,117,-9.03829878948332
2,3.8,90,118,-9.65451126327719
2,3.8,90,119,-9.5745345384536
2,3.8,90,120,-8.87059225235928
2,3.8,90,121,-7.84371181279443
2,3.8,90,122,-6.76095027686656
2,3.8,90,123,-5.76665477706633
2,3.8,90,124,-4.92031756434744
2,3.8,90,125,-4.24141382418974
2,3.8,90,126,-3.73418300190103
2,3.8,90,127,-3.39884191082627
2,3.8,90,128,-3.23641583844601
2,3.8,90,129,-3.25095629449568
2,3.8,90,130,-3.45085142715622
2,3.8,90,131,-3.84999597508947
2,3.8,90,132,-4.46915347456326
2,3.8,90,133,-5.3374480850152
2,3.8,90,134,-6.4928116169
2,3.8,90,135,-7.97579759056118
2,3.8,90,136,-9.79325678802467
2,3.8,90,137,-11.7668631311371
2,3.8,90,138,-13.1506750851393
2,3.8,90,139,-12.8593995938589
2,3.8,90,140,-11.2408884841192
2,3.8,90,141,-9.42329863972716
2,3.8,90,142,-7.89878475593566
2,3.8,90,143,-6.75602732192076
2,3.8,90,144,-5.98145674321753
2,3.8,90,145,-5.55157158966006
2,3.8,90,146,-5.45428689793676
2,3.8,90,147,-5.69383572103994
2,3.8,90,148,-6.29345823194447
2,3.8,90,149,-7.29930879677439
2,3.8,90,150,-8.78366579530865
2,3.8,90,151,-10.8256785709269
2,3.8,90,152,-13.3298888607884
2,3.8,90,153,-15.1710337808636
2,3.8,90,154,-14.2592156972456
2,3.8,90,155,-11.7953604456857
2,3.8,90,156,-9.57753669296448
2,3.8,90,157,-7.95231912128698
2,3.8,90,158,-6.87864855085532
2,3.8,90,159,-6.29305340403002
2,3.8,90,160,-6.16319611844851
2,3.8,90,161,-6.49359141084554
2,3.8,90,162,-7.33208493573639
2,3.8,90,163,-8.79014349529091
2,3.8,90,164,-11.0918656525977
2,3.8,90,165,-14.6432020907088
2,3.8,90,166,-19.0942236255312
2,3.8,90,167,-17.5333869810901
2,3.8,90,168,-13.0074389477563
2,3.8,90,169,-9.8789965644492
2,3.8,90,170,-7.84258326124631
2,3.8,90,171,-6.56655265106266
2,3.8,90,172,-5.88423153458496
2,3.8,90,173,-5.72357743508366
2,3.8,90,174,-6.07563076329589
2,3.8,90,175,-6.99253735959748
2,3.8,90,176,-8.61792917915705
2,3.8,90,177,-11.2959389020058
2,3.8,90,178,-16.0232867365267
2,3.8,90,179,-28.1564656131996
2,3.8,90,180,-20.2342491587738
