"Freq [GHz]","dB(ActiveS(4:1)) []"
2.5,-2.03030227517505
2.51,-2.08033649721347
2.52,-2.13362062535382
2.53,-2.19045950339897
2.54,-2.25103922016661
2.55,-2.31543518331311
2.56,-2.38362973434748
2.57,-2.45553412126773
2.58,-2.53101043307974
2.59,-2.60989061511953
2.6,-2.6919912316496
2.61,-2.7771238241809
2.62,-2.86510141937705
2.63,-2.9557420353285
2.64,-3.04887005089598
2.65,-3.14431616629438
2.66,-3.24191648746852
2.67,-3.34151106992928
2.68,-3.44294209040963
2.69,-3.54605169091072
2.7,-3.65067946423306
2.71,-3.75665952320797
2.72,-3.86381711540871
2.73,-3.97196480693948
2.74,-4.0808983561847
2.75,-4.1903925208418
2.76,-4.30019717447312
2.77,-4.41003423279745
2.78,-4.51959598150415
2.79,-4.62854543093316
2.8,-4.73651927456499
2.81,-4.84313388086601
2.82,-4.94799449767947
2.83,-5.05070750973442
2.84,-5.15089519915355
2.85,-5.24821207181981
2.86,-5.34236149638353
2.87,-5.43311122289246
2.88,-5.52030635185064
2.89,-5.60387852736784
2.9,-5.68385050650112
2.91,-5.76033575183242
2.92,-5.83353322412639
2.93,-5.90371803144667
2.94,-5.97122895085072
2.95,-6.03645403821063
2.96,-6.09981557377603
2.97,-6.16175547792388
2.98,-6.22272211419853
2.99,-6.28315912319499
3,-6.34349664560214
3.01,-6.40414503031366
3.02,-6.46549090598089
3.03,-6.52789533210068
3.04,-6.59169364001919
3.05,-6.65719652049851
3.06,-6.72469190497764
3.07,-6.79444721337971
3.08,-6.86671159319555
3.09,-6.94171784395816
3.1,-7.01968380011728
3.11,-7.10081302653059
3.12,-7.18529475812229
3.13,-7.27330308381242
3.14,-7.36499543121074
3.15,-7.46051045107725
3.16,-7.55996542904063
3.17,-7.66345336770381
3.18,-7.77103988707906
3.19,-7.88276008767832
3.2,-7.99861551086847
3.21,-8.1185713172577
3.22,-8.24255378740651
3.23,-8.37044823111113
3.24,-8.50209737262914
3.25,-8.63730026008454
3.26,-8.77581172844381
3.27,-8.91734242746704
3.28,-9.06155940952616
3.29,-9.20808725778268
3.3,-9.35650972354723
3.31,-9.50637183327264
3.32,-9.65718242106719
3.33,-9.80841704228082
3.34,-9.95952122795218
3.35,-10.1099140488944
3.36,-10.2589919718765
3.37,-10.4061330082512
3.38,-10.5507011763976
3.39,-10.6920513215748
3.4,-10.8295343573442
3.41,-10.9625030077607
3.42,-11.0903181344503
3.43,-11.2123557226429
3.44,-11.3280145709313
3.45,-11.4367246783477
3.46,-11.5379562494091
3.47,-11.631229146952
3.48,-11.7161225219411
3.49,-11.7922842510076
3.5,-11.8594397309228
3.51,-11.9173995296811
3.52,-11.9660653891505
3.53,-12.0054341219486
3.54,-12.0355990454941
3.55,-12.0567487409901
3.56,-12.0691630988473
3.57,-12.0732067942145
3.58,-12.0693205049066
3.59,-12.0580103196407
3.6,-12.0398358733816
3.61,-12.0153977826475
3.62,-11.9853249385966
3.63,-11.9502621579619
3.64,-11.9108586040679
3.65,-11.8677572865236
3.66,-11.8215858422203
3.67,-11.7729487028634
3.68,-11.722420672888
3.69,-11.670541880079
3.7,-11.6178140203408
3.71,-11.5646977964576
3.72,-11.5116114459301
3.73,-11.4589302626929
3.74,-11.406987040525
3.75,-11.3560734034205
3.76,-11.3064420448457
3.77,-11.2583099834831
3.78,-11.2118630738091
3.79,-11.1672622076647
3.8,-11.1246519297897
3.81,-11.0841725662747
3.82,-11.045977350302
3.83,-11.0102561363379
3.84,-10.9772664036992
3.85,-10.9473689953849
3.86,-10.9210586903019
3.87,-10.8989682130788
3.88,-10.8818151306019
3.89,-10.8702712431745
3.9,-10.8647799895466
3.91,-10.8654104835961
3.92,-10.8718489169369
3.93,-10.88354478793
3.94,-10.8999191123493
3.95,-10.9205167148271
3.96,-10.9450522235057
3.97,-10.9733736342182
3.98,-11.0053924761134
3.99,-11.0410166901799
4,-11.080101524366
4.01,-11.1224203016613
4.02,-11.1676516460382
4.03,-11.2153789569123
4.04,-11.2650986370803
4.05,-11.316234411658
4.06,-11.3681556332604
4.07,-11.4201977752173
4.08,-11.4716834998422
4.09,-11.5219428659755
4.1,-11.5703314722984
4.11,-11.6162456346397
4.12,-11.6591340457438
4.13,-11.6985057252128
4.14,-11.7339343927305
4.15,-11.7650596548209
4.16,-11.7915855648687
4.17,-11.8132771949499
4.18,-11.8299558570802
4.19,-11.8414935505981
4.2,-11.8478071149756
4.21,-11.848852455836
4.22,-11.8446191049171
4.23,-11.8351252854683
4.24,-11.8204135910855
4.25,-11.8005473512465
4.26,-11.7756077489412
4.27,-11.7456917667375
4.28,-11.7109110494017
4.29,-11.6713917489744
4.3,-11.6272753036336
4.31,-11.578719821785
4.32,-11.5259012703861
4.33,-11.4690131640285
4.34,-11.4082634101684
4.35,-11.3438679974521
4.36,-11.2760432154495
4.37,-11.2049995779552
4.38,-11.130939855182
4.39,-11.0540609637907
4.4,-10.974557355565
4.41,-10.8926235849921
4.42,-10.808455155327
4.43,-10.7222479779344
4.44,-10.6341971822118
4.45,-10.544495845045
4.46,-10.4533339046171
4.47,-10.3608973078756
4.48,-10.2673673453343
4.49,-10.1729201082681
4.5,-10.0777260170364
4.51,-9.98194938903376
4.52,-9.88574803021794
4.53,-9.78927284359238
4.54,-9.69266745305359
4.55,-9.5960678438009
4.56,-9.49960202261539
4.57,-9.40338970348324
4.58,-9.30754202634995
4.59,-9.21216131893644
4.6,-9.11734091309256
4.61,-9.02316502773095
4.62,-8.92970872976591
4.63,-8.83703798266671
4.64,-8.74520978939104
4.65,-8.65427243288058
4.66,-8.56426581332742
4.67,-8.47522187740778
4.68,-8.38716513093173
4.69,-8.30011322310529
4.7,-8.21407758799423
4.71,-8.12906412688081
4.72,-8.04507391401692
4.73,-7.96210390774784
4.74,-7.88014764902825
4.75,-7.79919592988729
4.76,-7.71923741533603
4.77,-7.64025920348452
4.78,-7.5622473102107
4.79,-7.48518706659552
4.8,-7.40906341953448
4.81,-7.3338611285086
4.82,-7.25956485451208
4.83,-7.18615914065274
4.84,-7.11362828800269
4.85,-7.04195613487235
4.86,-6.97112575272766
4.87,-6.90111907729143
4.88,-6.83191649867652
4.89,-6.7634964392855
4.9,-6.69583495217526
4.91,-6.62890537505719
4.92,-6.56267807551437
4.93,-6.49712032088395
4.94,-6.43219630126822
4.95,-6.36786732627738
4.96,-6.30409220568467
4.97,-6.24082781188307
4.98,-6.17802980889449
4.99,-6.11565351995134
5,-6.05365489466812
