"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.44,90,-180,-11.2729673470739
3.44,90,-179,-11.3472728230516
3.44,90,-178,-11.42139892088
3.44,90,-177,-11.4942009027174
3.44,90,-176,-11.5644338012997
3.44,90,-175,-11.6307619301546
3.44,90,-174,-11.6917740204275
3.44,90,-173,-11.7460046531789
3.44,90,-172,-11.7919623245866
3.44,90,-171,-11.8281639877337
3.44,90,-170,-11.8531752715233
3.44,90,-169,-11.8656548336931
3.44,90,-168,-11.8644005500787
3.44,90,-167,-11.8483945996659
3.44,90,-166,-11.8168441129903
3.44,90,-165,-11.7692140322527
3.44,90,-164,-11.7052492547812
3.44,90,-163,-11.6249839849099
3.44,90,-162,-11.5287373985128
3.44,90,-161,-11.4170960490898
3.44,90,-160,-11.2908846989211
3.44,90,-159,-11.1511282449606
3.44,90,-158,-10.9990079920234
3.44,90,-157,-10.8358156601612
3.44,90,-156,-10.6629082419406
3.44,90,-155,-10.4816662561757
3.44,90,-154,-10.2934572141774
3.44,90,-153,-10.0996053544877
3.44,90,-152,-9.90136801512866
3.44,90,-151,-9.69991846187383
3.44,90,-150,-9.49633460178051
3.44,90,-149,-9.29159277812309
3.44,90,-148,-9.08656574205844
3.44,90,-147,-8.88202389560215
3.44,90,-146,-8.67863896699114
3.44,90,-145,-8.47698938464473
3.44,90,-144,-8.27756673743905
3.44,90,-143,-8.08078283121933
3.44,90,-142,-7.88697696456527
3.44,90,-141,-7.69642314555258
3.44,90,-140,-7.50933705365479
3.44,90,-139,-7.32588261717791
3.44,90,-138,-7.14617812812945
3.44,90,-137,-6.97030185520615
3.44,90,-136,-6.79829714382193
3.44,90,-135,-6.63017701188585
3.44,90,-134,-6.46592826325081
3.44,90,-133,-6.30551514897781
3.44,90,-132,-6.14888261110399
3.44,90,-131,-5.99595914550141
3.44,90,-130,-5.84665932047536
3.44,90,-129,-5.70088598658626
3.44,90,-128,-5.55853221124335
3.44,90,-127,-5.41948296924033
3.44,90,-126,-5.28361661781839
3.44,90,-125,-5.1508061822108
3.44,90,-124,-5.0209204750526
3.44,90,-123,-4.8938250705971
3.44,90,-122,-4.76938315240482
3.44,90,-121,-4.64745625108106
3.44,90,-120,-4.52790488673814
3.44,90,-119,-4.41058912914602
3.44,90,-118,-4.29536908699814
3.44,90,-117,-4.18210533634776
3.44,90,-116,-4.07065929704665
3.44,90,-115,-3.96089356493037
3.44,90,-114,-3.85267220652587
3.44,90,-113,-3.74586102219525
3.44,90,-112,-3.64032778286189
3.44,90,-111,-3.53594244477819
3.44,90,-110,-3.4325773461811
3.44,90,-109,-3.33010738913033
3.44,90,-108,-3.22841020932832
3.44,90,-107,-3.12736633627472
3.44,90,-106,-3.02685934570343
3.44,90,-105,-2.92677600588499
3.44,90,-104,-2.82700641904496
3.44,90,-103,-2.72744415884847
3.44,90,-102,-2.62798640462846
3.44,90,-101,-2.52853407278827
3.44,90,-100,-2.42899194558787
3.44,90,-99,-2.32926879732296
3.44,90,-98,-2.2292775177302
3.44,90,-97,-2.12893523229552
3.44,90,-96,-2.02816341900821
3.44,90,-95,-1.92688802098879
3.44,90,-94,-1.82503955432508
3.44,90,-93,-1.722553210376
3.44,90,-92,-1.61936895174872
3.44,90,-91,-1.51543160111913
3.44,90,-90,-1.41069092204937
3.44,90,-89,-1.30510169095864
3.44,90,-88,-1.19862375942305
3.44,90,-87,-1.09122210601731
3.44,90,-86,-0.982866876964003
3.44,90,-85,-0.873533414923431
3.44,90,-84,-0.763202275337816
3.44,90,-83,-0.65185922983618
3.44,90,-82,-0.539495256308242
3.44,90,-81,-0.426106515365891
3.44,90,-80,-0.311694313026733
3.44,90,-79,-0.196265049573827
3.44,90,-78,-0.0798301546668388
3.44,90,-77,0.0375939910999549
3.44,90,-76,0.155986147879525
3.44,90,-75,0.275320321068257
3.44,90,-74,0.395565878084852
3.44,90,-73,0.516687676802991
3.44,90,-72,0.638646204921596
3.44,90,-71,0.761397729480077
3.44,90,-70,0.884894455661935
3.44,90,-69,1.00908469397876
3.44,90,-68,1.13391303488825
3.44,90,-67,1.25932052987476
3.44,90,-66,1.38524487800856
3.44,90,-65,1.51162061699996
3.44,90,-64,1.63837931777616
3.44,90,-63,1.76544978163094
3.44,90,-62,1.89275823902905
3.44,90,-61,2.0202285491873
3.44,90,-60,2.14778239960114
3.44,90,-59,2.2753395047384
3.44,90,-58,2.40281780317798
3.44,90,-57,2.53013365253106
3.44,90,-56,2.65720202154308
3.44,90,-55,2.78393667883581
3.44,90,-54,2.91025037780924
3.44,90,-53,3.03605503728102
3.44,90,-52,3.16126191749746
3.44,90,-51,3.28578179120212
3.44,90,-50,3.40952510949683
3.44,90,-49,3.53240216227454
3.44,90,-48,3.65432323304326
3.44,90,-47,3.77519874799612
3.44,90,-46,3.89493941921389
3.44,90,-45,4.01345638191312
3.44,90,-44,4.13066132567625
3.44,90,-43,4.24646661961941
3.44,90,-42,4.36078543146973
3.44,90,-41,4.47353184053733
3.44,90,-40,4.58462094457811
3.44,90,-39,4.69396896055265
3.44,90,-38,4.80149331929379
3.44,90,-37,4.90711275410241
3.44,90,-36,5.01074738329684
3.44,90,-35,5.11231878674683
3.44,90,-34,5.21175007642929
3.44,90,-33,5.30896596104883
3.44,90,-32,5.40389280477327
3.44,90,-31,5.49645868014178
3.44,90,-30,5.58659341521164
3.44,90,-29,5.67422863501949
3.44,90,-28,5.75929779744287
3.44,90,-27,5.84173622355948
3.44,90,-26,5.92148112261397
3.44,90,-25,5.9984716117145
3.44,90,-24,6.07264873039559
3.44,90,-23,6.14395545019713
3.44,90,-22,6.21233667942413
3.44,90,-21,6.27773926326577
3.44,90,-20,6.3401119794663
3.44,90,-19,6.39940552975413
3.44,90,-18,6.45557252724812
3.44,90,-17,6.50856748007202
3.44,90,-16,6.55834677141917
3.44,90,-15,6.60486863631839
3.44,90,-14,6.64809313536073
3.44,90,-13,6.68798212565208
3.44,90,-12,6.72449922926171
3.44,90,-11,6.75760979943866
3.44,90,-10,6.78728088486823
3.44,90,-9,6.81348119223914
3.44,90,-8,6.83618104738722
3.44,90,-7,6.85535235527594
3.44,90,-6,6.87096855906459
3.44,90,-5,6.88300459850522
3.44,90,-4,6.89143686789588
3.44,90,-3,6.89624317380357
3.44,90,-2,6.89740269275363
3.44,90,-1,6.894895929064
3.44,90,0,6.88870467298346
3.44,90,1,6.87881195927192
3.44,90,2,6.8652020263386
3.44,90,3,6.84786027603156
3.44,90,4,6.82677323414804
3.44,90,5,6.80192851171138
3.44,90,6,6.77331476703611
3.44,90,7,6.74092166857842
3.44,90,8,6.70473985854541
3.44,90,9,6.6647609172127
3.44,90,10,6.62097732787697
3.44,90,11,6.57338244234738
3.44,90,12,6.5219704468583
3.44,90,13,6.46673632826487
3.44,90,14,6.40767584036315
3.44,90,15,6.34478547015783
3.44,90,16,6.27806240388269
3.44,90,17,6.20750449256238
3.44,90,18,6.1331102168884
3.44,90,19,6.05487865116759
3.44,90,20,5.97280942608779
3.44,90,21,5.88690269003253
3.44,90,22,5.79715906866474
3.44,90,23,5.70357962248815
3.44,90,24,5.60616580208456
3.44,90,25,5.50491940071488
3.44,90,26,5.39984250396245
3.44,90,27,5.29093743608716
3.44,90,28,5.1782067027502
3.44,90,29,5.06165292975946
3.44,90,30,4.94127879747638
3.44,90,31,4.81708697051546
3.44,90,32,4.68908002235718
3.44,90,33,4.55726035448489
3.44,90,34,4.42163010964446
3.44,90,35,4.28219107881344
3.44,90,36,4.13894460145317
3.44,90,37,3.9918914586025
3.44,90,38,3.84103175835584
3.44,90,39,3.68636481325026
3.44,90,40,3.52788900906628
3.44,90,41,3.36560166452461
