"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,90.0000000000002,-180,-6.46343194132644
3.8,90.0000000000002,-179,-6.29867191210334
3.8,90.0000000000002,-178,-6.146875667229
3.8,90.0000000000002,-177,-6.007597349957
3.8,90.0000000000002,-176,-5.88041872884074
3.8,90.0000000000002,-175,-5.76494584487435
3.8,90.0000000000002,-174,-5.6608059349596
3.8,90.0000000000002,-173,-5.5676445950584
3.8,90.0000000000002,-172,-5.48512314934983
3.8,90.0000000000002,-171,-5.41291619469257
3.8,90.0000000000002,-170,-5.35070929258067
3.8,90.0000000000002,-169,-5.29819678352141
3.8,90.0000000000002,-168,-5.25507970134957
3.8,90.0000000000002,-167,-5.22106376744099
3.8,90.0000000000002,-166,-5.19585744713814
3.8,90.0000000000002,-165,-5.17917005300176
3.8,90.0000000000002,-164,-5.17070988181613
3.8,90.0000000000002,-163,-5.17018237467035
3.8,90.0000000000002,-162,-5.17728829198783
3.8,90.0000000000002,-161,-5.19172189816191
3.8,90.0000000000002,-160,-5.21316915356056
3.8,90.0000000000002,-159,-5.2413059151727
3.8,90.0000000000002,-158,-5.27579615116696
3.8,90.0000000000002,-157,-5.31629017919781
3.8,90.0000000000002,-156,-5.36242294348904
3.8,90.0000000000002,-155,-5.41381235159245
3.8,90.0000000000002,-154,-5.47005769827073
3.8,90.0000000000002,-153,-5.53073821114598
3.8,90.0000000000002,-152,-5.59541176048592
3.8,90.0000000000002,-151,-5.66361378357378
3.8,90.0000000000002,-150,-5.73485648222547
3.8,90.0000000000002,-149,-5.80862835975007
3.8,90.0000000000002,-148,-5.88439417041885
3.8,90.0000000000002,-147,-5.96159535958569
3.8,90.0000000000002,-146,-6.03965107510464
3.8,90.0000000000002,-145,-6.11795982961481
3.8,90.0000000000002,-144,-6.19590188753039
3.8,90.0000000000002,-143,-6.27284243912452
3.8,90.0000000000002,-142,-6.34813560600435
3.8,90.0000000000002,-141,-6.42112929691533
3.8,90.0000000000002,-140,-6.49117090003622
3.8,90.0000000000002,-139,-6.55761375824974
3.8,90.0000000000002,-138,-6.61982432864937
3.8,90.0000000000002,-137,-6.67718987905136
3.8,90.0000000000002,-136,-6.72912652573993
3.8,90.0000000000002,-135,-6.77508737208361
3.8,90.0000000000002,-134,-6.81457047150818
3.8,90.0000000000002,-133,-6.84712631509522
3.8,90.0000000000002,-132,-6.87236453773653
3.8,90.0000000000002,-131,-6.88995955006885
3.8,90.0000000000002,-130,-6.89965483737007
3.8,90.0000000000002,-129,-6.90126572014819
3.8,90.0000000000002,-128,-6.89468044104325
3.8,90.0000000000002,-127,-6.87985952370045
3.8,90.0000000000002,-126,-6.85683343488795
3.8,90.0000000000002,-125,-6.82569866418014
3.8,90.0000000000002,-124,-6.78661240918289
3.8,90.0000000000002,-123,-6.73978611288566
3.8,90.0000000000002,-122,-6.68547813944003
3.8,90.0000000000002,-121,-6.6239858937863
3.8,90.0000000000002,-120,-6.55563768953454
3.8,90.0000000000002,-119,-6.48078465066539
3.8,90.0000000000002,-118,-6.39979289961163
3.8,90.0000000000002,-117,-6.31303624151376
3.8,90.0000000000002,-116,-6.22088950645128
3.8,90.0000000000002,-115,-6.12372266241166
3.8,90.0000000000002,-114,-6.02189576512865
3.8,90.0000000000002,-113,-5.91575476925318
3.8,90.0000000000002,-112,-5.80562819021956
3.8,90.0000000000002,-111,-5.69182457837502
3.8,90.0000000000002,-110,-5.57463074647371
3.8,90.0000000000002,-109,-5.45431067798322
3.8,90.0000000000002,-108,-5.3311050359574
3.8,90.0000000000002,-107,-5.2052311894563
3.8,90.0000000000002,-106,-5.07688367556073
3.8,90.0000000000002,-105,-4.94623501890474
3.8,90.0000000000002,-104,-4.81343683641775
3.8,90.0000000000002,-103,-4.67862116185685
3.8,90.0000000000002,-102,-4.54190193210573
3.8,90.0000000000002,-101,-4.40337658465363
3.8,90.0000000000002,-100,-4.2631277228179
3.8,90.0000000000002,-99,-4.12122481192021
3.8,90.0000000000002,-98,-3.97772587564754
3.8,90.0000000000002,-97,-3.83267916717198
3.8,90.0000000000002,-96,-3.68612479426815
3.8,90.0000000000002,-95,-3.53809628168828
3.8,90.0000000000002,-94,-3.38862205749189
3.8,90.0000000000002,-93,-3.23772685294631
3.8,90.0000000000002,-92,-3.08543300809206
3.8,90.0000000000002,-91,-2.93176167717264
3.8,90.0000000000002,-90,-2.77673392993006
3.8,90.0000000000002,-89,-2.62037174632113
3.8,90.0000000000002,-88,-2.46269890356705
3.8,90.0000000000002,-87,-2.3037417556476
3.8,90.0000000000002,-86,-2.14352990642267
3.8,90.0000000000002,-85,-1.98209677852951
3.8,90.0000000000002,-84,-1.81948008107785
3.8,90.0000000000002,-83,-1.65572217995563
3.8,90.0000000000002,-82,-1.49087037526699
3.8,90.0000000000002,-81,-1.32497709105267
3.8,90.0000000000002,-80,-1.15809998298622
3.8,90.0000000000002,-79,-0.990301970194475
3.8,90.0000000000002,-78,-0.821651197713437
3.8,90.0000000000002,-77,-0.652220936356004
3.8,90.0000000000002,-76,-0.482089426936957
3.8,90.0000000000002,-75,-0.311339675869306
3.8,90.0000000000002,-74,-0.140059209119942
3.8,90.0000000000002,-73,0.0316602086063532
3.8,90.0000000000002,-72,0.203722882790352
3.8,90.0000000000002,-71,0.37602951974675
3.8,90.0000000000002,-70,0.548477572965428
3.8,90.0000000000002,-69,0.720961599520135
3.8,90.0000000000002,-68,0.893373621371497
3.8,90.0000000000002,-67,1.06560348687661
3.8,90.0000000000002,-66,1.2375392283245
3.8,90.0000000000002,-65,1.40906741183384
3.8,90.0000000000002,-64,1.58007347646605
3.8,90.0000000000002,-63,1.7504420599135
3.8,90.0000000000002,-62,1.9200573086115
3.8,90.0000000000002,-61,2.08880317058585
3.8,90.0000000000002,-60,2.25656366978061
3.8,90.0000000000002,-59,2.42322316100904
3.8,90.0000000000002,-58,2.58866656503024
3.8,90.0000000000002,-57,2.75277958357552
3.8,90.0000000000002,-56,2.91544889442881
3.8,90.0000000000002,-55,3.07656232690738
3.8,90.0000000000002,-54,3.23600901829168
3.8,90.0000000000002,-53,3.39367955191981
3.8,90.0000000000002,-52,3.5494660777946
3.8,90.0000000000002,-51,3.70326241665174
3.8,90.0000000000002,-50,3.85496414851012
3.8,90.0000000000002,-49,4.00446868677212
3.8,90.0000000000002,-48,4.15167533896576
3.8,90.0000000000002,-47,4.29648535522596
3.8,90.0000000000002,-46,4.43880196560036
3.8,90.0000000000002,-45,4.57853040723957
3.8,90.0000000000002,-44,4.71557794249599
3.8,90.0000000000002,-43,4.84985386890894
3.8,90.0000000000002,-42,4.9812695220025
3.8,90.0000000000002,-41,5.10973827176498
3.8,90.0000000000002,-40,5.23517551361897
3.8,90.0000000000002,-39,5.35749865462826
3.8,90.0000000000002,-38,5.47662709562585
3.8,90.0000000000002,-37,5.59248220988425
3.8,90.0000000000002,-36,5.70498731888835
3.8,90.0000000000002,-35,5.81406766571185
3.8,90.0000000000002,-34,5.91965038644091
3.8,90.0000000000002,-33,6.02166448003488
3.8,90.0000000000002,-32,6.12004077696222
3.8,90.0000000000002,-31,6.21471190690236
3.8,90.0000000000002,-30,6.3056122657587
3.8,90.0000000000002,-29,6.3926779821873
3.8,90.0000000000002,-28,6.47584688380701
3.8,90.0000000000002,-27,6.55505846322226
3.8,90.0000000000002,-26,6.6302538439576
3.8,90.0000000000002,-25,6.70137574637398
3.8,90.0000000000002,-24,6.76836845361086
3.8,90.0000000000002,-23,6.83117777757402
3.8,90.0000000000002,-22,6.88975102496811
3.8,90.0000000000002,-21,6.94403696335323
3.8,90.0000000000002,-20,6.99398578718784
3.8,90.0000000000002,-19,7.03954908380465
3.8,90.0000000000002,-18,7.08067979925183
3.8,90.0000000000002,-17,7.11733220391947
3.8,90.0000000000002,-16,7.14946185785888
3.8,90.0000000000002,-15,7.17702557569229
3.8,90.0000000000002,-14,7.19998139099957
3.8,90.0000000000002,-13,7.21828852005984
3.8,90.0000000000002,-12,7.23190732481577
3.8,90.0000000000002,-11,7.24079927492019
3.8,90.0000000000002,-10,7.24492690871508
3.8,90.0000000000002,-9,7.24425379298414
3.8,90.0000000000002,-8,7.23874448131093
3.8,90.0000000000002,-7,7.22836447086471
3.8,90.0000000000002,-6,7.21308015742605
3.8,90.0000000000002,-5,7.19285878845342
3.8,90.0000000000002,-4,7.16766841398027
3.8,90.0000000000002,-3,7.13747783511999
3.8,90.0000000000002,-2,7.10225654994225
3.8,90.0000000000002,-1,7.06197469647002
3.8,90.0000000000002,0,7.01660299253059
3.8,90.0000000000002,1,6.96611267217672
3.8,90.0000000000002,2,6.91047541837547
3.8,90.0000000000002,3,6.84966329164167
3.8,90.0000000000002,4,6.78364865427105
3.8,90.0000000000002,5,6.71240408980367
3.8,90.0000000000002,6,6.63590231732195
3.8,90.0000000000002,7,6.55411610015884
3.8,90.0000000000002,8,6.46701814856004
3.8,90.0000000000002,9,6.37458101580994
3.8,90.0000000000002,10,6.27677698729319
3.8,90.0000000000002,11,6.17357796192256
3.8,90.0000000000002,12,6.06495532531869
3.8,90.0000000000002,13,5.95087981407734
3.8,90.0000000000002,14,5.83132137040568
3.8,90.0000000000002,15,5.70624898634882
3.8,90.0000000000002,16,5.57563053676167
3.8,90.0000000000002,17,5.43943260010867
3.8,90.0000000000002,18,5.29762026609304
3.8,90.0000000000002,19,5.15015692902865
3.8,90.0000000000002,20,4.99700406576924
3.8,90.0000000000002,21,4.83812099690064
3.8,90.0000000000002,22,4.67346462978179
3.8,90.0000000000002,23,4.50298918188632
3.8,90.0000000000002,24,4.32664588274898
3.8,90.0000000000002,25,4.14438265265751
3.8,90.0000000000002,26,3.95614375604912
3.8,90.0000000000002,27,3.76186942737029
3.8,90.0000000000002,28,3.56149546693697
3.8,90.0000000000002,29,3.35495280408792
3.8,90.0000000000002,30,3.14216702465468
3.8,90.0000000000002,31,2.9230578594769
3.8,90.0000000000002,32,2.69753863036901
3.8,90.0000000000002,33,2.46551564959421
3.8,90.0000000000002,34,2.22688756852393
3.8,90.0000000000002,35,1.98154467075724
3.8,90.0000000000002,36,1.72936810454976
3.8,90.0000000000002,37,1.47022904896112
3.8,90.0000000000002,38,1.20398780768727
3.8,90.0000000000002,39,0.930492824115421
3.8,90.0000000000002,40,0.649579610753266
3.8,90.0000000000002,41,0.361069585881112
3.8,90.0000000000002,42,0.064768810113713
3.8,90.0000000000002,43,-0.239533384375131
3.8,90.0000000000002,44,-0.552065878795516
3.8,90.0000000000002,45,-0.873077372738475
3.8,90.0000000000002,46,-1.2028381133905
3.8,90.0000000000002,47,-1.54164175026685
3.8,90.0000000000002,48,-1.88980731224943
3.8,90.0000000000002,49,-2.24768129681242
3.8,90.0000000000002,50,-2.61563985097758
3.8,90.0000000000002,51,-2.99409100825532
3.8,90.0000000000002,52,-3.38347692342857
3.8,90.0000000000002,53,-3.78427601440416
3.8,90.0000000000002,54,-4.19700487297258
3.8,90.0000000000002,55,-4.62221973763946
3.8,90.0000000000002,56,-5.06051722221057
3.8,90.0000000000002,57,-5.51253384968204
3.8,90.0000000000002,58,-5.97894373204275
3.8,90.0000000000002,59,-6.46045343347778
3.8,90.0000000000002,60,-6.9577926145811
3.8,90.0000000000002,61,-7.47169841720083
3.8,90.0000000000002,62,-8.00289062628736
3.8,90.0000000000002,63,-8.55203331565999
3.8,90.0000000000002,64,-9.11967678816259
3.8,90.0000000000002,65,-9.70617096015278
3.8,90.0000000000002,66,-10.311537714601
3.8,90.0000000000002,67,-10.9352850556429
3.8,90.0000000000002,68,-11.5761404071607
3.8,90.0000000000002,69,-12.231675345512
3.8,90.0000000000002,70,-12.897792864309
3.8,90.0000000000002,71,-13.5680586763223
3.8,90.0000000000002,72,-14.2328949796682
3.8,90.0000000000002,73,-14.8787419281774
3.8,90.0000000000002,74,-15.4874524238351
3.8,90.0000000000002,75,-16.036409982415
3.8,90.0000000000002,76,-16.5000327185738
3.8,90.0000000000002,77,-16.8531696478572
3.8,90.0000000000002,78,-17.0760984027531
3.8,90.0000000000002,79,-17.1595445953979
3.8,90.0000000000002,80,-17.1073699019566
3.8,90.0000000000002,81,-16.9354392239561
3.8,90.0000000000002,82,-16.6673120582928
3.8,90.0000000000002,83,-16.3289704580555
3.8,90.0000000000002,84,-15.944635815098
3.8,90.0000000000002,85,-15.5344928059415
3.8,90.0000000000002,86,-15.1140659496507
3.8,90.0000000000002,87,-14.6945910245407
3.8,90.0000000000002,88,-14.2837992849863
3.8,90.0000000000002,89,-13.886758069771
