"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,0,-180,-6.13952017250207
3.8,0,-179,-6.13033208072032
3.8,0,-178,-6.12261329754431
3.8,0,-177,-6.11638201766173
3.8,0,-176,-6.11164156209944
3.8,0,-175,-6.10838055584421
3.8,0,-174,-6.10657320823556
3.8,0,-173,-6.10617969319773
3.8,0,-172,-6.10714662666607
3.8,0,-171,-6.10940763873822
3.8,0,-170,-6.11288403810116
3.8,0,-169,-6.11748556611974
3.8,0,-168,-6.12311123759512
3.8,0,-167,-6.12965026459731
3.8,0,-166,-6.13698305894024
3.8,0,-165,-6.14498230780603
3.8,0,-164,-6.1535141157568
3.8,0,-163,-6.16243920492884
3.8,0,-162,-6.17161416363012
3.8,0,-161,-6.18089273191464
3.8,0,-160,-6.19012711105591
3.8,0,-159,-6.19916928226342
3.8,0,-158,-6.20787231856575
3.8,0,-157,-6.21609167260886
3.8,0,-156,-6.22368642227256
3.8,0,-155,-6.23052045557086
3.8,0,-154,-6.23646357633832
3.8,0,-153,-6.24139251276335
3.8,0,-152,-6.24519181193701
3.8,0,-151,-6.247754605244
3.8,0,-150,-6.2489832316053
3.8,0,-149,-6.24878970823689
3.8,0,-148,-6.24709604163656
3.8,0,-147,-6.24383437485081
3.8,0,-146,-6.23894697058875
3.8,0,-145,-6.23238603331132
3.8,0,-144,-6.22411337690092
3.8,0,-143,-6.21409994778391
3.8,0,-142,-6.20232521631968
3.8,0,-141,-6.18877645179144
3.8,0,-140,-6.1734478983596
3.8,0,-139,-6.15633987082323
3.8,0,-138,-6.137457789956
3.8,0,-137,-6.11681117754738
3.8,0,-136,-6.09441263111575
3.8,0,-135,-6.0702767976175
3.8,0,-134,-6.04441936441971
3.8,0,-133,-6.01685608440789
3.8,0,-132,-5.98760185044492
3.8,0,-131,-5.95666983256275
3.8,0,-130,-5.92407068932978
3.8,0,-129,-5.88981186286364
3.8,0,-128,-5.85389696500946
3.8,0,-127,-5.81632526032517
3.8,0,-126,-5.77709124974339
3.8,0,-125,-5.7361843571385
3.8,0,-124,-5.69358871952953
3.8,0,-123,-5.64928308030007
3.8,0,-122,-5.60324078360946
3.8,0,-121,-5.55542986709718
3.8,0,-120,-5.50581324902963
3.8,0,-119,-5.4543490051896
3.8,0,-118,-5.40099073004814
3.8,0,-117,-5.34568797607028
3.8,0,-116,-5.28838676437721
3.8,0,-115,-5.22903015940966
3.8,0,-114,-5.16755889970327
3.8,0,-113,-5.10391207639676
3.8,0,-112,-5.03802785065015
3.8,0,-111,-4.96984420076107
3.8,0,-110,-4.89929968944257
3.8,0,-109,-4.82633424148107
