"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,0,-180,-6.46343194132644
3.8,0,-179,-6.46446306361021
3.8,0,-178,-6.46931953699645
3.8,0,-177,-6.47797291734331
3.8,0,-176,-6.49037300802332
3.8,0,-175,-6.50644786861426
3.8,0,-174,-6.52610383806903
3.8,0,-173,-6.54922558234271
3.8,0,-172,-6.57567617937797
3.8,0,-171,-6.6052972571958
3.8,0,-170,-6.63790920355575
3.8,0,-169,-6.67331146815742
3.8,0,-168,-6.71128298055442
3.8,0,-167,-6.75158270871311
3.8,0,-166,-6.79395038431824
3.8,0,-165,-6.83810742132862
3.8,0,-164,-6.88375805372276
3.8,0,-163,-6.93059071664555
3.8,0,-162,-6.97827969207418
3.8,0,-161,-7.02648703549279
3.8,0,-160,-7.07486479377372
3.8,0,-159,-7.1230575164547
3.8,0,-158,-7.17070505291953
3.8,0,-157,-7.21744561680387
3.8,0,-156,-7.26291908656996
3.8,0,-155,-7.30677049809462
3.8,0,-154,-7.34865367191605
3.8,0,-153,-7.38823490524528
3.8,0,-152,-7.42519664782144
3.8,0,-151,-7.45924107206757
3.8,0,-150,-7.49009344264003
3.8,0,-149,-7.51750518909007
3.8,0,-148,-7.54125658849183
3.8,0,-147,-7.56115897277033
3.8,0,-146,-7.57705638797787
3.8,0,-145,-7.5888266494438
3.8,0,-144,-7.59638175673942
3.8,0,-143,-7.59966765464215
3.8,0,-142,-7.59866334943672
3.8,0,-141,-7.59337941255893
3.8,0,-140,-7.58385592441811
3.8,0,-139,-7.57015992904398
3.8,0,-138,-7.55238248407546
3.8,0,-137,-7.53063539996524
3.8,0,-136,-7.50504776689732
3.8,0,-135,-7.47576236794205
3.8,0,-134,-7.4429320728459
3.8,0,-133,-7.40671629924566
3.8,0,-132,-7.36727761783133
3.8,0,-131,-7.32477856594322
3.8,0,-130,-7.27937872114047
3.8,0,-129,-7.23123207320438
3.8,0,-128,-7.18048472049737
3.8,0,-127,-7.12727290509128
3.8,0,-126,-7.0717213909547
3.8,0,-125,-7.01394218094484
3.8,0,-124,-6.95403356144956
3.8,0,-123,-6.89207945822779
3.8,0,-122,-6.82814908317887
3.8,0,-121,-6.76229684925686
3.8,0,-120,-6.69456252932879
3.8,0,-119,-6.62497163423892
3.8,0,-118,-6.55353598547371
3.8,0,-117,-6.48025445843119
3.8,0,-116,-6.40511387321207
3.8,0,-115,-6.3280900109293
3.8,0,-114,-6.24914873466513
3.8,0,-113,-6.16824719530884
3.8,0,-112,-6.08533510353159
3.8,0,-111,-6.00035605006673
3.8,0,-110,-5.91324885725978
3.8,0,-109,-5.82394894554148
3.8,0,-108,-5.73238969908519
3.8,0,-107,-5.63850381547281
3.8,0,-106,-5.54222462475064
3.8,0,-105,-5.44348736385357
3.8,0,-104,-5.34223039305395
3.8,0,-103,-5.23839634188955
3.8,0,-102,-5.13193317297282
3.8,0,-101,-5.02279515320339
3.8,0,-100,-4.91094372320726
3.8,0,-99,-4.79634825730656
3.8,0,-98,-4.67898670796956
3.8,0,-97,-4.55884613047521
3.8,0,-96,-4.43592308541222
3.8,0,-95,-4.31022391857559
3.8,0,-94,-4.18176491977249
3.8,0,-93,-4.0505723639485
3.8,0,-92,-3.91668243984377
3.8,0,-91,-3.78014107303238
3.8,0,-90,-3.64100365164453
3.8,0,-89,-3.49933466428174
3.8,0,-88,-3.3552072605834
3.8,0,-87,-3.20870274557202
3.8,0,-86,-3.0599100192897
3.8,0,-85,-2.90892497334411
3.8,0,-84,-2.75584985582574
3.8,0,-83,-2.60079261566104
3.8,0,-82,-2.44386623686081
3.8,0,-81,-2.28518807234369
3.8,0,-80,-2.12487918609917
3.8,0,-79,-1.96306371144245
3.8,0,-78,-1.79986823204118
3.8,0,-77,-1.63542119129833
3.8,0,-76,-1.46985233458769
3.8,0,-75,-1.30329218778523
3.8,0,-74,-1.1358715745453
3.8,0,-73,-0.967721173851323
3.8,0,-72,-0.79897111854039
3.8,0,-71,-0.629750634767263
3.8,0,-70,-0.46018772174019
3.8,0,-69,-0.290408870528933
3.8,0,-68,-0.120538820311795
3.8,0,-67,0.0492996499118143
3.8,0,-66,0.218985896370198
3.8,0,-65,0.388401554731711
3.8,0,-64,0.557430655988029
3.8,0,-63,0.725959716560436
3.8,0,-62,0.893877805174588
3.8,0,-61,1.06107658899936
3.8,0,-60,1.2274503614616
3.8,0,-59,1.39289605403769
3.8,0,-58,1.55731323419144
3.8,0,-57,1.72060409148346
3.8,0,-56,1.88267341372292
3.8,0,-55,2.04342855487478
