Phi[deg],Theta[deg],dB(GainTotal)
-180,-180,-6.46343
-179,-180,-6.46343
-178,-180,-6.46343
-177,-180,-6.46343
-176,-180,-6.46343
-175,-180,-6.46343
-174,-180,-6.46343
-173,-180,-6.46343
-172,-180,-6.46343
-171,-180,-6.46343
-170,-180,-6.46343
-169,-180,-6.46343
-168,-180,-6.46343
-167,-180,-6.46343
-166,-180,-6.46343
-165,-180,-6.46343
-164,-180,-6.46343
-163,-180,-6.46343
-162,-180,-6.46343
-161,-180,-6.46343
-160,-180,-6.46343
-159,-180,-6.46343
-158,-180,-6.46343
-157,-180,-6.46343
-156,-180,-6.46343
-155,-180,-6.46343
-154,-180,-6.46343
-153,-180,-6.46343
-152,-180,-6.46343
-151,-180,-6.46343
-150,-180,-6.46343
-149,-180,-6.46343
-148,-180,-6.46343
-147,-180,-6.46343
-146,-180,-6.46343
-145,-180,-6.46343
-144,-180,-6.46343
-143,-180,-6.46343
-142,-180,-6.46343
-141,-180,-6.46343
-140,-180,-6.46343
-139,-180,-6.46343
-138,-180,-6.46343
-137,-180,-6.46343
-136,-180,-6.46343
-135,-180,-6.46343
-134,-180,-6.46343
-133,-180,-6.46343
-132,-180,-6.46343
-131,-180,-6.46343
-130,-180,-6.46343
-129,-180,-6.46343
-128,-180,-6.46343
-127,-180,-6.46343
-126,-180,-6.46343
-125,-180,-6.46343
-124,-180,-6.46343
-123,-180,-6.46343
-122,-180,-6.46343
-121,-180,-6.46343
-120,-180,-6.46343
-119,-180,-6.46343
-118,-180,-6.46343
-117,-180,-6.46343
-116,-180,-6.46343
-115,-180,-6.46343
-114,-180,-6.46343
-113,-180,-6.46343
-112,-180,-6.46343
-111,-180,-6.46343
-110,-180,-6.46343
-109,-180,-6.46343
-108,-180,-6.46343
-107,-180,-6.46343
-106,-180,-6.46343
-105,-180,-6.46343
-104,-180,-6.46343
-103,-180,-6.46343
-102,-180,-6.46343
-101,-180,-6.46343
-100,-180,-6.46343
-99,-180,-6.46343
-98,-180,-6.46343
-97,-180,-6.46343
-96,-180,-6.46343
-95,-180,-6.46343
-94,-180,-6.46343
-93,-180,-6.46343
-92,-180,-6.46343
-91,-180,-6.46343
-90,-180,-6.46343
-89,-180,-6.46343
-88,-180,-6.46343
-87,-180,-6.46343
-86,-180,-6.46343
-85,-180,-6.46343
-84,-180,-6.46343
-83,-180,-6.46343
-82,-180,-6.46343
-81,-180,-6.46343
-80,-180,-6.46343
-79,-180,-6.46343
-78,-180,-6.46343
-77,-180,-6.46343
-76,-180,-6.46343
-75,-180,-6.46343
-74,-180,-6.46343
-73,-180,-6.46343
-72,-180,-6.46343
-71,-180,-6.46343
-70,-180,-6.46343
-69,-180,-6.46343
-68,-180,-6.46343
-67,-180,-6.46343
-66,-180,-6.46343
-65,-180,-6.46343
-64,-180,-6.46343
-63,-180,-6.46343
-62,-180,-6.46343
-61,-180,-6.46343
-60,-180,-6.46343
-59,-180,-6.46343
-58,-180,-6.46343
-57,-180,-6.46343
-56,-180,-6.46343
-55,-180,-6.46343
-54,-180,-6.46343
-53,-180,-6.46343
-52,-180,-6.46343
-51,-180,-6.46343
