"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2,3.8,0,-180,-8.28674665161494
2,3.8,0,-179,-8.2136081658183
2,3.8,0,-178,-8.16944392724759
2,3.8,0,-177,-8.15373686392679
2,3.8,0,-176,-8.16227170592528
2,3.8,0,-175,-8.18786824362644
2,3.8,0,-174,-8.22177111382075
2,3.8,0,-173,-8.25553640991841
2,3.8,0,-172,-8.28305030588182
2,3.8,0,-171,-8.30213504146612
2,3.8,0,-170,-8.31521381335878
2,3.8,0,-169,-8.32879505106316
2,3.8,0,-168,-8.3519636936786
2,3.8,0,-167,-8.39437512230508
2,3.8,0,-166,-8.46428311147693
2,3.8,0,-165,-8.56695807620125
2,3.8,0,-164,-8.70364175028817
2,3.8,0,-163,-8.87107145670411
2,3.8,0,-162,-9.06161448794633
2,3.8,0,-161,-9.26411567015423
2,3.8,0,-160,-9.46556620839947
2,3.8,0,-159,-9.65353746499229
2,3.8,0,-158,-9.81896753823684
2,3.8,0,-157,-9.95851304376277
2,3.8,0,-156,-10.0756108192016
2,3.8,0,-155,-10.1798303575421
2,3.8,0,-154,-10.2848168717304
2,3.8,0,-153,-10.4056313530966
2,3.8,0,-152,-10.5562955096263
2,3.8,0,-151,-10.7479835612991
2,3.8,0,-150,-10.9879012416922
2,3.8,0,-149,-11.2786689239836
2,3.8,0,-148,-11.6180044465944
2,3.8,0,-147,-11.9986144112633
2,3.8,0,-146,-12.4083801027232
2,3.8,0,-145,-12.8311030178734
2,3.8,0,-144,-13.248160992415
2,3.8,0,-143,-13.6412736686431
2,3.8,0,-142,-13.9960800718961
2,3.8,0,-141,-14.3055452644211
2,3.8,0,-140,-14.5718556227524
2,3.8,0,-139,-14.8059313990879
2,3.8,0,-138,-15.0248023517394
2,3.8,0,-137,-15.2480099149376
2,3.8,0,-136,-15.4942787408534
2,3.8,0,-135,-15.7791047307097
2,3.8,0,-134,-16.1132196716444
2,3.8,0,-133,-16.5014890382349
2,3.8,0,-132,-16.9417041047182
2,3.8,0,-131,-17.4228456072197
2,3.8,0,-130,-17.9227331708614
2,3.8,0,-129,-18.4057294509826
2,3.8,0,-128,-18.822548868885
2,3.8,0,-127,-19.1156841027941
2,3.8,0,-126,-19.2330545122719
2,3.8,0,-125,-19.1462704139609
2,3.8,0,-124,-18.8620731454266
2,3.8,0,-123,-18.4176632981696
2,3.8,0,-122,-17.8640145096483
2,3.8,0,-121,-17.2495060111616
2,3.8,0,-120,-16.6113396867084
2,3.8,0,-119,-15.9741774216718
2,3.8,0,-118,-15.3523842398135
2,3.8,0,-117,-14.75309826974
2,3.8,0,-116,-14.1788814448734
2,3.8,0,-115,-13.629650337208
2,3.8,0,-114,-13.1039635785546
2,3.8,0,-113,-12.5998301957788
2,3.8,0,-112,-12.1151875809622
