"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,20,2.5,-1.55987922890125
2,20,2.51,-1.6096961262751
2,20,2.52,-1.66193416064847
2,20,2.53,-1.71673572221987
2,20,2.54,-1.77425234771256
2,20,2.55,-1.83464447609777
2,20,2.56,-1.89808107767746
2,20,2.57,-1.96473915321078
2,20,2.58,-2.03480310219482
2,20,2.59,-2.10846396214652
2,20,2.6,-2.18591852373166
2,20,2.61,-2.26736832974878
2,20,2.62,-2.35301856914222
2,20,2.63,-2.44307688015805
2,20,2.64,-2.53775207918911
2,20,2.65,-2.63725283347242
2,20,2.66,-2.74178629633818
2,20,2.67,-2.85155672301337
2,20,2.68,-2.96676408311764
2,20,2.69,-3.08760268331674
2,20,2.7,-3.21425981083718
2,20,2.71,-3.34691440676574
2,20,2.72,-3.48573577858614
2,20,2.73,-3.63088236563119
2,20,2.74,-3.78250058017772
2,20,2.75,-3.94072376124299
2,20,2.76,-4.10567129708941
2,20,2.77,-4.27744799381741
2,20,2.78,-4.45614378729702
2,20,2.79,-4.64183390854959
2,20,2.8,-4.83457961213923
2,20,2.81,-5.03442955716631
2,20,2.82,-5.2414218872768
2,20,2.83,-5.45558699008072
2,20,2.84,-5.67695083352144
2,20,2.85,-5.90553868896721
2,20,2.86,-6.14137897437837
2,20,2.87,-6.38450690308945
2,20,2.88,-6.63496761828005
2,20,2.89,-6.89281853612327
2,20,2.9,-7.15813070787288
2,20,2.91,-7.43098912926887
2,20,2.92,-7.71149205507123
2,20,2.93,-7.99974949687256
2,20,2.94,-8.29588117736744
2,20,2.95,-8.60001427516797
2,20,2.96,-8.91228132024737
2,20,2.97,-9.23281859651319
2,20,2.98,-9.56176538303965
2,20,2.99,-9.89926432663161
2,20,3,-10.2454631898548
2,20,3.01,-10.6005181601417
2,20,3.02,-10.9645988326114
2,20,3.03,-11.3378948848539
2,20,3.04,-11.7206243390283
2,20,3.05,-12.1130431504241
2,20,3.06,-12.5154556712697
2,20,3.07,-12.9282253167818
2,20,3.08,-13.3517845105609
2,20,3.09,-13.7866427057732
2,20,3.1,-14.2333909485469
2,20,3.11,-14.6927010233794
2,20,3.12,-15.1653166068763
2,20,3.13,-15.652032907692
2,20,3.14,-16.1536597663132
2,20,3.15,-16.6709608210407
2,20,3.16,-17.2045577151442
2,20,3.17,-17.7547829497311
2,20,3.18,-18.3214574352561
2,20,3.19,-18.9035589952918
2,20,3.2,-19.4987372457884
2,20,3.21,-20.1026230155333
2,20,3.22,-20.7078890183084
2,20,3.23,-21.3030695090674
2,20,3.24,-21.871287094828
2,20,3.25,-22.3893197298865
2,20,3.26,-22.8278611070526
2,20,3.27,-23.1541387739725
2,20,3.28,-23.3376355474633
2,20,3.29,-23.3579168560039
2,20,3.3,-23.2112006640546
2,20,3.31,-22.9118097844394
2,20,3.32,-22.4875521670222
2,20,3.33,-21.9719321598831
2,20,3.34,-21.3971811310417
2,20,3.35,-20.7902300990113
2,20,3.36,-20.1715046692891
2,20,3.37,-19.5554293693202
2,20,3.38,-18.9516017587304
2,20,3.39,-18.3660210284624
2,20,3.4,-17.8021172220204
2,20,3.41,-17.2615351545862
2,20,3.42,-16.7447171456463
2,20,3.43,-16.251345982831
2,20,3.44,-15.7806858286435
2,20,3.45,-15.3318264331632
2,20,3.46,-14.9038266470261
2,20,3.47,-14.495771938973
2,20,3.48,-14.1067815283496
2,20,3.49,-13.7360013068661
2,20,3.5,-13.3826028649814
2,20,3.51,-13.0457926962661
2,20,3.52,-12.7248274444947
2,20,3.53,-12.4190296893904
2,20,3.54,-12.1278002959763
2,20,3.55,-11.8506252575787
2,20,3.56,-11.5870764376718
2,20,3.57,-11.3368066482834
2,20,3.58,-11.099540209528
2,20,3.59,-10.8750605363976
2,20,3.6,-10.6631963378423
2,20,3.61,-10.463807657805
2,20,3.62,-10.2767723311523
2,20,3.63,-10.1019727224187
2,20,3.64,-9.93928220920492
2,20,3.65,-9.78855104241165
2,20,3.66,-9.64959197981362
2,20,3.67,-9.52216711599315
2,20,3.68,-9.40597805249105
2,20,3.69,-9.30066146047257
2,20,3.7,-9.20579108095548
