"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,20,0,-180,-9.90027092392358
2,4.3,20,0,-179,-11.8800342020195
2,4.3,20,0,-178,-14.7726852801356
2,4.3,20,0,-177,-17.7104003093315
2,4.3,20,0,-176,-16.953489218055
2,4.3,20,0,-175,-13.8343744736981
2,4.3,20,0,-174,-11.3434759175336
2,4.3,20,0,-173,-9.74905201147046
2,4.3,20,0,-172,-8.90334107021254
2,4.3,20,0,-171,-8.70954626208862
2,4.3,20,0,-170,-9.14561207151584
2,4.3,20,0,-169,-10.2650211444838
2,4.3,20,0,-168,-12.2173081499535
2,4.3,20,0,-167,-15.2554217347301
2,4.3,20,0,-166,-19.0260943627654
2,4.3,20,0,-165,-18.7774564437123
2,4.3,20,0,-164,-14.9702476804709
2,4.3,20,0,-163,-12.012515673863
2,4.3,20,0,-162,-10.1066317195855
2,4.3,20,0,-161,-8.99627995110045
2,4.3,20,0,-160,-8.53126518371604
2,4.3,20,0,-159,-8.65195793872547
2,4.3,20,0,-158,-9.36973657631553
2,4.3,20,0,-157,-10.7734224307331
2,4.3,20,0,-156,-13.0649207220252
2,4.3,20,0,-155,-16.5619689334688
2,4.3,20,0,-154,-20.3019539652678
2,4.3,20,0,-153,-18.2410924233653
2,4.3,20,0,-152,-14.1656910190422
2,4.3,20,0,-151,-11.2915973714478
2,4.3,20,0,-150,-9.39881740721251
2,4.3,20,0,-149,-8.20972955261429
2,4.3,20,0,-148,-7.57312408092044
2,4.3,20,0,-147,-7.41647867413341
2,4.3,20,0,-146,-7.71966804163091
2,4.3,20,0,-145,-8.50915350491762
2,4.3,20,0,-144,-9.87044841072123
2,4.3,20,0,-143,-11.9888000082685
2,4.3,20,0,-142,-15.2378005307688
2,4.3,20,0,-141,-19.9624853153019
2,4.3,20,0,-140,-20.8316821840065
2,4.3,20,0,-139,-15.8679641431335
2,4.3,20,0,-138,-12.1234661008665
2,4.3,20,0,-137,-9.57335829625174
2,4.3,20,0,-136,-7.77184202243948
2,4.3,20,0,-135,-6.47496522966032
2,4.3,20,0,-134,-5.543261126793
2,4.3,20,0,-133,-4.88711910472435
2,4.3,20,0,-132,-4.44079205645611
2,4.3,20,0,-131,-4.14875271547827
2,4.3,20,0,-130,-3.95797506981915
2,4.3,20,0,-129,-3.81429825223307
2,4.3,20,0,-128,-3.66317577973368
2,4.3,20,0,-127,-3.45539556062662
2,4.3,20,0,-126,-3.15627545442039
2,4.3,20,0,-125,-2.75347952130417
2,4.3,20,0,-124,-2.25794614001078
2,4.3,20,0,-123,-1.6969082374287
2,4.3,20,0,-122,-1.10348867852707
2,4.3,20,0,-121,-0.508255212883636
2,4.3,20,0,-120,0.0650148055373302
2,4.3,20,0,-119,0.600091730656507
2,4.3,20,0,-118,1.08723844155236
2,4.3,20,0,-117,1.52162255149535
2,4.3,20,0,-116,1.90184088144637
2,4.3,20,0,-115,2.22876789786232
2,4.3,20,0,-114,2.50473353138136
2,4.3,20,0,-113,2.73296606597777
2,4.3,20,0,-112,2.9172274112023
2,4.3,20,0,-111,3.06158047421013
2,4.3,20,0,-110,3.17024420838984
2,4.3,20,0,-109,3.24750538962066
2,4.3,20,0,-108,3.29766612420373
2,4.3,20,0,-107,3.32501296819978
