"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,20,0,-180,-9.70194282525088
2,4.3,20,0,-179,-8.59079680059675
2,4.3,20,0,-178,-8.13745089700361
2,4.3,20,0,-177,-8.29444602110935
2,4.3,20,0,-176,-9.07755921419229
2,4.3,20,0,-175,-10.5666025454879
2,4.3,20,0,-174,-12.8850908343805
2,4.3,20,0,-173,-15.8604061567098
2,4.3,20,0,-172,-17.1802389435258
2,4.3,20,0,-171,-14.7643901220014
2,4.3,20,0,-170,-11.8896877919643
2,4.3,20,0,-169,-9.82275016463118
2,4.3,20,0,-168,-8.52466889651236
2,4.3,20,0,-167,-7.86841417173765
2,4.3,20,0,-166,-7.78053597073648
2,4.3,20,0,-165,-8.23849976683495
2,4.3,20,0,-164,-9.25852418588459
2,4.3,20,0,-163,-10.8665309029828
2,4.3,20,0,-162,-12.9522539592593
2,4.3,20,0,-161,-14.6893184054469
2,4.3,20,0,-160,-14.3538982293718
2,4.3,20,0,-159,-12.3390516797891
2,4.3,20,0,-158,-10.2985719077579
2,4.3,20,0,-157,-8.77275871618611
2,4.3,20,0,-156,-7.79146176329029
2,4.3,20,0,-155,-7.30521363816172
2,4.3,20,0,-154,-7.27518421927668
2,4.3,20,0,-153,-7.68365606027341
2,4.3,20,0,-152,-8.52646353451264
2,4.3,20,0,-151,-9.78465991016185
2,4.3,20,0,-150,-11.3283550867813
2,4.3,20,0,-149,-12.6677382413384
2,4.3,20,0,-148,-12.8795151773422
2,4.3,20,0,-147,-11.7367236252465
2,4.3,20,0,-146,-10.1000982397333
2,4.3,20,0,-145,-8.61767059607472
2,4.3,20,0,-144,-7.48323275729742
2,4.3,20,0,-143,-6.7140072652488
2,4.3,20,0,-142,-6.28525253343909
2,4.3,20,0,-141,-6.16753152664424
2,4.3,20,0,-140,-6.33199864438452
2,4.3,20,0,-139,-6.74349428037375
2,4.3,20,0,-138,-7.34333561169509
2,4.3,20,0,-137,-8.01938215865222
2,4.3,20,0,-136,-8.57507922038128
2,4.3,20,0,-135,-8.75822018931756
2,4.3,20,0,-134,-8.41668739142686
2,4.3,20,0,-133,-7.63791756682891
2,4.3,20,0,-132,-6.65374496946123
2,4.3,20,0,-131,-5.66406706991805
2,4.3,20,0,-130,-4.77989369968491
2,4.3,20,0,-129,-4.04699359764964
2,4.3,20,0,-128,-3.47688404933344
2,4.3,20,0,-127,-3.0653754352514
2,4.3,20,0,-126,-2.80120081969313
2,4.3,20,0,-125,-2.6691982080818
2,4.3,20,0,-124,-2.65067291544506
2,4.3,20,0,-123,-2.72221586382014
2,4.3,20,0,-122,-2.85373235650533
2,4.3,20,0,-121,-3.0066043865136
2,4.3,20,0,-120,-3.13363248978091
2,4.3,20,0,-119,-3.18312051151985
2,4.3,20,0,-118,-3.1086322085645
2,4.3,20,0,-117,-2.88201295770538
2,4.3,20,0,-116,-2.5023836007571
2,4.3,20,0,-115,-1.99448585045685
2,4.3,20,0,-114,-1.39760850573252
2,4.3,20,0,-113,-0.752748415832668
2,4.3,20,0,-112,-0.0942310508451225
2,4.3,20,0,-111,0.553154494930063
2,4.3,20,0,-110,1.1735066203036
2,4.3,20,0,-109,1.75782230747887
2,4.3,20,0,-108,2.30193093589664
2,4.3,20,0,-107,2.80482724976862
2,4.3,20,0,-106,3.26747147108859
2,4.3,20,0,-105,3.69197648615908
2,4.3,20,0,-104,4.08107591449015
2,4.3,20,0,-103,4.43778308767793
2,4.3,20,0,-102,4.76517528702842
2,4.3,20,0,-101,5.06625857462262
2,4.3,20,0,-100,5.34388393936393
2,4.3,20,0,-99,5.60069597084369
2,4.3,20,0,-98,5.83910216619056
2,4.3,20,0,-97,6.06125541021132
2,4.3,20,0,-96,6.26904498525464
2,4.3,20,0,-95,6.46409323475143
2,4.3,20,0,-94,6.64775609817632
2,4.3,20,0,-93,6.8211263981099
2,4.3,20,0,-92,6.98503914920084
2,4.3,20,0,-91,7.1400783761977
2,4.3,20,0,-90,7.28658504067209
2,4.3,20,0,-89,7.42466572752216
2,4.3,20,0,-88,7.55420176151491
2,4.3,20,0,-87,7.67485842922857
2,4.3,20,0,-86,7.78609398369412
2,4.3,20,0,-85,7.8871681135415
2,4.3,20,0,-84,7.97714956771397
2,4.3,20,0,-83,8.05492264075277
2,4.3,20,0,-82,8.11919224102838
2,4.3,20,0,-81,8.16848728362984
2,4.3,20,0,-80,8.20116217008474
2,4.3,20,0,-79,8.21539613938108
2,4.3,20,0,-78,8.20919030228428
2,4.3,20,0,-77,8.18036221139855
2,4.3,20,0,-76,8.1265378875435
2,4.3,20,0,-75,8.04514134519266
2,4.3,20,0,-74,7.93338188211631
2,4.3,20,0,-73,7.78823980133073
2,4.3,20,0,-72,7.60645195716911
2,4.3,20,0,-71,7.38449980782647
2,4.3,20,0,-70,7.11860494892821
2,4.3,20,0,-69,6.80474116937353
2,4.3,20,0,-68,6.43867928945055
2,4.3,20,0,-67,6.01609385974221
2,4.3,20,0,-66,5.53278350310733
2,4.3,20,0,-65,4.98509648935804
2,4.3,20,0,-64,4.37072110931078
2,4.3,20,0,-63,3.69010950696466
2,4.3,20,0,-62,2.94895372605622
2,4.3,20,0,-61,2.16225246380125
2,4.3,20,0,-60,1.36028642940729
2,4.3,20,0,-59,0.595404105267998
2,4.3,20,0,-58,-0.0553928190634846
2,4.3,20,0,-57,-0.502401439313138
2,4.3,20,0,-56,-0.676798576938915
2,4.3,20,0,-55,-0.569371247318092
2,4.3,20,0,-54,-0.238218016896165
2,4.3,20,0,-53,0.222983050052046
2,4.3,20,0,-52,0.723655322299383
2,4.3,20,0,-51,1.19550311792498
2,4.3,20,0,-50,1.59338811948084
2,4.3,20,0,-49,1.88890829670028
2,4.3,20,0,-48,2.06361003726196
2,4.3,20,0,-47,2.10393796487914
2,4.3,20,0,-46,1.99789723926825
2,4.3,20,0,-45,1.73294451872276
2,4.3,20,0,-44,1.29479968262879
2,4.3,20,0,-43,0.667360097229698
2,4.3,20,0,-42,-0.165029036276951
2,4.3,20,0,-41,-1.20897503116351
2,4.3,20,0,-40,-2.43633641587922
2,4.3,20,0,-39,-3.71918803198058
2,4.3,20,0,-38,-4.72338772609012
2,4.3,20,0,-37,-4.9537538207391
2,4.3,20,0,-36,-4.24378704166112
2,4.3,20,0,-35,-2.99532129604593
2,4.3,20,0,-34,-1.67265111952098
2,4.3,20,0,-33,-0.513911732468753
2,4.3,20,0,-32,0.398751012628804
2,4.3,20,0,-31,1.04516375555599
2,4.3,20,0,-30,1.42266546934459
2,4.3,20,0,-29,1.52937940016027
2,4.3,20,0,-28,1.35831289543934
2,4.3,20,0,-27,0.89573384344545
2,4.3,20,0,-26,0.123063768260706
2,4.3,20,0,-25,-0.972449738253048
2,4.3,20,0,-24,-2.35863243930067
2,4.3,20,0,-23,-3.84008452716624
2,4.3,20,0,-22,-4.8529056476247
2,4.3,20,0,-21,-4.68899797961702
2,4.3,20,0,-20,-3.48631794540692
2,4.3,20,0,-19,-2.00721124477753
2,4.3,20,0,-18,-0.721976657358797
2,4.3,20,0,-17,0.220832819801372
2,4.3,20,0,-16,0.794090510561078
2,4.3,20,0,-15,0.998875759425189
2,4.3,20,0,-14,0.835157492665199
2,4.3,20,0,-13,0.295153639905221
2,4.3,20,0,-12,-0.631200304179968
2,4.3,20,0,-11,-1.92740553573528
2,4.3,20,0,-10,-3.45174759219997
2,4.3,20,0,-9,-4.70935541008743
2,4.3,20,0,-8,-4.86794051021419
2,4.3,20,0,-7,-3.80776174040432
2,4.3,20,0,-6,-2.32967881129482
2,4.3,20,0,-5,-1.02486782708826
2,4.3,20,0,-4,-0.0850673262812678
2,4.3,20,0,-3,0.458578191301857
2,4.3,20,0,-2,0.614712035616519
2,4.3,20,0,-1,0.396748170496226
2,4.3,20,0,0,-0.179847417597948
2,4.3,20,0,1,-1.08003984390521
2,4.3,20,0,2,-2.19935199325719
2,4.3,20,0,3,-3.2677891065882
2,4.3,20,0,4,-3.81433398625129
2,4.3,20,0,5,-3.51441222232203
2,4.3,20,0,6,-2.6087520706932
2,4.3,20,0,7,-1.57436992829121
2,4.3,20,0,8,-0.708101951324698
2,4.3,20,0,9,-0.120831680007765
2,4.3,20,0,10,0.165171769901432
2,4.3,20,0,11,0.163350506399265
2,4.3,20,0,12,-0.0926006636679915
2,4.3,20,0,13,-0.544580027001383
2,4.3,20,0,14,-1.0960225697164
2,4.3,20,0,15,-1.60249580326157
2,4.3,20,0,16,-1.89873563494221
2,4.3,20,0,17,-1.88213850795207
2,4.3,20,0,18,-1.58542600766307
2,4.3,20,0,19,-1.14299460679355
2,4.3,20,0,20,-0.695878503751642
2,4.3,20,0,21,-0.33630199919185
2,4.3,20,0,22,-0.10294664316989
2,4.3,20,0,23,0.00686580417847714
2,4.3,20,0,24,0.0265605475807786
2,4.3,20,0,25,0.0121323012149468
2,4.3,20,0,26,0.0303129427227557
2,4.3,20,0,27,0.138436758247717
2,4.3,20,0,28,0.361284947179457
2,4.3,20,0,29,0.680271072618411
2,4.3,20,0,30,1.04389601829288
2,4.3,20,0,31,1.38974398399033
2,4.3,20,0,32,1.66213226423917
2,4.3,20,0,33,1.8194114837096
2,4.3,20,0,34,1.83426192466246
2,4.3,20,0,35,1.69228542882082
2,4.3,20,0,36,1.39288664451617
2,4.3,20,0,37,0.955723716174866
2,4.3,20,0,38,0.43609370895478
2,4.3,20,0,39,-0.051080839237197
2,4.3,20,0,40,-0.319173197152323
2,4.3,20,0,41,-0.166222680935204
2,4.3,20,0,42,0.4854766462502
2,4.3,20,0,43,1.521060522495
2,4.3,20,0,44,2.73993287026377
2,4.3,20,0,45,3.98107642028966
2,4.3,20,0,46,5.15481204102602
2,4.3,20,0,47,6.22266991044555
2,4.3,20,0,48,7.17367680905177
2,4.3,20,0,49,8.00959639467976
2,4.3,20,0,50,8.73737712372076
2,4.3,20,0,51,9.36560920275715
2,4.3,20,0,52,9.90295949308634
2,4.3,20,0,53,10.3575365330004
2,4.3,20,0,54,10.7366811893831
2,4.3,20,0,55,11.0469457923295
2,4.3,20,0,56,11.2941513540164
2,4.3,20,0,57,11.4834720314307
2,4.3,20,0,58,11.6195239887173
2,4.3,20,0,59,11.706448976835
2,4.3,20,0,60,11.7479890938949
2,4.3,20,0,61,11.7475519968485
2,4.3,20,0,62,11.7082670515922
2,4.3,20,0,63,11.633033372068
