"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-180,-35.6930761757465
3.8,45,-179,-35.9971896790554
3.8,45,-178,-36.9720134790147
3.8,45,-177,-38.4502167673639
3.8,45,-176,-39.572883112442
3.8,45,-175,-38.8009390964782
3.8,45,-174,-36.5598133042689
3.8,45,-173,-34.3199368646581
3.8,45,-172,-32.5859450012927
3.8,45,-171,-31.3926090667772
3.8,45,-170,-30.6873717664992
3.8,45,-169,-30.4129010903982
3.8,45,-168,-30.50613905937
3.8,45,-167,-30.8650555428023
3.8,45,-166,-31.2871030385048
3.8,45,-165,-31.4283963412111
3.8,45,-164,-30.9597707577482
3.8,45,-163,-29.8966881102878
3.8,45,-162,-28.5702452811628
3.8,45,-161,-27.2932404113951
3.8,45,-160,-26.2329713241872
3.8,45,-159,-25.459067254335
3.8,45,-158,-25.0008457150096
3.8,45,-157,-24.8786713335912
3.8,45,-156,-25.1196969326177
3.8,45,-155,-25.7685742717057
3.8,45,-154,-26.9000365230221
3.8,45,-153,-28.6397770506361
3.8,45,-152,-31.1987233257362
3.8,45,-151,-34.8570285584058
3.8,45,-150,-38.8358757452965
3.8,45,-149,-37.9953187160084
3.8,45,-148,-34.6544667780704
3.8,45,-147,-32.0901602002855
3.8,45,-146,-29.8351248940475
3.8,45,-145,-27.1254517309571
3.8,45,-144,-23.8391887681323
3.8,45,-143,-20.3992426530358
3.8,45,-142,-17.1457619708827
3.8,45,-141,-14.1971386914725
3.8,45,-140,-11.5601748485642
3.8,45,-139,-9.20622631699899
3.8,45,-138,-7.10046704430622
3.8,45,-137,-5.21083766790409
3.8,45,-136,-3.51000521850728
3.8,45,-135,-1.97518040782621
3.8,45,-134,-0.587404317848261
3.8,45,-133,0.669191753709322
3.8,45,-132,1.80801753887829
3.8,45,-131,2.84052827740874
3.8,45,-130,3.77661843303818
3.8,45,-129,4.62492690644794
3.8,45,-128,5.39307391059039
3.8,45,-127,6.08784572147411
3.8,45,-126,6.71533974880898
3.8,45,-125,7.28107930116406
3.8,45,-124,7.79010506551644
3.8,45,-123,8.24704856004063
3.8,45,-122,8.65619151490727
3.8,45,-121,9.02151417207211
3.8,45,-120,9.34673478117621
3.8,45,-119,9.63534203757141
3.8,45,-118,9.89062181112393
3.8,45,-117,10.1156792153425
3.8,45,-116,10.3134568398521
3.8,45,-115,10.4867497966644
3.8,45,-114,10.6382180985191
3.8,45,-113,10.7703967858239
3.8,45,-112,10.8857041400676
3.8,45,-111,10.986448260539
3.8,45,-110,11.0748322336613
3.8,45,-109,11.1529580871402
3.8,45,-108,11.222829692071
3.8,45,-107,11.2863547533465
3.8,45,-106,11.3453460107714
3.8,45,-105,11.4015217591405
3.8,45,-104,11.4565057843652
3.8,45,-103,11.5118268038791
3.8,45,-102,11.5689174925391
3.8,45,-101,11.6291131696584
3.8,45,-100,11.6936502183714
3.8,45,-99,11.7636643049703
3.8,45,-98,11.8401884629636
3.8,45,-97,11.9241511041921
3.8,45,-96,12.0163740172075
3.8,45,-95,12.1175704110975
3.8,45,-94,12.2283430608244
3.8,45,-93,12.3491826077539
3.8,45,-92,12.4804660661832
3.8,45,-91,12.6224555831437
3.8,45,-90,12.7752974943977
3.8,45,-89,12.9390217142199
3.8,45,-88,13.1135414901723
3.8,45,-87,13.2986535466088
3.8,45,-86,13.494038632114
3.8,45,-85,13.6992624766028
3.8,45,-84,13.9137771535476
3.8,45,-83,14.136922832014
3.8,45,-82,14.367929892144
3.8,45,-81,14.6059213667593
3.8,45,-80,14.8499156611813
3.8,45,-79,15.0988294934796
3.8,45,-78,15.3514809884233
3.8,45,-77,15.6065928505982
3.8,45,-76,15.8627955355648
3.8,45,-75,16.1186303325551
3.8,45,-74,16.3725522679275
3.8,45,-73,16.6229327351871
3.8,45,-72,16.8680617545045
3.8,45,-71,17.1061497619015
3.8,45,-70,17.3353288250811
3.8,45,-69,17.5536531786689
3.8,45,-68,17.7590989656741
3.8,45,-67,17.9495630634886
3.8,45,-66,18.1228608607674
3.8,45,-65,18.2767228349897
3.8,45,-64,18.4087897580474
3.8,45,-63,18.516606327207
3.8,45,-62,18.5976129791447
3.8,45,-61,18.6491355927349
3.8,45,-60,18.6683727182751
3.8,45,-59,18.6523798819742
3.8,45,-58,18.5980503981797
3.8,45,-57,18.5020919687655
3.8,45,-56,18.3609981464605
3.8,45,-55,18.1710134684226
3.8,45,-54,17.9280907018311
3.8,45,-53,17.6278381465565
3.8,45,-52,17.2654542547488
3.8,45,-51,16.835645868989
3.8,45,-50,16.3325250204893
3.8,45,-49,15.7494772660238
3.8,45,-48,15.078991657947
3.8,45,-47,14.3124381172629
3.8,45,-46,13.4397713501299
3.8,45,-45,12.4491300281293
3.8,45,-44,11.326283108895
3.8,45,-43,10.0538470652346
3.8,45,-42,8.61014914131905
3.8,45,-41,6.96752392090201
3.8,45,-40,5.08966387271236
3.8,45,-39,2.92730934488109
3.8,45,-38,0.410839765706741
3.8,45,-37,-2.56337541821727
3.8,45,-36,-6.160460885753
3.8,45,-35,-10.6690957146406
3.8,45,-34,-16.6604276501617
3.8,45,-33,-25.2703156973044
3.8,45,-32,-31.2383268868978
3.8,45,-31,-28.5202755051568
3.8,45,-30,-24.8229305527954
3.8,45,-29,-19.2805090815077
3.8,45,-28,-14.6352103752863
3.8,45,-27,-11.1653838007496
3.8,45,-26,-8.58008515954324
3.8,45,-25,-6.65400546579546
3.8,45,-24,-5.24353338895327
3.8,45,-23,-4.25780487314215
3.8,45,-22,-3.63899384767321
3.8,45,-21,-3.35100507029414
3.8,45,-20,-3.3731449075943
3.8,45,-19,-3.69670072678504
3.8,45,-18,-4.32335073459913
3.8,45,-17,-5.26487190305499
3.8,45,-16,-6.54387178163018
3.8,45,-15,-8.19521978125234
3.8,45,-14,-10.267008694552
3.8,45,-13,-12.8161336886795
3.8,45,-12,-15.8789300405529
3.8,45,-11,-19.3504852461216
3.8,45,-10,-22.6855130593158
3.8,45,-9,-25.0277313611299
3.8,45,-8,-26.6385090281486
3.8,45,-7,-28.1806460796224
3.8,45,-6,-27.420078759752
3.8,45,-5,-23.4506071664093
3.8,45,-4,-19.5586950614275
3.8,45,-3,-16.566978006556
3.8,45,-2,-14.3501761962156
3.8,45,-1,-12.7458208329354
3.8,45,0,-11.6419785080089
3.8,45,1,-10.9669628448462
3.8,45,2,-10.6763205388274
3.8,45,3,-10.7444779190314
3.8,45,4,-11.1596962613356
3.8,45,5,-11.920613749669
3.8,45,6,-13.0324570985085
3.8,45,7,-14.4994219529078
3.8,45,8,-16.3049927644966
3.8,45,9,-18.3628874241994
3.8,45,10,-20.4272408049273
3.8,45,11,-22.0740331347446
3.8,45,12,-23.0500426428715
3.8,45,13,-23.6542227995615
3.8,45,14,-24.4074314908818
3.8,45,15,-25.6045588106068
3.8,45,16,-26.9860181760532
3.8,45,17,-27.1253819272662
3.8,45,18,-25.0753960746641
3.8,45,19,-22.3676133173263
3.8,45,20,-20.0451384230981
3.8,45,21,-18.2702773991322
3.8,45,22,-16.9911021123886
3.8,45,23,-16.1387858374296
3.8,45,24,-15.6598762642119
3.8,45,25,-15.5169080917125
3.8,45,26,-15.684241121167
3.8,45,27,-16.1432959936843
3.8,45,28,-16.8764939213856
3.8,45,29,-17.8571910255954
3.8,45,30,-19.0309869518435
3.8,45,31,-20.284816791328
3.8,45,32,-21.4189339395345
3.8,45,33,-22.1889157328823
3.8,45,34,-22.4725895351312
3.8,45,35,-22.3884493079905
3.8,45,36,-22.1754732699048
3.8,45,37,-22.0232472843742
3.8,45,38,-22.0248063347368
3.8,45,39,-22.1956073265404
3.8,45,40,-22.4898336853456
3.8,45,41,-22.8017829432993
3.8,45,42,-22.973907270996
3.8,45,43,-22.8501519303013
3.8,45,44,-22.3715392098687
3.8,45,45,-21.6166809718849
3.8,45,46,-20.7327997839266
3.8,45,47,-19.8486170195483
3.8,45,48,-19.0432398501578
3.8,45,49,-18.3546191277218
3.8,45,50,-17.7958563200381
3.8,45,51,-17.3671827107512
3.8,45,52,-17.0628326628397
3.8,45,53,-16.874585366876
3.8,45,54,-16.7934726989147
3.8,45,55,-16.8105429339984
3.8,45,56,-16.9171526763589
3.8,45,57,-17.1050275039521
3.8,45,58,-17.3662123509732
3.8,45,59,-17.6929731767031
3.8,45,60,-18.0776828014856
3.8,45,61,-18.5127108876125
3.8,45,62,-18.9903332391475
3.8,45,63,-19.502674746953
3.8,45,64,-20.041700743225
3.8,45,65,-20.5992710283998
3.8,45,66,-21.1672672670133
3.8,45,67,-21.7377960632822
3.8,45,68,-22.3034562802375
3.8,45,69,-22.8576418304742
3.8,45,70,-23.394834915984
3.8,45,71,-23.910836180322
3.8,45,72,-24.4028832508475
3.8,45,73,-24.8696289959891
3.8,45,74,-25.3109803651894
3.8,45,75,-25.7278280540616
3.8,45,76,-26.1217166496273
3.8,45,77,-26.4945093805308
3.8,45,78,-26.8480925724263
3.8,45,79,-27.1841482388755
3.8,45,80,-27.5040055490358
3.8,45,81,-27.8085678334004
3.8,45,82,-28.0983030989907
3.8,45,83,-28.3732823093371
3.8,45,84,-28.6332494870555
3.8,45,85,-28.877709458917
3.8,45,86,-29.106021593239
3.8,45,87,-29.3174904452173
3.8,45,88,-29.5114464558208
3.8,45,89,-29.6873115922167
3.8,45,90,-29.8446460381306
3.8,45,91,-29.9831727808245
3.8,45,92,-30.1027773112471
3.8,45,93,-30.2034798595406
3.8,45,94,-30.2853779337603
3.8,45,95,-30.3485578139956
3.8,45,96,-30.3929755531518
3.8,45,97,-30.418311480318
3.8,45,98,-30.4238077326304
3.8,45,99,-30.4081063712947
3.8,45,100,-30.3691161138011
3.8,45,101,-30.3039474383526
3.8,45,102,-30.208965453517
3.8,45,103,-30.0800111846463
3.8,45,104,-29.9128261490047
3.8,45,105,-29.7036749859684
3.8,45,106,-29.450098003776
3.8,45,107,-29.1516576731469
3.8,45,108,-28.8105035381751
3.8,45,109,-28.431600609065
3.8,45,110,-28.0225520930944
3.8,45,111,-27.5930644119806
3.8,45,112,-27.1541961902396
3.8,45,113,-26.7175642229043
3.8,45,114,-26.2946474569464
3.8,45,115,-25.8962640325598
3.8,45,116,-25.5322307545661
3.8,45,117,-25.2111694654536
3.8,45,118,-24.9404041644816
3.8,45,119,-24.7258898878921
3.8,45,120,-24.572120996216
3.8,45,121,-24.4819772311742
3.8,45,122,-24.4564800346129
3.8,45,123,-24.4944535320073
3.8,45,124,-24.5921234490212
3.8,45,125,-24.7427549620161
3.8,45,126,-24.9365335805919
3.8,45,127,-25.1610124760241
3.8,45,128,-25.4025096231481
3.8,45,129,-25.648697367946
3.8,45,130,-25.8921646903752
3.8,45,131,-26.1340609882622
3.8,45,132,-26.3865289045507
3.8,45,133,-26.6730254102392
3.8,45,134,-27.0267261167512
3.8,45,135,-27.4882087687602
3.8,45,136,-28.10380638494
3.8,45,137,-28.9253982151549
3.8,45,138,-30.0111421511561
3.8,45,139,-31.4234818455749
3.8,45,140,-33.2084959296669
3.8,45,141,-35.2915166465195
3.8,45,142,-37.1198885515116
3.8,45,143,-37.4509230684549
3.8,45,144,-36.1177618804706
3.8,45,145,-34.3802521950486
3.8,45,146,-32.9476280699502
3.8,45,147,-31.9647252723722
3.8,45,148,-31.4185218878463
3.8,45,149,-31.2689241222668
3.8,45,150,-31.469378311815
3.8,45,151,-31.9538454763421
3.8,45,152,-32.6065094052094
3.8,45,153,-33.2316043060201
3.8,45,154,-33.5872993386679
3.8,45,155,-33.5457262916232
3.8,45,156,-33.2247231609251
3.8,45,157,-32.8860050379924
3.8,45,158,-32.7678292334026
3.8,45,159,-33.0429764712294
3.8,45,160,-33.8625583655514
3.8,45,161,-35.4308012982064
3.8,45,162,-38.1464087398585
3.8,45,163,-43.0295281494814
3.8,45,164,-50.3178438443857
3.8,45,165,-43.1483179671116
