"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-180,-34.9885295642282
3.8,45,-179,-39.8474857623429
3.8,45,-178,-44.7071497098716
3.8,45,-177,-43.8734048440229
3.8,45,-176,-40.546300976281
3.8,45,-175,-37.6587771286384
3.8,45,-174,-35.0702132704756
3.8,45,-173,-32.7192953826656
3.8,45,-172,-30.6738916625822
3.8,45,-171,-28.9884431274033
3.8,45,-170,-27.6790175596097
3.8,45,-169,-26.7399722133135
3.8,45,-168,-26.1591877849582
3.8,45,-167,-25.925945357741
3.8,45,-166,-26.0340434008999
3.8,45,-165,-26.4822105140447
3.8,45,-164,-27.2720452580214
3.8,45,-163,-28.401352883411
3.8,45,-162,-29.8466417401298
3.8,45,-161,-31.5227190385033
3.8,45,-160,-33.2161612379498
3.8,45,-159,-34.5790775389141
3.8,45,-158,-35.3867156695647
3.8,45,-157,-35.8525446355892
3.8,45,-156,-36.4566456524103
3.8,45,-155,-37.6597367131439
3.8,45,-154,-39.9487900467534
3.8,45,-153,-43.9887305765208
3.8,45,-152,-46.6124772339716
3.8,45,-151,-41.0299939062044
3.8,45,-150,-36.3837744708389
3.8,45,-149,-33.2440346959872
3.8,45,-148,-31.0338269558431
3.8,45,-147,-29.4534833560364
3.8,45,-146,-28.3432686589317
3.8,45,-145,-27.6101816708238
3.8,45,-144,-27.1962298625724
3.8,45,-143,-27.063350629913
3.8,45,-142,-27.1852375109065
3.8,45,-141,-27.5419184541789
3.8,45,-140,-28.1147927021792
3.8,45,-139,-28.8802139202188
3.8,45,-138,-29.7995497313734
3.8,45,-137,-30.804398398979
3.8,45,-136,-31.7813886271294
3.8,45,-135,-32.5771604235255
3.8,45,-134,-33.0554337166241
3.8,45,-133,-33.1874122884878
3.8,45,-132,-33.0749261823341
3.8,45,-131,-32.8745746792733
3.8,45,-130,-32.7193015486046
3.8,45,-129,-32.6955291961948
3.8,45,-128,-32.8540315167957
3.8,45,-127,-33.2259682599759
3.8,45,-126,-33.8337118716617
3.8,45,-125,-34.6943311964168
3.8,45,-124,-35.8114001618843
3.8,45,-123,-37.138651258081
3.8,45,-122,-38.4769666045547
3.8,45,-121,-39.3184206551334
3.8,45,-120,-39.0526123318636
3.8,45,-119,-37.7543933576172
3.8,45,-118,-36.0569259536372
3.8,45,-117,-34.3946599246365
3.8,45,-116,-32.9150957536291
3.8,45,-115,-31.6387605492776
3.8,45,-114,-30.5476414608156
3.8,45,-113,-29.6160194606709
3.8,45,-112,-28.8195050455078
3.8,45,-111,-28.1370932677841
3.8,45,-110,-27.5511588526146
3.8,45,-109,-27.0469415615976
3.8,45,-108,-26.6119904216334
3.8,45,-107,-26.2356915357062
3.8,45,-106,-25.9088973409909
3.8,45,-105,-25.6236450657237
3.8,45,-104,-25.3729464813303
3.8,45,-103,-25.150632574351
3.8,45,-102,-24.9512398324385
3.8,45,-101,-24.7699277373161
3.8,45,-100,-24.6024193886474
3.8,45,-99,-24.4449589658084
3.8,45,-98,-24.2942810948796
3.8,45,-97,-24.1475882535131
3.8,45,-96,-24.0025332160727
3.8,45,-95,-23.8572042814045
3.8,45,-94,-23.7101116718522
3.8,45,-93,-23.5601740583156
3.8,45,-92,-23.4067046518673
3.8,45,-91,-23.2493967015227
3.8,45,-90,-23.0883085451198
3.8,45,-89,-22.9238485765523
3.8,45,-88,-22.7567606261541
3.8,45,-87,-22.5881103174188
3.8,45,-86,-22.4192729829899
3.8,45,-85,-22.2519237184521
3.8,45,-84,-22.0880301454578
3.8,45,-83,-21.9298484648246
3.8,45,-82,-21.7799234205285
3.8,45,-81,-21.6410928789574
3.8,45,-80,-21.5164978647205
3.8,45,-79,-21.4095990955668
3.8,45,-78,-21.3242013382699
3.8,45,-77,-21.2644872836666
3.8,45,-76,-21.2350631384912
3.8,45,-75,-21.2410187879251
3.8,45,-74,-21.2880062341058
3.8,45,-73,-21.3823410924408
3.8,45,-72,-21.5311332153065
3.8,45,-71,-21.7424538559617
3.8,45,-70,-22.0255476352795
3.8,45,-69,-22.3910963365563
3.8,45,-68,-22.8515338857445
3.8,45,-67,-23.4213861244824
3.8,45,-66,-24.1175336932103
3.8,45,-65,-24.9590851754875
3.8,45,-64,-25.9659602864802
3.8,45,-63,-27.1536577502648
3.8,45,-62,-28.5173794726479
3.8,45,-61,-29.9894306605269
3.8,45,-60,-31.3503924924864
3.8,45,-59,-32.1649474585281
3.8,45,-58,-32.0526482022176
3.8,45,-57,-31.1670294993534
3.8,45,-56,-29.9846626244187
3.8,45,-55,-28.8324077280386
3.8,45,-54,-27.826216946747
3.8,45,-53,-26.964718820579
3.8,45,-52,-26.1877666972748
3.8,45,-51,-25.4031086878272
3.8,45,-50,-24.5119352659731
3.8,45,-49,-23.4464386115106
3.8,45,-48,-22.202013531989
3.8,45,-47,-20.8348710846941
3.8,45,-46,-19.4280936290903
3.8,45,-45,-18.0582090698962
3.8,45,-44,-16.7809349099756
3.8,45,-43,-15.6318746559726
3.8,45,-42,-14.6324996493397
3.8,45,-41,-13.7960234155775
3.8,45,-40,-13.1316924228701
3.8,45,-39,-12.6476439249598
3.8,45,-38,-12.3528421057984
3.8,45,-37,-12.2585584373125
3.8,45,-36,-12.3797668022065
3.8,45,-35,-12.7367861788996
3.8,45,-34,-13.3575605756481
3.8,45,-33,-14.2811656688124
3.8,45,-32,-15.5635871027114
3.8,45,-31,-17.2877592551262
3.8,45,-30,-19.5814738802851
3.8,45,-29,-22.6457844169256
3.8,45,-28,-26.739977995596
3.8,45,-27,-31.3068091190101
3.8,45,-26,-31.691459897045
3.8,45,-25,-28.8226299440606
3.8,45,-24,-26.131779696795
3.8,45,-23,-23.330965286242
3.8,45,-22,-20.2040358828799
3.8,45,-21,-17.0583554580288
3.8,45,-20,-14.1837610584869
3.8,45,-19,-11.6878976768703
3.8,45,-18,-9.57885258120903
3.8,45,-17,-7.83321468197847
3.8,45,-16,-6.42398269397009
3.8,45,-15,-5.3295986522861
3.8,45,-14,-4.53637440147455
3.8,45,-13,-4.03907533748502
3.8,45,-12,-3.84140046310465
3.8,45,-11,-3.95710764156366
3.8,45,-10,-4.41235668789808
3.8,45,-9,-5.25011058437797
3.8,45,-8,-6.53823074209743
3.8,45,-7,-8.38482870743008
3.8,45,-6,-10.9694055369553
3.8,45,-5,-14.6124221131122
3.8,45,-4,-19.9422197217028
3.8,45,-3,-27.8083083022664
3.8,45,-2,-28.876613009816
3.8,45,-1,-22.4750370610139
3.8,45,0,-15.8036995848889
3.8,45,1,-9.92389097075562
3.8,45,2,-5.09911720223326
3.8,45,3,-1.1285107777956
3.8,45,4,2.19525609077999
3.8,45,5,5.02108050000757
3.8,45,6,7.4515030273341
3.8,45,7,9.55820534336567
3.8,45,8,11.3926446130118
3.8,45,9,12.9927667683496
3.8,45,10,14.3872422173538
3.8,45,11,15.5981941936417
3.8,45,12,16.6430020526978
3.8,45,13,17.5355241218805
3.8,45,14,18.2869468189235
3.8,45,15,18.9063868101763
3.8,45,16,19.401325848557
3.8,45,17,19.7779295073543
