"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,0,-180,-18.7018264236178
3.8,0,-179,-16.5724388457835
3.8,0,-178,-13.6998574335568
3.8,0,-177,-11.5246192564082
3.8,0,-176,-10.065153747354
3.8,0,-175,-9.20064892309619
3.8,0,-174,-8.85324273500927
3.8,0,-173,-8.99419714551746
3.8,0,-172,-9.64096701789878
3.8,0,-171,-10.8655981374381
3.8,0,-170,-12.8210025494851
3.8,0,-169,-15.7706188794716
3.8,0,-168,-19.6742165579808
3.8,0,-167,-20.4878609370709
3.8,0,-166,-16.6455690716709
3.8,0,-165,-13.3391641630481
3.8,0,-164,-11.0879450557371
3.8,0,-163,-9.60852246426138
3.8,0,-162,-8.71383877181777
3.8,0,-161,-8.30512556277391
3.8,0,-160,-8.33912008627387
3.8,0,-159,-8.81309332754072
3.8,0,-158,-9.76238498618472
3.8,0,-157,-11.2655994266956
3.8,0,-156,-13.4386155603187
3.8,0,-155,-16.259549015867
3.8,0,-154,-18.3693659517036
3.8,0,-153,-16.9152894828608
3.8,0,-152,-13.9163336781084
3.8,0,-151,-11.4159255836286
3.8,0,-150,-9.58605945263169
3.8,0,-149,-8.30155326301742
3.8,0,-148,-7.45701041114394
3.8,0,-147,-6.98633935454826
3.8,0,-146,-6.85308055178128
3.8,0,-145,-7.04246841738335
3.8,0,-144,-7.55616045761796
3.8,0,-143,-8.40541343044579
3.8,0,-142,-9.58982571680057
3.8,0,-141,-11.0189070667789
3.8,0,-140,-12.2806970325279
3.8,0,-139,-12.4460751770312
3.8,0,-138,-11.0578563620425
3.8,0,-137,-8.92414270497353
3.8,0,-136,-6.79237025126594
3.8,0,-135,-4.89889774859351
3.8,0,-134,-3.26329524755957
3.8,0,-133,-1.85212534720641
3.8,0,-132,-0.626484716294246
3.8,0,-131,0.447220930586836
3.8,0,-130,1.396027138265
3.8,0,-129,2.24129637497125
3.8,0,-128,2.99985971625557
3.8,0,-127,3.68499451057721
3.8,0,-126,4.30719259458072
3.8,0,-125,4.8747565572743
3.8,0,-124,5.39426812641053
3.8,0,-123,5.8709625283222
3.8,0,-122,6.30903173148683
3.8,0,-121,6.71187145053282
3.8,0,-120,7.08228175746135
3.8,0,-119,7.42262834329858
3.8,0,-118,7.73497005865046
3.8,0,-117,8.0211576776011
3.8,0,-116,8.28290844105856
3.8,0,-115,8.52186060125999
3.8,0,-114,8.73961180616428
3.8,0,-113,8.93774471315007
3.8,0,-112,9.11784272958655
3.8,0,-111,9.28149827987182
3.8,0,-110,9.43031552748667
3.8,0,-109,9.56590905959725
3.8,0,-108,9.68989968299942
3.8,0,-107,9.80390818699185
3.8,0,-106,9.90954769811228
3.8,0,-105,10.0084150769273
3.8,0,-104,10.1020816799245
3.8,0,-103,10.1920837213887
3.8,0,-102,10.2799124127838
3.8,0,-101,10.3670040232876
3.8,0,-100,10.4547299883694
3.8,0,-99,10.5443871882239
3.8,0,-98,10.6371885198862
3.8,0,-97,10.7342538921127
3.8,0,-96,10.8366017774416
3.8,0,-95,10.9451414587106
3.8,0,-94,11.0606661057757
3.8,0,-93,11.1838468109317
3.8,0,-92,11.315227697896
3.8,0,-91,11.455222199105
3.8,0,-90,11.6041105700124
3.8,0,-89,11.7620386781075
3.8,0,-88,11.9290180699679
3.8,0,-87,12.1049272835769
3.8,0,-86,12.2895143372938
3.8,0,-85,12.4824002931241
3.8,0,-84,12.6830837620049
3.8,0,-83,12.8909461940691
3.8,0,-82,13.1052577782372
3.8,0,-81,13.3251837635005
3.8,0,-80,13.549791008903
3.8,0,-79,13.7780545700632
3.8,0,-78,14.0088641362784
3.8,0,-77,14.2410301427202
3.8,0,-76,14.4732893956543
3.8,0,-75,14.7043100636306
3.8,0,-74,14.932695902788
3.8,0,-73,15.1569895984791
3.8,0,-72,15.3756751170978
3.8,0,-71,15.5871789701621
3.8,0,-70,15.7898702962963
3.8,0,-69,15.9820596647744
3.8,0,-68,16.1619964956607
3.8,0,-67,16.3278649751478
3.8,0,-66,16.4777783189981
3.8,0,-65,16.6097712002044
3.8,0,-64,16.7217901066393
3.8,0,-63,16.8116813272476
3.8,0,-62,16.8771761767498
3.8,0,-61,16.9158729527411
3.8,0,-60,16.9252149671826
3.8,0,-59,16.9024637953812
3.8,0,-58,16.844666624641
3.8,0,-57,16.7486162420978
3.8,0,-56,16.6108017515811
3.8,0,-55,16.4273475222592
3.8,0,-54,16.1939371152252
3.8,0,-53,15.905717986497
3.8,0,-52,15.5571816490591
3.8,0,-51,15.1420128488524
3.8,0,-50,14.6529006854098
3.8,0,-49,14.0813059351709
3.8,0,-48,13.417185968825
3.8,0,-47,12.6487017194261
3.8,0,-46,11.7619969365168
3.8,0,-45,10.7413203895309
3.8,0,-44,9.57025254998193
3.8,0,-43,8.23612698679049
3.8,0,-42,6.74319572618717
3.8,0,-41,5.14761530725046
3.8,0,-40,3.63246630033438
3.8,0,-39,2.58117344607041
3.8,0,-38,2.39889054108959
3.8,0,-37,3.04913731193105
3.8,0,-36,4.09992003357595
3.8,0,-35,5.18563000913453
3.8,0,-34,6.13819121477863
3.8,0,-33,6.90486644036864
3.8,0,-32,7.47826035736697
3.8,0,-31,7.86484238537593
3.8,0,-30,8.07316499229448
3.8,0,-29,8.10983868338226
3.8,0,-28,7.97834663552222
3.8,0,-27,7.67893238641918
3.8,0,-26,7.20910235095111
3.8,0,-25,6.5650298632041
3.8,0,-24,5.74504432721671
3.8,0,-23,4.75811759618018
3.8,0,-22,3.6434398262581
3.8,0,-21,2.5093624847913
3.8,0,-20,1.58170579258931
3.8,0,-19,1.17089218385953
3.8,0,-18,1.44140249952379
3.8,0,-17,2.22694626649171
3.8,0,-16,3.21205147477687
3.8,0,-15,4.16424430082512
3.8,0,-14,4.96853074871938
3.8,0,-13,5.57912141894976
3.8,0,-12,5.98008071239034
3.8,0,-11,6.16539585234653
3.8,0,-10,6.13027553374413
3.8,0,-9,5.86774324570126
3.8,0,-8,5.36816163261359
3.8,0,-7,4.6221262698512
3.8,0,-6,3.6309995420094
3.8,0,-5,2.43730774645903
3.8,0,-4,1.1981276624949
3.8,0,-3,0.288202317835376
3.8,0,-2,0.192633347049771
3.8,0,-1,0.981143227755143
3.8,0,0,2.20675708432294
3.8,0,1,3.44019374529852
3.8,0,2,4.4789062783073
3.8,0,3,5.2580855995487
3.8,0,4,5.7651188222875
3.8,0,5,6.00143469013164
3.8,0,6,5.96856446927904
3.8,0,7,5.66370361560473
3.8,0,8,5.07965693065526
3.8,0,9,4.20975471693555
3.8,0,10,3.06518056724775
3.8,0,11,1.72620145246037
3.8,0,12,0.460220602730193
3.8,0,13,-0.184908584959967
3.8,0,14,0.226347935017242
3.8,0,15,1.41007131458272
3.8,0,16,2.78294099195219
3.8,0,17,4.01043801213955
3.8,0,18,4.98226800566402
3.8,0,19,5.67976454781275
3.8,0,20,6.11077307440494
3.8,0,21,6.28674586476064
3.8,0,22,6.21574600932981
3.8,0,23,5.90098687826494
3.8,0,24,5.34198139355956
3.8,0,25,4.5390132840097
3.8,0,26,3.50555575064385
3.8,0,27,2.30034673940357
3.8,0,28,1.0966698406803
3.8,0,29,0.258835640260983
3.8,0,30,0.204358222290673
3.8,0,31,0.958771940551232
3.8,0,32,2.12520694955002
3.8,0,33,3.33018390914651
3.8,0,34,4.39309362786364
3.8,0,35,5.25608196152178
3.8,0,36,5.91172583010985
3.8,0,37,6.36885737466617
3.8,0,38,6.63950269394065
3.8,0,39,6.73440028538957
3.8,0,40,6.66172769975665
3.8,0,41,6.42704527092195
3.8,0,42,6.03384477839331
3.8,0,43,5.48474398228168
3.8,0,44,4.78390032030016
3.8,0,45,3.94198305689598
3.8,0,46,2.98623435324975
3.8,0,47,1.97901717830643
3.8,0,48,1.04380683269233
3.8,0,49,0.374491856624859
3.8,0,50,0.168211637495242
3.8,0,51,0.480956882621456
3.8,0,52,1.17731371927315
3.8,0,53,2.05215167121187
3.8,0,54,2.94934015641353
3.8,0,55,3.78434464602956
3.8,0,56,4.52147478984847
3.8,0,57,5.15067193405623
3.8,0,58,5.67361144395452
3.8,0,59,6.09671892373616
3.8,0,60,6.42793219815578
3.8,0,61,6.67528890201522
3.8,0,62,6.84636637838191
3.8,0,63,6.94810944668109
3.8,0,64,6.98682906763506
3.8,0,65,6.96827151997515
3.8,0,66,6.89771219876079
3.8,0,67,6.78005354879024
3.8,0,68,6.61991836463147
3.8,0,69,6.42173489472164
3.8,0,70,6.18981224729901
3.8,0,71,5.92840511472292
3.8,0,72,5.6417666006286
3.8,0,73,5.33418737839053
3.8,0,74,5.010018812704
3.8,0,75,4.67367728557437
3.8,0,76,4.32962703684092
3.8,0,77,3.98233960938017
3.8,0,78,3.63622967464774
3.8,0,79,3.29556964428014
3.8,0,80,2.96438881890368
3.8,0,81,2.64636631474137
3.8,0,82,2.344729765239
3.8,0,83,2.06217283559445
3.8,0,84,1.80080316515058
3.8,0,85,1.56212831726646
3.8,0,86,1.34708131636499
3.8,0,87,1.15608071825568
3.8,0,88,0.989114487657504
3.8,0,89,0.845833563530938
3.8,0,90,0.72564050814487
3.8,0,91,0.627760893598399
3.8,0,92,0.551289304108673
3.8,0,93,0.495206971648281
3.8,0,94,0.458373095416499
3.8,0,95,0.439496017132891
3.8,0,96,0.437093109083493
3.8,0,97,0.44944923408286
3.8,0,98,0.474582975084588
3.8,0,99,0.510227777300973
3.8,0,100,0.553832183411853
3.8,0,101,0.602580092727703
3.8,0,102,0.653429064121918
3.8,0,103,0.70316260274046
3.8,0,104,0.748451379493941
3.8,0,105,0.785918425630106
3.8,0,106,0.812204305841424
3.8,0,107,0.82402977199046
3.8,0,108,0.818255094251265
3.8,0,109,0.791936877883563
3.8,0,110,0.74238451204254
3.8,0,111,0.667219346210595
3.8,0,112,0.564440163096048
3.8,0,113,0.432498394789489
3.8,0,114,0.270385594384183
3.8,0,115,0.0777335571630439
3.8,0,116,-0.145076361549497
3.8,0,117,-0.396804410353453
3.8,0,118,-0.675262862172776
3.8,0,119,-0.977276173110206
3.8,0,120,-1.29873365191597
3.8,0,121,-1.63478523925502
3.8,0,122,-1.9802257001929
3.8,0,123,-2.33008369157328
3.8,0,124,-2.68037373785119
3.8,0,125,-3.02888897983435
3.8,0,126,-3.37583819903892
3.8,0,127,-3.72410042860882
3.8,0,128,-4.07890731909371
3.8,0,129,-4.44684915031513
3.8,0,130,-4.83418022609485
3.8,0,131,-5.24442633500128
3.8,0,132,-5.6752944839952
3.8,0,133,-6.11500517015133
3.8,0,134,-6.53872365965343
3.8,0,135,-6.90710241590152
3.8,0,136,-7.17069533835489
3.8,0,137,-7.28364362028566
3.8,0,138,-7.22373724035612
3.8,0,139,-7.00649669932452
3.8,0,140,-6.68169283903498
3.8,0,141,-6.31562369054575
3.8,0,142,-5.97305277644146
3.8,0,143,-5.70778348693536
3.8,0,144,-5.5614475670857
3.8,0,145,-5.56638951012568
3.8,0,146,-5.74943497111372
3.8,0,147,-6.13495273667199
3.8,0,148,-6.74623095031736
3.8,0,149,-7.60324311834626
3.8,0,150,-8.71106911651588
3.8,0,151,-10.0232878105529
3.8,0,152,-11.3514423246613
3.8,0,153,-12.251587639971
3.8,0,154,-12.2234171739678
3.8,0,155,-11.3312997399422
3.8,0,156,-10.1184916488967
3.8,0,157,-8.99960552884252
3.8,0,158,-8.14693780935957
3.8,0,159,-7.61352561557019
3.8,0,160,-7.41520782122769
3.8,0,161,-7.56424837766174
3.8,0,162,-8.08264331702328
3.8,0,163,-9.00828496282183
3.8,0,164,-10.394508245313
3.8,0,165,-12.2794340626978
3.8,0,166,-14.5024929608052
3.8,0,167,-16.0750752204036
3.8,0,168,-15.4484300033166
3.8,0,169,-13.4281646430069
3.8,0,170,-11.4925201564348
3.8,0,171,-10.0585832127023
3.8,0,172,-9.14341018987766
3.8,0,173,-8.70897452301199
3.8,0,174,-8.73437985236241
3.8,0,175,-9.22938480127277
3.8,0,176,-10.2412440722051
3.8,0,177,-11.8633926706809
3.8,0,178,-14.219844470753
3.8,0,179,-17.1705219055724
3.8,0,180,-18.7018264236178
