"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,0,-180,-16.8708535992244
3.8,0,-179,-14.9720487624672
3.8,0,-178,-13.8266700667878
3.8,0,-177,-13.2708760364244
3.8,0,-176,-13.2345489142044
3.8,0,-175,-13.7074712631749
3.8,0,-174,-14.7314693307782
3.8,0,-173,-16.4056106201149
3.8,0,-172,-18.8665845718359
3.8,0,-171,-21.9077215301243
3.8,0,-170,-23.0105673975895
3.8,0,-169,-20.3551098043095
3.8,0,-168,-17.3579484488094
3.8,0,-167,-15.1359599067103
3.8,0,-166,-13.6133829477982
3.8,0,-165,-12.648858424939
3.8,0,-164,-12.1515356752797
3.8,0,-163,-12.0732525472648
3.8,0,-162,-12.3966543440768
3.8,0,-161,-13.1271899152248
3.8,0,-160,-14.2821976643591
3.8,0,-159,-15.8524933183054
3.8,0,-158,-17.6505527451499
3.8,0,-157,-18.9207438910208
3.8,0,-156,-18.5427183682206
3.8,0,-155,-16.840363736168
3.8,0,-154,-14.9505572746279
3.8,0,-153,-13.3629105132565
3.8,0,-152,-12.1540797946561
3.8,0,-151,-11.294904052427
3.8,0,-150,-10.7424897073329
3.8,0,-149,-10.4591273766134
3.8,0,-148,-10.4131269248754
3.8,0,-147,-10.5750428536087
3.8,0,-146,-10.9117869264878
3.8,0,-145,-11.3785330328794
3.8,0,-144,-11.9088261809534
3.8,0,-143,-12.4073909277485
3.8,0,-142,-12.7580843951491
3.8,0,-141,-12.8605908668001
3.8,0,-140,-12.6819029554834
3.8,0,-139,-12.2731856541853
3.8,0,-138,-11.7317287201129
3.8,0,-137,-11.1501644422287
3.8,0,-136,-10.5915615923978
3.8,0,-135,-10.0888246687055
3.8,0,-134,-9.65296081675166
3.8,0,-133,-9.2812638714007
3.8,0,-132,-8.96320679677181
3.8,0,-131,-8.68444967404559
3.8,0,-130,-8.42975479117628
3.8,0,-129,-8.18529745653936
3.8,0,-128,-7.94047602131095
3.8,0,-127,-7.6890717328725
3.8,0,-126,-7.42957611335292
3.8,0,-125,-7.16467159720415
3.8,0,-124,-6.90008922507411
3.8,0,-123,-6.6432147748718
3.8,0,-122,-6.40179758246245
3.8,0,-121,-6.18297929939028
3.8,0,-120,-5.99270047638225
3.8,0,-119,-5.83543170194929
3.8,0,-118,-5.71412998604419
3.8,0,-117,-5.63032234293732
3.8,0,-116,-5.58424179712438
3.8,0,-115,-5.57496829644892
3.8,0,-114,-5.60054986465771
3.8,0,-113,-5.65809588253491
3.8,0,-112,-5.74384577337231
3.8,0,-111,-5.85322440799318
3.8,0,-110,-5.9809016069975
3.8,0,-109,-6.12087760820315
3.8,0,-108,-6.26661852075881
3.8,0,-107,-6.41126373798225
3.8,0,-106,-6.54791861733537
3.8,0,-105,-6.67002881220353
3.8,0,-104,-6.7718085491328
3.8,0,-103,-6.84866942796476
3.8,0,-102,-6.89757867605846
3.8,0,-101,-6.91727637082419
3.8,0,-100,-6.90830446303147
3.8,0,-99,-6.87284079233587
3.8,0,-98,-6.81437415345326
3.8,0,-97,-6.73728594829687
3.8,0,-96,-6.64641125213582
3.8,0,-95,-6.5466389741625
3.8,0,-94,-6.44258635608386
3.8,0,-93,-6.33835772138354
3.8,0,-92,-6.23737814279998
3.8,0,-91,-6.14228187794964
3.8,0,-90,-6.05483205753311
3.8,0,-89,-5.9758499489176
3.8,0,-88,-5.90513718381592
3.8,0,-87,-5.84138165740989
3.8,0,-86,-5.78204749342515
3.8,0,-85,-5.72326238648373
3.8,0,-84,-5.65973260475839
3.8,0,-83,-5.58473633269095
3.8,0,-82,-5.4902655923744
3.8,0,-81,-5.36739551419448
3.8,0,-80,-5.20694108029098
