"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,90,-180,-19.3380965952265
3.8,90,-179,-17.6697212022676
3.8,90,-178,-16.5034783300686
3.8,90,-177,-15.8154913614484
3.8,90,-176,-15.5796727286826
3.8,90,-175,-15.7956145827455
3.8,90,-174,-16.497666757643
3.8,90,-173,-17.7638127152339
3.8,90,-172,-19.7102214530347
3.8,90,-171,-22.2998671423965
3.8,90,-170,-24.0401487050842
3.8,90,-169,-22.0821085401339
3.8,90,-168,-18.7056909901031
3.8,90,-167,-15.8472611317194
3.8,90,-166,-13.6214820792103
3.8,90,-165,-11.885059043019
3.8,90,-164,-10.5189686293249
3.8,90,-163,-9.44135547690343
3.8,90,-162,-8.59613412886015
3.8,90,-161,-7.94409591268915
3.8,90,-160,-7.45751062680353
3.8,90,-159,-7.11699333607872
3.8,90,-158,-6.90971149065659
3.8,90,-157,-6.828385990893
3.8,90,-156,-6.87078901313061
3.8,90,-155,-7.03960603240679
3.8,90,-154,-7.34265734581974
3.8,90,-153,-7.79360291471479
3.8,90,-152,-8.413430050934
3.8,90,-151,-9.23334011992446
3.8,90,-150,-10.3003434955754
3.8,90,-149,-11.6886220400424
3.8,90,-148,-13.52482799923
3.8,90,-147,-16.0535659274768
3.8,90,-146,-19.8552775838955
3.8,90,-145,-27.0494526193054
3.8,90,-144,-37.0931274352686
3.8,90,-143,-23.0626714963967
3.8,90,-142,-18.07109166443
3.8,90,-141,-15.0800542697567
3.8,90,-140,-13.0261859225575
3.8,90,-139,-11.5370187810918
3.8,90,-138,-10.4385855287152
3.8,90,-137,-9.63610628149011
3.8,90,-136,-9.07289625826645
3.8,90,-135,-8.71308985638535
3.8,90,-134,-8.53337586077727
3.8,90,-133,-8.5186801690381
3.8,90,-132,-8.65976775793382
3.8,90,-131,-8.95183605267506
3.8,90,-130,-9.39359328697606
3.8,90,-129,-9.98642668782641
3.8,90,-128,-10.7331314673469
3.8,90,-127,-11.6351619440886
3.8,90,-126,-12.6860988795721
3.8,90,-125,-13.8564093049595
3.8,90,-124,-15.0614516546625
3.8,90,-123,-16.1127923311204
3.8,90,-122,-16.7109956865013
3.8,90,-121,-16.6138580122454
3.8,90,-120,-15.8811743303786
3.8,90,-119,-14.8026909542375
3.8,90,-118,-13.6380267389149
3.8,90,-117,-12.5251280713887
3.8,90,-116,-11.5162687159245
3.8,90,-115,-10.6224713867401
3.8,90,-114,-9.83819807158724
3.8,90,-113,-9.15238286024435
3.8,90,-112,-8.55291488657685
3.8,90,-111,-8.02831169821886
3.8,90,-110,-7.56824175716063
3.8,90,-109,-7.163594966376
3.8,90,-108,-6.80639055189751
3.8,90,-107,-6.48964000612746
3.8,90,-106,-6.20721097608086
3.8,90,-105,-5.95370801321269
3.8,90,-104,-5.72437382687331
3.8,90,-103,-5.51500992641065
3.8,90,-102,-5.32191395673824
3.8,90,-101,-5.1418307592284
3.8,90,-100,-4.97191441813103
3.8,90,-99,-4.80969893981291
3.8,90,-98,-4.65307561820497
3.8,90,-97,-4.50027551324802
3.8,90,-96,-4.34985579539953
3.8,90,-95,-4.20068898885997
3.8,90,-94,-4.05195438488544
3.8,90,-93,-3.90313110166535
3.8,90,-92,-3.75399244622257
3.8,90,-91,-3.60460139392168
3.8,90,-90,-3.4553071495581
3.8,90,-89,-3.30674289768009
3.8,90,-88,-3.15982499589266
3.8,90,-87,-3.01575402094649
3.8,90,-86,-2.87601825196816
3.8,90,-85,-2.74240037878164
3.8,90,-84,-2.61698846999564
3.8,90,-83,-2.50219254532591
3.8,90,-82,-2.40076849859384
3.8,90,-81,-2.31585165511446
3.8,90,-80,-2.25100298404833
3.8,90,-79,-2.21027201899981
3.8,90,-78,-2.19828201338901
3.8,90,-77,-2.22034498902994
3.8,90,-76,-2.28261745536411
3.8,90,-75,-2.39231217163023
3.8,90,-74,-2.5579880955846
3.8,90,-73,-2.78995051542711
3.8,90,-72,-3.1008070990524
3.8,90,-71,-3.50624243228052
3.8,90,-70,-4.02608533475314
3.8,90,-69,-4.6857120802525
3.8,90,-68,-5.51760253531748
3.8,90,-67,-6.56184058308407
3.8,90,-66,-7.86007133353026
3.8,90,-65,-9.42009799162195
3.8,90,-64,-11.0691249976248
3.8,90,-63,-12.0815246228723
3.8,90,-62,-11.3772230894265
3.8,90,-61,-9.25714994689116
3.8,90,-60,-6.83546851846077
3.8,90,-59,-4.61099270977645
3.8,90,-58,-2.6708379886565
3.8,90,-57,-0.992613702516659
3.8,90,-56,0.461437397720363
3.8,90,-55,1.72364805570167
3.8,90,-54,2.81817212151631
3.8,90,-53,3.76198380856042
3.8,90,-52,4.56626241244413
3.8,90,-51,5.23744935792792
3.8,90,-50,5.77788252394999
3.8,90,-49,6.18602316960221
3.8,90,-48,6.45626743277989
3.8,90,-47,6.57826012240532
3.8,90,-46,6.53549825102815
3.8,90,-45,6.30276380011489
3.8,90,-44,5.841391603908
3.8,90,-43,5.09008459088301
3.8,90,-42,3.94540455979281
3.8,90,-41,2.21425198008626
3.8,90,-40,-0.529616875547397
3.8,90,-39,-5.58631954688532
3.8,90,-38,-25.0077414979055
3.8,90,-37,-5.95439559854826
3.8,90,-36,0.897912012098478
3.8,90,-35,4.95786259146913
3.8,90,-34,7.88467412215484
3.8,90,-33,10.1768754098755
3.8,90,-32,12.0519074533659
3.8,90,-31,13.6239757349007
3.8,90,-30,14.960224606298
3.8,90,-29,16.1031889483799
3.8,90,-28,17.0812237457803
3.8,90,-27,17.9138863099647
3.8,90,-26,18.6149364030831
3.8,90,-25,19.1941069748711
3.8,90,-24,19.6581926481622
3.8,90,-23,20.0117347579178
3.8,90,-22,20.257452590384
3.8,90,-21,20.3965035433955
3.8,90,-20,20.4286174727391
3.8,90,-19,20.3521272900322
3.8,90,-18,20.1639010675433
3.8,90,-17,19.8591655821021
3.8,90,-16,19.4311931489669
3.8,90,-15,18.8707972963463
3.8,90,-14,18.1655389589585
3.8,90,-13,17.2984647058499
3.8,90,-12,16.2460407843323
3.8,90,-11,14.9746122858247
3.8,90,-10,13.4339434662851
3.8,90,-9,11.544404874753
3.8,90,-8,9.16847460196022
3.8,90,-7,6.03594068820093
3.8,90,-6,1.4883330590853
3.8,90,-5,-6.9670673469216
3.8,90,-4,-11.06252819825
3.8,90,-3,-1.58145095219295
3.8,90,-2,2.33084278598076
3.8,90,-1,4.5078070201552
3.8,90,0,5.79305202468992
3.8,90,1,6.49958996509963
3.8,90,2,6.7712499339676
3.8,90,3,6.67837528536411
3.8,90,4,6.25074211909147
3.8,90,5,5.48904302831831
3.8,90,6,4.3655257936662
3.8,90,7,2.8145185843031
3.8,90,8,0.70530126617603
3.8,90,9,-2.22956186930876
3.8,90,10,-6.59757533194679
3.8,90,11,-13.3593097411369
3.8,90,12,-12.1635922832202
3.8,90,13,-6.52575517641992
3.8,90,14,-3.19522354463613
3.8,90,15,-1.10760362916584
3.8,90,16,0.246277091083626
3.8,90,17,1.09980495443939
3.8,90,18,1.57344176181632
3.8,90,19,1.73348359658181
3.8,90,20,1.6158485846495
3.8,90,21,1.23633235574998
3.8,90,22,0.59447077758772
3.8,90,23,-0.326684925056411
3.8,90,24,-1.56485492649955
3.8,90,25,-3.18887324437537
3.8,90,26,-5.32002144382662
3.8,90,27,-8.17012800934325
3.8,90,28,-12.0258073235213
3.8,90,29,-15.9090854735071
3.8,90,30,-14.3280546546802
3.8,90,31,-10.541991460358
3.8,90,32,-7.7238076237246
3.8,90,33,-5.73754649585658
3.8,90,34,-4.31489525772019
3.8,90,35,-3.29254564027966
3.8,90,36,-2.57293578487601
3.8,90,37,-2.09511121783734
3.8,90,38,-1.81939614655039
3.8,90,39,-1.71930097953733
3.8,90,40,-1.77708417331823
3.8,90,41,-1.9812540653008
3.8,90,42,-2.3251837470196
3.8,90,43,-2.80643920129283
3.8,90,44,-3.42664758393069
3.8,90,45,-4.19188096157317
3.8,90,46,-5.11367176809461
3.8,90,47,-6.2109789773115
3.8,90,48,-7.5138116011609
3.8,90,49,-9.07009409763821
3.8,90,50,-10.9596370293566
3.8,90,51,-13.3259776723447
3.8,90,52,-16.4626583794444
3.8,90,53,-21.1247592982409
3.8,90,54,-30.5754983108718
3.8,90,55,-30.7951646024258
3.8,90,56,-22.0118965653143
3.8,90,57,-17.9660513884061
3.8,90,58,-15.4246350019986
3.8,90,59,-13.6316831008555
3.8,90,60,-12.2892751858099
3.8,90,61,-11.248563946073
3.8,90,62,-10.4239843147711
3.8,90,63,-9.76150731416714
