"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,90,-180,-7.44181339894638
3.8,90,-179,-8.18781855048281
3.8,90,-178,-9.34544371596049
3.8,90,-177,-10.8281878567984
3.8,90,-176,-12.2603295501171
3.8,90,-175,-12.7815495780903
3.8,90,-174,-11.8921185199323
3.8,90,-173,-10.3054668030092
3.8,90,-172,-8.78375746966422
3.8,90,-171,-7.60236065838228
3.8,90,-170,-6.80749386606696
3.8,90,-169,-6.38553554189725
3.8,90,-168,-6.31470187494334
3.8,90,-167,-6.57472584161469
3.8,90,-166,-7.14019527259765
3.8,90,-165,-7.95805686470648
3.8,90,-164,-8.89887898304276
3.8,90,-163,-9.68960431917535
3.8,90,-162,-9.94867390418406
3.8,90,-161,-9.49282296644082
3.8,90,-160,-8.55298702511053
3.8,90,-159,-7.49570171974109
3.8,90,-158,-6.5545723409757
3.8,90,-157,-5.82524899634087
3.8,90,-156,-5.33137012460921
3.8,90,-155,-5.06565369338993
3.8,90,-154,-5.00606991930212
3.8,90,-153,-5.11890436022371
3.8,90,-152,-5.35554641730814
3.8,90,-151,-5.64768149241645
3.8,90,-150,-5.90773628791045
3.8,90,-149,-6.04429750637778
3.8,90,-148,-5.99501735791835
3.8,90,-147,-5.75696812273978
3.8,90,-146,-5.3851077473181
3.8,90,-145,-4.96011311607193
3.8,90,-144,-4.55547479670645
3.8,90,-143,-4.22233679918955
3.8,90,-142,-3.98862065524684
3.8,90,-141,-3.86303497496382
3.8,90,-140,-3.83841054616256
3.8,90,-139,-3.89280753558711
3.8,90,-138,-3.98913471641203
3.8,90,-137,-4.0757547280772
3.8,90,-136,-4.09209240881326
3.8,90,-135,-3.98250352060786
3.8,90,-134,-3.7153679666716
3.8,90,-133,-3.29574547330104
3.8,90,-132,-2.76129778549087
3.8,90,-131,-2.1651032906952
3.8,90,-130,-1.55833296250151
3.8,90,-129,-0.980988106541326
3.8,90,-128,-0.460279836595055
