"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,28,90.0000000000002,-180,-16.80808797513
2,3.8,28,90.0000000000002,-179,-18.9625624291457
2,3.8,28,90.0000000000002,-178,-22.5889323556885
2,3.8,28,90.0000000000002,-177,-28.6172701855907
2,3.8,28,90.0000000000002,-176,-27.3758974006094
2,3.8,28,90.0000000000002,-175,-21.2874510196233
2,3.8,28,90.0000000000002,-174,-17.5513214971317
2,3.8,28,90.0000000000002,-173,-15.1515028392879
2,3.8,28,90.0000000000002,-172,-13.5774445449504
2,3.8,28,90.0000000000002,-171,-12.6004155836041
2,3.8,28,90.0000000000002,-170,-12.1102730956895
2,3.8,28,90.0000000000002,-169,-12.0570054761679
2,3.8,28,90.0000000000002,-168,-12.4282200918157
2,3.8,28,90.0000000000002,-167,-13.2397475141799
2,3.8,28,90.0000000000002,-166,-14.5262254081985
2,3.8,28,90.0000000000002,-165,-16.3002639020531
2,3.8,28,90.0000000000002,-164,-18.3529447536159
2,3.8,28,90.0000000000002,-163,-19.6696194860633
2,3.8,28,90.0000000000002,-162,-18.8903656061735
2,3.8,28,90.0000000000002,-161,-16.8494767267348
2,3.8,28,90.0000000000002,-160,-14.874416665254
2,3.8,28,90.0000000000002,-159,-13.3446775747933
2,3.8,28,90.0000000000002,-158,-12.2725492413095
2,3.8,28,90.0000000000002,-157,-11.6106494134721
2,3.8,28,90.0000000000002,-156,-11.318644719224
2,3.8,28,90.0000000000002,-155,-11.3728694341172
2,3.8,28,90.0000000000002,-154,-11.7653012106731
2,3.8,28,90.0000000000002,-153,-12.5000531232173
2,3.8,28,90.0000000000002,-152,-13.5845110652353
2,3.8,28,90.0000000000002,-151,-14.99962360479
2,3.8,28,90.0000000000002,-150,-16.6024576206521
2,3.8,28,90.0000000000002,-149,-17.9022814618978
2,3.8,28,90.0000000000002,-148,-18.0711725544587
2,3.8,28,90.0000000000002,-147,-16.9712642951387
2,3.8,28,90.0000000000002,-146,-15.3835279623002
2,3.8,28,90.0000000000002,-145,-13.8934744554214
2,3.8,28,90.0000000000002,-144,-12.6875580530611
2,3.8,28,90.0000000000002,-143,-11.7881203254084
2,3.8,28,90.0000000000002,-142,-11.1755527747761
2,3.8,28,90.0000000000002,-141,-10.8261168930204
2,3.8,28,90.0000000000002,-140,-10.7216762746817
2,3.8,28,90.0000000000002,-139,-10.8516068192935
2,3.8,28,90.0000000000002,-138,-11.2127629806795
2,3.8,28,90.0000000000002,-137,-11.8088915335475
2,3.8,28,90.0000000000002,-136,-12.6490377994271
2,3.8,28,90.0000000000002,-135,-13.7422164148084
2,3.8,28,90.0000000000002,-134,-15.0796685577817
2,3.8,28,90.0000000000002,-133,-16.5806152121226
2,3.8,28,90.0000000000002,-132,-17.9618133567076
2,3.8,28,90.0000000000002,-131,-18.629113264173
2,3.8,28,90.0000000000002,-130,-18.1235832967823
2,3.8,28,90.0000000000002,-129,-16.7822109528753
2,3.8,28,90.0000000000002,-128,-15.2225749741279
2,3.8,28,90.0000000000002,-127,-13.7708132307856
2,3.8,28,90.0000000000002,-126,-12.5207217960775
2,3.8,28,90.0000000000002,-125,-11.476860208648
2,3.8,28,90.0000000000002,-124,-10.6188514793461
2,3.8,28,90.0000000000002,-123,-9.9225490299185
2,3.8,28,90.0000000000002,-122,-9.36595047936376
2,3.8,28,90.0000000000002,-121,-8.93030840236874
2,3.8,28,90.0000000000002,-120,-8.59984887334107
2,3.8,28,90.0000000000002,-119,-8.36116740964197
2,3.8,28,90.0000000000002,-118,-8.20261943700834
2,3.8,28,90.0000000000002,-117,-8.11378297407617
2,3.8,28,90.0000000000002,-116,-8.08499882092996
2,3.8,28,90.0000000000002,-115,-8.10697659266579
2,3.8,28,90.0000000000002,-114,-8.1704571715324
2,3.8,28,90.0000000000002,-113,-8.26593190209585
2,3.8,28,90.0000000000002,-112,-8.38343232134192
2,3.8,28,90.0000000000002,-111,-8.51241920093252
2,3.8,28,90.0000000000002,-110,-8.64181258469279
2,3.8,28,90.0000000000002,-109,-8.76020871742428
2,3.8,28,90.0000000000002,-108,-8.85631595195871
2,3.8,28,90.0000000000002,-107,-8.91960172227206
2,3.8,28,90.0000000000002,-106,-8.94107756714922
2,3.8,28,90.0000000000002,-105,-8.9140777832717
2,3.8,28,90.0000000000002,-104,-8.83484538266138
2,3.8,28,90.0000000000002,-103,-8.70276144433093
2,3.8,28,90.0000000000002,-102,-8.52014640698622
2,3.8,28,90.0000000000002,-101,-8.2916875373579
2,3.8,28,90.0000000000002,-100,-8.02364648874261
2,3.8,28,90.0000000000002,-99,-7.72303289614349
2,3.8,28,90.0000000000002,-98,-7.39689458568335
2,3.8,28,90.0000000000002,-97,-7.05180475607878
2,3.8,28,90.0000000000002,-96,-6.69355846051382
2,3.8,28,90.0000000000002,-95,-6.327046221614
2,3.8,28,90.0000000000002,-94,-5.95625458182233
2,3.8,28,90.0000000000002,-93,-5.58434423509028
2,3.8,28,90.0000000000002,-92,-5.21376649867147
2,3.8,28,90.0000000000002,-91,-4.84639116255132
2,3.8,28,90.0000000000002,-90,-4.48362945705682
2,3.8,28,90.0000000000002,-89,-4.12654375812826
2,3.8,28,90.0000000000002,-88,-3.77594079997784
2,3.8,28,90.0000000000002,-87,-3.43244819117809
2,3.8,28,90.0000000000002,-86,-3.09657559736823
2,3.8,28,90.0000000000002,-85,-2.76876260603613
2,3.8,28,90.0000000000002,-84,-2.44941541258578
2,3.8,28,90.0000000000002,-83,-2.13893431195719
2,3.8,28,90.0000000000002,-82,-1.83773369626374
2,3.8,28,90.0000000000002,-81,-1.54625592953478
2,3.8,28,90.0000000000002,-80,-1.26498013751582
2,3.8,28,90.0000000000002,-79,-0.994426630906613
2,3.8,28,90.0000000000002,-78,-0.735157377909828
2,3.8,28,90.0000000000002,-77,-0.487772652662013
2,3.8,28,90.0000000000002,-76,-0.252903702598767
2,3.8,28,90.0000000000002,-75,-0.0312009915006442
2,3.8,28,90.0000000000002,-74,0.176682721845837
2,3.8,28,90.0000000000002,-73,0.370115521201926
2,3.8,28,90.0000000000002,-72,0.54851706250106
2,3.8,28,90.0000000000002,-71,0.711398591370681
2,3.8,28,90.0000000000002,-70,0.858414219545638
2,3.8,28,90.0000000000002,-69,0.989425579276581
2,3.8,28,90.0000000000002,-68,1.10458184684577
2,3.8,28,90.0000000000002,-67,1.2044164727234
2,3.8,28,90.0000000000002,-66,1.28996038996639
2,3.8,28,90.0000000000002,-65,1.36286844847493
2,3.8,28,90.0000000000002,-64,1.42555067345678
2,3.8,28,90.0000000000002,-63,1.48129206419167
2,3.8,28,90.0000000000002,-62,1.53433393714721
2,3.8,28,90.0000000000002,-61,1.58987752852778
2,3.8,28,90.0000000000002,-60,1.6539604643404
2,3.8,28,90.0000000000002,-59,1.73315592063385
2,3.8,28,90.0000000000002,-58,1.83406248897363
2,3.8,28,90.0000000000002,-57,1.96259756428199
2,3.8,28,90.0000000000002,-56,2.12317553233313
2,3.8,28,90.0000000000002,-55,2.31792268999201
2,3.8,28,90.0000000000002,-54,2.54611646553168
2,3.8,28,90.0000000000002,-53,2.80400448813113
2,3.8,28,90.0000000000002,-52,3.08505930078017
2,3.8,28,90.0000000000002,-51,3.38059903778741
2,3.8,28,90.0000000000002,-50,3.68061279400819
2,3.8,28,90.0000000000002,-49,3.97460864022509
2,3.8,28,90.0000000000002,-48,4.25234650129687
2,3.8,28,90.0000000000002,-47,4.50439254380548
2,3.8,28,90.0000000000002,-46,4.72250062116499
2,3.8,28,90.0000000000002,-45,4.89987109677832
2,3.8,28,90.0000000000002,-44,5.03135695488653
2,3.8,28,90.0000000000002,-43,5.11368904577446
2,3.8,28,90.0000000000002,-42,5.14578372190107
2,3.8,28,90.0000000000002,-41,5.12917824035225
2,3.8,28,90.0000000000002,-40,5.06860474251266
2,3.8,28,90.0000000000002,-39,4.97264561281227
2,3.8,28,90.0000000000002,-38,4.85429005013552
2,3.8,28,90.0000000000002,-37,4.73102793066967
2,3.8,28,90.0000000000002,-36,4.6239316715916
2,3.8,28,90.0000000000002,-35,4.55517646237845
2,3.8,28,90.0000000000002,-34,4.54391655019251
2,3.8,28,90.0000000000002,-33,4.60145113510538
2,3.8,28,90.0000000000002,-32,4.72760906300256
2,3.8,28,90.0000000000002,-31,4.91019529744156
2,3.8,28,90.0000000000002,-30,5.12782317414418
2,3.8,28,90.0000000000002,-29,5.3546681281362
2,3.8,28,90.0000000000002,-28,5.56510182382457
2,3.8,28,90.0000000000002,-27,5.73693464404984
2,3.8,28,90.0000000000002,-26,5.85311634808167
2,3.8,28,90.0000000000002,-25,5.90241847457529
2,3.8,28,90.0000000000002,-24,5.87975346820101
2,3.8,28,90.0000000000002,-23,5.78662163898513
2,3.8,28,90.0000000000002,-22,5.63190607175674
2,3.8,28,90.0000000000002,-21,5.43287524621655
2,3.8,28,90.0000000000002,-20,5.21572572011983
2,3.8,28,90.0000000000002,-19,5.01433154730451
2,3.8,28,90.0000000000002,-18,4.86554453745543
2,3.8,28,90.0000000000002,-17,4.80048949294052
2,3.8,28,90.0000000000002,-16,4.83440249588803
2,3.8,28,90.0000000000002,-15,4.96050129330496
2,3.8,28,90.0000000000002,-14,5.1520453242972
2,3.8,28,90.0000000000002,-13,5.37114996852745
2,3.8,28,90.0000000000002,-12,5.57888284053062
2,3.8,28,90.0000000000002,-11,5.7422938480093
2,3.8,28,90.0000000000002,-10,5.8375562684606
2,3.8,28,90.0000000000002,-9,5.85062404558093
2,3.8,28,90.0000000000002,-8,5.77710130355308
2,3.8,28,90.0000000000002,-7,5.62241389894438
2,3.8,28,90.0000000000002,-6,5.4026185355092
2,3.8,28,90.0000000000002,-5,5.14536548840471
2,3.8,28,90.0000000000002,-4,4.889494178912
2,3.8,28,90.0000000000002,-3,4.68077992885048
2,3.8,28,90.0000000000002,-2,4.56190073966019
2,3.8,28,90.0000000000002,-1,4.55855640100927
2,3.8,28,90.0000000000002,0,4.6691147534442
2,3.8,28,90.0000000000002,1,4.86526752084145
2,3.8,28,90.0000000000002,2,5.10317643716871
2,3.8,28,90.0000000000002,3,5.33720145202638
2,3.8,28,90.0000000000002,4,5.52930359031666
2,3.8,28,90.0000000000002,5,5.65276737839279
2,3.8,28,90.0000000000002,6,5.69238353492574
2,3.8,28,90.0000000000002,7,5.64353070840216
2,3.8,28,90.0000000000002,8,5.51159236022335
2,3.8,28,90.0000000000002,9,5.31213353707613
2,3.8,28,90.0000000000002,10,5.07141781140019
2,3.8,28,90.0000000000002,11,4.8259581726099
2,3.8,28,90.0000000000002,12,4.61899744505503
2,3.8,28,90.0000000000002,13,4.49214232358936
2,3.8,28,90.0000000000002,14,4.4732954986558
2,3.8,28,90.0000000000002,15,4.5666038661325
2,3.8,28,90.0000000000002,16,4.75116968733951
