"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,90.0000000000002,-180,-27.2010602155888
2,3.3,90.0000000000002,-179,-27.8611282691958
2,3.3,90.0000000000002,-178,-26.9583831535079
2,3.3,90.0000000000002,-177,-25.2611963987937
2,3.3,90.0000000000002,-176,-23.5798316283721
2,3.3,90.0000000000002,-175,-22.1965690607729
2,3.3,90.0000000000002,-174,-21.1553494388099
2,3.3,90.0000000000002,-173,-20.4411204167497
2,3.3,90.0000000000002,-172,-20.0336632608386
2,3.3,90.0000000000002,-171,-19.9209604309957
2,3.3,90.0000000000002,-170,-20.1024639899498
2,3.3,90.0000000000002,-169,-20.590782399278
2,3.3,90.0000000000002,-168,-21.4142487556634
2,3.3,90.0000000000002,-167,-22.6208152470404
2,3.3,90.0000000000002,-166,-24.2798885007617
2,3.3,90.0000000000002,-165,-26.4572459631231
2,3.3,90.0000000000002,-164,-29.0180382979076
2,3.3,90.0000000000002,-163,-30.8128889550726
2,3.3,90.0000000000002,-162,-29.9669736442189
2,3.3,90.0000000000002,-161,-27.6668239230019
2,3.3,90.0000000000002,-160,-25.5552467413819
2,3.3,90.0000000000002,-159,-23.9630294833064
2,3.3,90.0000000000002,-158,-22.8488857370607
2,3.3,90.0000000000002,-157,-22.1379226816437
2,3.3,90.0000000000002,-156,-21.7727254819365
2,3.3,90.0000000000002,-155,-21.7133051337549
2,3.3,90.0000000000002,-154,-21.9293295988718
2,3.3,90.0000000000002,-153,-22.3892001530872
2,3.3,90.0000000000002,-152,-23.042387305964
2,3.3,90.0000000000002,-151,-23.7896383341526
2,3.3,90.0000000000002,-150,-24.4470330132909
2,3.3,90.0000000000002,-149,-24.7573733152174
2,3.3,90.0000000000002,-148,-24.5345426128516
2,3.3,90.0000000000002,-147,-23.8356329913487
2,3.3,90.0000000000002,-146,-22.8973624410725
2,3.3,90.0000000000002,-145,-21.9423246425871
2,3.3,90.0000000000002,-144,-21.1010355584976
2,3.3,90.0000000000002,-143,-20.4327472449344
2,3.3,90.0000000000002,-142,-19.9600712400858
2,3.3,90.0000000000002,-141,-19.6909017758192
2,3.3,90.0000000000002,-140,-19.6296420897784
2,3.3,90.0000000000002,-139,-19.7829667190389
2,3.3,90.0000000000002,-138,-20.1634629422768
2,3.3,90.0000000000002,-137,-20.7930208275376
2,3.3,90.0000000000002,-136,-21.7071486829521
2,3.3,90.0000000000002,-135,-22.9607719227882
2,3.3,90.0000000000002,-134,-24.6327667223055
2,3.3,90.0000000000002,-133,-26.8041765512224
2,3.3,90.0000000000002,-132,-29.3465709773545
2,3.3,90.0000000000002,-131,-30.9633387723049
2,3.3,90.0000000000002,-130,-29.6038981194996
2,3.3,90.0000000000002,-129,-26.7983450001246
2,3.3,90.0000000000002,-128,-24.2241234556723
2,3.3,90.0000000000002,-127,-22.1335221743798
2,3.3,90.0000000000002,-126,-20.4501388617008
2,3.3,90.0000000000002,-125,-19.0819462202677
2,3.3,90.0000000000002,-124,-17.9596498436904
2,3.3,90.0000000000002,-123,-17.0338472327376
2,3.3,90.0000000000002,-122,-16.2689439090891
2,3.3,90.0000000000002,-121,-15.6386297691576
2,3.3,90.0000000000002,-120,-15.1228974556685
2,3.3,90.0000000000002,-119,-14.7061021533576
2,3.3,90.0000000000002,-118,-14.3756789651349
2,3.3,90.0000000000002,-117,-14.1212734814129
2,3.3,90.0000000000002,-116,-13.9341355077281
2,3.3,90.0000000000002,-115,-13.8066836325078
2,3.3,90.0000000000002,-114,-13.7321830592108
2,3.3,90.0000000000002,-113,-13.7045003192494
2,3.3,90.0000000000002,-112,-13.717911794657
2,3.3,90.0000000000002,-111,-13.7669517178486
2,3.3,90.0000000000002,-110,-13.8462913992352
2,3.3,90.0000000000002,-109,-13.950645961798
2,3.3,90.0000000000002,-108,-14.0747084152025
2,3.3,90.0000000000002,-107,-14.2131136850873
2,3.3,90.0000000000002,-106,-14.3604371195588
2,3.3,90.0000000000002,-105,-14.5112326570643
2,3.3,90.0000000000002,-104,-14.6601147246231
2,3.3,90.0000000000002,-103,-14.8018845438576
2,3.3,90.0000000000002,-102,-14.9316957130623
2,3.3,90.0000000000002,-101,-15.0452463046922
2,3.3,90.0000000000002,-100,-15.1389768565722
2,3.3,90.0000000000002,-99,-15.2102479697946
2,3.3,90.0000000000002,-98,-15.2574703022357
2,3.3,90.0000000000002,-97,-15.2801650807737
2,3.3,90.0000000000002,-96,-15.2789443252189
2,3.3,90.0000000000002,-95,-15.2554140443195
2,3.3,90.0000000000002,-94,-15.2120167380002
2,3.3,90.0000000000002,-93,-15.1518380442364
2,3.3,90.0000000000002,-92,-15.078404572045
2,3.3,90.0000000000002,-91,-14.9954963995831
2,3.3,90.0000000000002,-90,-14.9069905383454
2,3.3,90.0000000000002,-89,-14.8167434687106
2,3.3,90.0000000000002,-88,-14.7285136915213
2,3.3,90.0000000000002,-87,-14.6459201770222
2,3.3,90.0000000000002,-86,-14.5724297655748
2,3.3,90.0000000000002,-85,-14.511365533243
2,3.3,90.0000000000002,-84,-14.4659281894011
2,3.3,90.0000000000002,-83,-14.4392230284362
2,3.3,90.0000000000002,-82,-14.4342852073755
2,3.3,90.0000000000002,-81,-14.4540956289471
2,3.3,90.0000000000002,-80,-14.5015779141679
2,3.3,90.0000000000002,-79,-14.5795631229046
2,3.3,90.0000000000002,-78,-14.690701952046
2,3.3,90.0000000000002,-77,-14.8372924954642
2,3.3,90.0000000000002,-76,-15.0209730293619
2,3.3,90.0000000000002,-75,-15.2422011551919
2,3.3,90.0000000000002,-74,-15.4994021652424
2,3.3,90.0000000000002,-73,-15.7876281779007
2,3.3,90.0000000000002,-72,-16.0965588819022
2,3.3,90.0000000000002,-71,-16.4077918550006
2,3.3,90.0000000000002,-70,-16.6918269286518
2,3.3,90.0000000000002,-69,-16.9062315822043
2,3.3,90.0000000000002,-68,-16.9980805600718
2,3.3,90.0000000000002,-67,-16.914232625307
2,3.3,90.0000000000002,-66,-16.6189285874175
2,3.3,90.0000000000002,-65,-16.1096250969184
2,3.3,90.0000000000002,-64,-15.418862603066
2,3.3,90.0000000000002,-63,-14.6005577756221
2,3.3,90.0000000000002,-62,-13.7117540015551
2,3.3,90.0000000000002,-61,-12.8005093743085
2,3.3,90.0000000000002,-60,-11.9020666163162
2,3.3,90.0000000000002,-59,-11.0401179215887
2,3.3,90.0000000000002,-58,-10.2297772196958
2,3.3,90.0000000000002,-57,-9.48045374518517
2,3.3,90.0000000000002,-56,-8.79805487616664
2,3.3,90.0000000000002,-55,-8.18651398041992
2,3.3,90.0000000000002,-54,-7.64880697454597
2,3.3,90.0000000000002,-53,-7.18762776922207
2,3.3,90.0000000000002,-52,-6.80585560722466
2,3.3,90.0000000000002,-51,-6.50690988624179
2,3.3,90.0000000000002,-50,-6.29506194349665
2,3.3,90.0000000000002,-49,-6.17575958769459
2,3.3,90.0000000000002,-48,-6.15601822233993
2,3.3,90.0000000000002,-47,-6.24494308235428
2,3.3,90.0000000000002,-46,-6.45447485965183
2,3.3,90.0000000000002,-45,-6.80050695502107
2,3.3,90.0000000000002,-44,-7.30463134981868
2,3.3,90.0000000000002,-43,-7.99698545935935
2,3.3,90.0000000000002,-42,-8.92111401865428
2,3.3,90.0000000000002,-41,-10.1426906554283
2,3.3,90.0000000000002,-40,-11.7658278040372
2,3.3,90.0000000000002,-39,-13.9628896821909
2,3.3,90.0000000000002,-38,-17.002147452216
2,3.3,90.0000000000002,-37,-20.8360350884027
2,3.3,90.0000000000002,-36,-21.5983295670349
2,3.3,90.0000000000002,-35,-17.6582688922555
2,3.3,90.0000000000002,-34,-14.0613550606742
2,3.3,90.0000000000002,-33,-11.3929372897564
2,3.3,90.0000000000002,-32,-9.38066122528468
2,3.3,90.0000000000002,-31,-7.83128435506509
2,3.3,90.0000000000002,-30,-6.63135750017521
2,3.3,90.0000000000002,-29,-5.71359670951837
2,3.3,90.0000000000002,-28,-5.03774640609755
2,3.3,90.0000000000002,-27,-4.58071914079225
2,3.3,90.0000000000002,-26,-4.33163573534131
2,3.3,90.0000000000002,-25,-4.2896570354044
2,3.3,90.0000000000002,-24,-4.46376366575896
2,3.3,90.0000000000002,-23,-4.87442364970689
2,3.3,90.0000000000002,-22,-5.55786670036735
2,3.3,90.0000000000002,-21,-6.57501290584327
2,3.3,90.0000000000002,-20,-8.03017240574794
2,3.3,90.0000000000002,-19,-10.1125710554692
2,3.3,90.0000000000002,-18,-13.1898187661827
2,3.3,90.0000000000002,-17,-17.8247074648193
2,3.3,90.0000000000002,-16,-20.2766064042827
2,3.3,90.0000000000002,-15,-15.0868401051455
2,3.3,90.0000000000002,-14,-10.8084018025062
2,3.3,90.0000000000002,-13,-7.85416841776731
2,3.3,90.0000000000002,-12,-5.70733839092915
2,3.3,90.0000000000002,-11,-4.09841220485654
2,3.3,90.0000000000002,-10,-2.88680024153076
2,3.3,90.0000000000002,-9,-1.99516993165652
2,3.3,90.0000000000002,-8,-1.38103656196095
2,3.3,90.0000000000002,-7,-1.02418058102759
2,3.3,90.0000000000002,-6,-0.921548993973282
2,3.3,90.0000000000002,-5,-1.08675786751666
2,3.3,90.0000000000002,-4,-1.55402732333342
2,3.3,90.0000000000002,-3,-2.3890808619715
2,3.3,90.0000000000002,-2,-3.71542473909134
2,3.3,90.0000000000002,-1,-5.78413111888726
2,3.3,90.0000000000002,0,-9.20711427734919
2,3.3,90.0000000000002,1,-16.1576716921722
2,3.3,90.0000000000002,2,-19.9052509843454
2,3.3,90.0000000000002,3,-9.51668507779388
2,3.3,90.0000000000002,4,-4.43776220900116
2,3.3,90.0000000000002,5,-1.07774310787685
2,3.3,90.0000000000002,6,1.43022460828733
2,3.3,90.0000000000002,7,3.41687987264471
2,3.3,90.0000000000002,8,5.04346059570594
2,3.3,90.0000000000002,9,6.40073663835017
2,3.3,90.0000000000002,10,7.54488610979159
2,3.3,90.0000000000002,11,8.51307946268519
2,3.3,90.0000000000002,12,9.33114587924175
2,3.3,90.0000000000002,13,10.0177035925169
2,3.3,90.0000000000002,14,10.5865445162824
2,3.3,90.0000000000002,15,11.0480871492871
2,3.3,90.0000000000002,16,11.4102997592486
2,3.3,90.0000000000002,17,11.679305904897
2,3.3,90.0000000000002,18,11.8597902143646
2,3.3,90.0000000000002,19,11.9552727453193
2,3.3,90.0000000000002,20,11.9682926628128
2,3.3,90.0000000000002,21,11.9005257756077
2,3.3,90.0000000000002,22,11.7528503593467
2,3.3,90.0000000000002,23,11.525368825591
2,3.3,90.0000000000002,24,11.2173875080437
2,3.3,90.0000000000002,25,10.8273519991997
2,3.3,90.0000000000002,26,10.3527300938122
2,3.3,90.0000000000002,27,9.7898273170176
2,3.3,90.0000000000002,28,9.1335094962307
2,3.3,90.0000000000002,29,8.37678987293909
2,3.3,90.0000000000002,30,7.51020918239094
2,3.3,90.0000000000002,31,6.52088457269718
2,3.3,90.0000000000002,32,5.39100282763625
2,3.3,90.0000000000002,33,4.0953292342873
2,3.3,90.0000000000002,34,2.59685660934888
2,3.3,90.0000000000002,35,0.838647252325795
2,3.3,90.0000000000002,36,-1.27296997123417
2,3.3,90.0000000000002,37,-3.90781282429739
2,3.3,90.0000000000002,38,-7.42400715381025
2,3.3,90.0000000000002,39,-12.8101551708389
2,3.3,90.0000000000002,40,-25.0436511796385
2,3.3,90.0000000000002,41,-18.0943745651663
2,3.3,90.0000000000002,42,-11.3956077821789
2,3.3,90.0000000000002,43,-7.99508652838443
2,3.3,90.0000000000002,44,-5.84294156261004
2,3.3,90.0000000000002,45,-4.35871742243822
2,3.3,90.0000000000002,46,-3.29702283374746
2,3.3,90.0000000000002,47,-2.53100296816309
2,3.3,90.0000000000002,48,-1.98649616025623
2,3.3,90.0000000000002,49,-1.61636895046247
2,3.3,90.0000000000002,50,-1.3887988130806
2,3.3,90.0000000000002,51,-1.28129784923217
2,3.3,90.0000000000002,52,-1.27740247598977
2,3.3,90.0000000000002,53,-1.36471834174773
2,3.3,90.0000000000002,54,-1.53370432510578
2,3.3,90.0000000000002,55,-1.77688265525249
2,3.3,90.0000000000002,56,-2.0883056558029
2,3.3,90.0000000000002,57,-2.46318198318867
2,3.3,90.0000000000002,58,-2.89760355607751
2,3.3,90.0000000000002,59,-3.3883352848105
2,3.3,90.0000000000002,60,-3.93264108966791
2,3.3,90.0000000000002,61,-4.52812540244383
2,3.3,90.0000000000002,62,-5.17257126478603
2,3.3,90.0000000000002,63,-5.86375514593931
2,3.3,90.0000000000002,64,-6.59921510414565
2,3.3,90.0000000000002,65,-7.375943307571
2,3.3,90.0000000000002,66,-8.18996732625551
2,3.3,90.0000000000002,67,-9.03578023115102
2,3.3,90.0000000000002,68,-9.90558534737688
2,3.3,90.0000000000002,69,-10.7883543212438
2,3.3,90.0000000000002,70,-11.6687864873721
2,3.3,90.0000000000002,71,-12.5264405590888
2,3.3,90.0000000000002,72,-13.3355954410402
2,3.3,90.0000000000002,73,-14.0666725413656
2,3.3,90.0000000000002,74,-14.6899694126244
2,3.3,90.0000000000002,75,-15.1815402839501
2,3.3,90.0000000000002,76,-15.5293665620564
2,3.3,90.0000000000002,77,-15.7367859599368
2,3.3,90.0000000000002,78,-15.8211591017531
2,3.3,90.0000000000002,79,-15.8085849706985
2,3.3,90.0000000000002,80,-15.7275517416102
2,3.3,90.0000000000002,81,-15.6041029320472
2,3.3,90.0000000000002,82,-15.4594126909582
2,3.3,90.0000000000002,83,-15.3093172958985
2,3.3,90.0000000000002,84,-15.1649334328305
2,3.3,90.0000000000002,85,-15.0336631017406
2,3.3,90.0000000000002,86,-14.9201922932218
2,3.3,90.0000000000002,87,-14.8273240674641
2,3.3,90.0000000000002,88,-14.7566145955673
2,3.3,90.0000000000002,89,-14.7088348055156
2,3.3,90.0000000000002,90,-14.6842953201344
2,3.3,90.0000000000002,91,-14.6830707230384
2,3.3,90.0000000000002,92,-14.7051522134173
2,3.3,90.0000000000002,93,-14.7505502716305
2,3.3,90.0000000000002,94,-14.819362710585
2,3.3,90.0000000000002,95,-14.9118187216789
2,3.3,90.0000000000002,96,-15.0283060378587
2,3.3,90.0000000000002,97,-15.1693858097692
2,3.3,90.0000000000002,98,-15.3357979180191
2,3.3,90.0000000000002,99,-15.5284579664056
2,3.3,90.0000000000002,100,-15.7484459001427
2,3.3,90.0000000000002,101,-15.9969848751104
2,3.3,90.0000000000002,102,-16.2754074753976
2,3.3,90.0000000000002,103,-16.5851044245341
2,3.3,90.0000000000002,104,-16.9274483163911
2,3.3,90.0000000000002,105,-17.3036813354211
2,3.3,90.0000000000002,106,-17.714751208002
2,3.3,90.0000000000002,107,-18.1610737119166
2,3.3,90.0000000000002,108,-18.6421936344792
2,3.3,90.0000000000002,109,-19.1563114687949
2,3.3,90.0000000000002,110,-19.6996463855982
2,3.3,90.0000000000002,111,-20.2656299518421
2,3.3,90.0000000000002,112,-20.8439926273548
2,3.3,90.0000000000002,113,-21.4199470316792
2,3.3,90.0000000000002,114,-21.9739037778306
2,3.3,90.0000000000002,115,-22.4824109935535
2,3.3,90.0000000000002,116,-22.9210425752371
2,3.3,90.0000000000002,117,-23.269372715454
2,3.3,90.0000000000002,118,-23.5168303924816
2,3.3,90.0000000000002,119,-23.6669295348167
2,3.3,90.0000000000002,120,-23.7376117526629
2,3.3,90.0000000000002,121,-23.7575856680293
2,3.3,90.0000000000002,122,-23.7608135114453
2,3.3,90.0000000000002,123,-23.781751540689
2,3.3,90.0000000000002,124,-23.8527548582643
2,3.3,90.0000000000002,125,-24.0036941179744
2,3.3,90.0000000000002,126,-24.2632226772563
2,3.3,90.0000000000002,127,-24.661235455475
2,3.3,90.0000000000002,128,-25.2325377665145
2,3.3,90.0000000000002,129,-26.0224869331646
2,3.3,90.0000000000002,130,-27.0967395573944
2,3.3,90.0000000000002,131,-28.5606087092409
2,3.3,90.0000000000002,132,-30.6039163136211
2,3.3,90.0000000000002,133,-33.6268339947327
2,3.3,90.0000000000002,134,-38.6879704525841
2,3.3,90.0000000000002,135,-46.5792809099271
2,3.3,90.0000000000002,136,-38.7522472372359
2,3.3,90.0000000000002,137,-33.0391169089187
2,3.3,90.0000000000002,138,-29.4870178324152
2,3.3,90.0000000000002,139,-26.9527537996271
2,3.3,90.0000000000002,140,-25.0102010656096
2,3.3,90.0000000000002,141,-23.4586866809845
2,3.3,90.0000000000002,142,-22.1868321196645
2,3.3,90.0000000000002,143,-21.1249312378402
2,3.3,90.0000000000002,144,-20.2249464056835
2,3.3,90.0000000000002,145,-19.4510145330033
2,3.3,90.0000000000002,146,-18.7746392928137
2,3.3,90.0000000000002,147,-18.1722889240631
2,3.3,90.0000000000002,148,-17.6243842781208
2,3.3,90.0000000000002,149,-17.1151258225206
2,3.3,90.0000000000002,150,-16.6327557631241
2,3.3,90.0000000000002,151,-16.169892323723
2,3.3,90.0000000000002,152,-15.723627510192
2,3.3,90.0000000000002,153,-15.2952031178698
2,3.3,90.0000000000002,154,-14.8892545914837
2,3.3,90.0000000000002,155,-14.5127682650591
2,3.3,90.0000000000002,156,-14.1739689882248
2,3.3,90.0000000000002,157,-13.8813293579674
2,3.3,90.0000000000002,158,-13.642807518344
2,3.3,90.0000000000002,159,-13.4653308907777
2,3.3,90.0000000000002,160,-13.3544825417156
2,3.3,90.0000000000002,161,-13.3143229768471
2,3.3,90.0000000000002,162,-13.3472847817287
2,3.3,90.0000000000002,163,-13.4540994470849
2,3.3,90.0000000000002,164,-13.6337475572943
2,3.3,90.0000000000002,165,-13.883462448483
2,3.3,90.0000000000002,166,-14.1988616609006
2,3.3,90.0000000000002,167,-14.5743232937692
2,3.3,90.0000000000002,168,-15.0037476105518
2,3.3,90.0000000000002,169,-15.4818169812561
2,3.3,90.0000000000002,170,-16.0057594328245
2,3.3,90.0000000000002,171,-16.5774384785777
2,3.3,90.0000000000002,172,-17.2054116569635
2,3.3,90.0000000000002,173,-17.9065515235427
2,3.3,90.0000000000002,174,-18.7069742525802
2,3.3,90.0000000000002,175,-19.6422259682832
2,3.3,90.0000000000002,176,-20.7564304481264
2,3.3,90.0000000000002,177,-22.0980838611769
2,3.3,90.0000000000002,178,-23.7020830037707
2,3.3,90.0000000000002,179,-25.5195801276103
2,3.3,90.0000000000002,180,-27.2010602155888
