"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-24.9160329903898
2,3.8,90,-179,-27.628856133107
2,3.8,90,-178,-29.5215785519542
2,3.8,90,-177,-28.6855479320761
2,3.8,90,-176,-26.52074451077
2,3.8,90,-175,-24.6537292078662
2,3.8,90,-174,-23.3723693960933
2,3.8,90,-173,-22.62937735946
2,3.8,90,-172,-22.3592506970027
2,3.8,90,-171,-22.5241525071024
2,3.8,90,-170,-23.1169154037497
2,3.8,90,-169,-24.1618980671408
2,3.8,90,-168,-25.7195514475827
2,3.8,90,-167,-27.887136775933
2,3.8,90,-166,-30.7220122993074
2,3.8,90,-165,-33.6088355010374
2,3.8,90,-164,-33.9251287714826
2,3.8,90,-163,-31.5934588085183
2,3.8,90,-162,-29.2593988797699
2,3.8,90,-161,-27.5693738775321
2,3.8,90,-160,-26.4579665986523
2,3.8,90,-159,-25.8078393818974
2,3.8,90,-158,-25.5268471888428
2,3.8,90,-157,-25.5392117469123
2,3.8,90,-156,-25.766661529882
2,3.8,90,-155,-26.1079567934477
2,3.8,90,-154,-26.4245201024701
2,3.8,90,-153,-26.5553117197802
2,3.8,90,-152,-26.3825412506964
2,3.8,90,-151,-25.905305958678
2,3.8,90,-150,-25.2311029472553
2,3.8,90,-149,-24.4950205573887
2,3.8,90,-148,-23.7978514895449
2,3.8,90,-147,-23.1931232348598
2,3.8,90,-146,-22.6972161679028
2,3.8,90,-145,-22.3009979416618
2,3.8,90,-144,-21.9772423689827
2,3.8,90,-143,-21.6854131998203
2,3.8,90,-142,-21.3772343288072
2,3.8,90,-141,-21.0057864871997
2,3.8,90,-140,-20.5376359536489
2,3.8,90,-139,-19.9628319833518
2,3.8,90,-138,-19.2963981430603
2,3.8,90,-137,-18.5703478516768
2,3.8,90,-136,-17.8218945402431
2,3.8,90,-135,-17.0842692237792
2,3.8,90,-134,-16.3825033194996
2,3.8,90,-133,-15.7330494087832
