"Freq [GHz]","dB(ActiveS(4:1)) []"
2.5,-1.50148093784199
2.51,-1.57701672443004
2.52,-1.65201710553854
2.53,-1.72622418692334
2.54,-1.79946716569013
2.55,-1.87167003752607
2.56,-1.94284700351154
2.57,-2.01308974697323
2.58,-2.08255105559596
2.59,-2.15142839774218
2.6,-2.21994971174671
2.61,-2.28836237518637
2.62,-2.35692536706658
2.63,-2.42590407700294
2.64,-2.49556698500545
2.65,-2.56618342692229
2.66,-2.63802177658307
2.67,-2.7113475458143
2.68,-2.78642108450387
2.69,-2.863494731833
2.7,-2.94280941655756
2.71,-3.02459082563301
2.72,-3.10904535640143
2.73,-3.19635613851821
2.74,-3.28667945760451
2.75,-3.38014193168622
2.76,-3.476838780726
2.77,-3.57683348490357
2.78,-3.68015904497372
2.79,-3.78682093652032
2.8,-3.89680169237876
2.81,-4.01006686394776
2.82,-4.12657192062599
2.83,-4.24626947253683
2.84,-4.36911607436892
2.85,-4.49507781524461
2.86,-4.62413394025104
2.87,-4.75627788831889
2.88,-4.89151535553771
2.89,-5.02985927339981
2.9,-5.17132188794039
2.91,-5.31590439657441
2.92,-5.46358481021144
2.93,-5.61430483854146
2.94,-5.76795664227088
2.95,-5.92437026812594
2.96,-6.08330250058428
2.97,-6.24442775151376
2.98,-6.40733148551082
2.99,-6.57150655873606
3,-6.73635273884385
3.01,-6.90117957282309
3.02,-7.06521267325491
3.03,-7.22760339489361
3.04,-7.38744176668658
3.05,-7.54377242638146
3.06,-7.69561317685788
3.07,-7.84197565075606
3.08,-7.98188744203914
3.09,-8.11441495133424
3.1,-8.23868610831046
3.11,-8.35391208975683
3.12,-8.45940715437348
3.13,-8.55460576868194
3.14,-8.6390763026825
3.15,-8.71253072447295
3.16,-8.77482991166717
3.17,-8.82598441248896
3.18,-8.86615071664593
3.19,-8.89562331958208
3.2,-8.91482306704124
3.21,-8.92428243467285
3.22,-8.92462851712673
3.23,-8.91656456466346
3.24,-8.90085091037754
3.25,-8.8782860813393
3.26,-8.84968879132813
3.27,-8.81588138425289
3.28,-8.7776751505787
3.29,-8.73585778858772
3.3,-8.69118314055089
3.31,-8.6443632101314
3.32,-8.5960623671683
3.33,-8.54689357147148
3.34,-8.49741639757086
3.35,-8.44813661461063
3.36,-8.3995070657068
3.37,-8.3519295946536
3.38,-8.30575778067092
3.39,-8.26130026036392
3.4,-8.21882443750716
3.41,-8.17856040384239
3.42,-8.14070491677742
3.43,-8.10542530231572
3.44,-8.07286317377132
3.45,-8.04313787905943
3.46,-8.01634961179256
3.47,-7.99258214404594
3.48,-7.97190516116541
3.49,-7.95437620071817
3.5,-7.94004221769979
3.51,-7.92894081531965
3.52,-7.92110119402829
3.53,-7.91654488006233
3.54,-7.91528629817071
3.55,-7.91733325132498
3.56,-7.92268736357352
3.57,-7.93134453169137
3.58,-7.94329541814065
3.59,-7.95852600349435
3.6,-7.9770182022807
3.61,-7.99875053339801
3.62,-8.02369882576854
3.63,-8.05183693232652
3.64,-8.08313742098852
