"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2,3.8,0,-180,-8.15130232295523
2,3.8,0,-179,-8.14772992708771
2,3.8,0,-178,-8.15859754096528
2,3.8,0,-177,-8.18090887354132
2,3.8,0,-176,-8.21086052428023
2,3.8,0,-175,-8.24488555296559
2,3.8,0,-174,-8.28071336322464
2,3.8,0,-173,-8.31817407892975
2,3.8,0,-172,-8.35951828448405
2,3.8,0,-171,-8.4091566760127
2,3.8,0,-170,-8.47289648213754
2,3.8,0,-169,-8.55688148863663
2,3.8,0,-168,-8.6664794033782
2,3.8,0,-167,-8.80531471052605
2,3.8,0,-166,-8.97456858209439
2,3.8,0,-165,-9.17260897675931
2,3.8,0,-164,-9.39499230629419
2,3.8,0,-163,-9.63487791277849
2,3.8,0,-162,-9.88388137537897
2,3.8,0,-161,-10.1333240369295
2,3.8,0,-160,-10.3757031310898
2,3.8,0,-159,-10.60605521562
2,3.8,0,-158,-10.8228149426885
2,3.8,0,-157,-11.0278707608529
2,3.8,0,-156,-11.22577695128
2,3.8,0,-155,-11.4223665584627
2,3.8,0,-154,-11.623171694474
2,3.8,0,-153,-11.8320456922099
2,3.8,0,-152,-12.0502610280468
2,3.8,0,-151,-12.2762256863902
2,3.8,0,-150,-12.5058662426691
2,3.8,0,-149,-12.7336485529472
2,3.8,0,-148,-12.9540990085233
2,3.8,0,-147,-13.1635357664686
2,3.8,0,-146,-13.3615792803799
2,3.8,0,-145,-13.551996893735
2,3.8,0,-144,-13.7426159315923
2,3.8,0,-143,-13.9443455916821
2,3.8,0,-142,-14.1696016433443
2,3.8,0,-141,-14.430482627649
2,3.8,0,-140,-14.7368938217469
2,3.8,0,-139,-15.0945585874786
2,3.8,0,-138,-15.5026182104983
2,3.8,0,-137,-15.9504198611698
2,3.8,0,-136,-16.4133460498708
2,3.8,0,-135,-16.8486236985944
2,3.8,0,-134,-17.1945110154509
2,3.8,0,-133,-17.3791032130049
2,3.8,0,-132,-17.3428346880868
2,3.8,0,-131,-17.0657444853763
2,3.8,0,-130,-16.5779266424585
2,3.8,0,-129,-15.943150833561
2,3.8,0,-128,-15.2312362444401
2,3.8,0,-127,-14.4991112483416
2,3.8,0,-126,-13.7853441704988
2,3.8,0,-125,-13.1125823246887
2,3.8,0,-124,-12.4921682901919
2,3.8,0,-123,-11.9282182942608
2,3.8,0,-122,-11.4205143294522
2,3.8,0,-121,-10.966361628896
2,3.8,0,-120,-10.5617239013861
2,3.8,0,-119,-10.2019002990922
2,3.8,0,-118,-9.88192544992472
2,3.8,0,-117,-9.5968068966133
2,3.8,0,-116,-9.34166902495233
2,3.8,0,-115,-9.11184407869739
2,3.8,0,-114,-8.90293342365352
2,3.8,0,-113,-8.71085164268661
2,3.8,0,-112,-8.53185965256774
2,3.8,0,-111,-8.36258924960494
2,3.8,0,-110,-8.20005939864934
2,3.8,0,-109,-8.04168363980082
2,3.8,0,-108,-7.88526784920566
2,3.8,0,-107,-7.7289979874789
2,3.8,0,-106,-7.57141816664818
2,3.8,0,-105,-7.41140015087243
2,3.8,0,-104,-7.24810609771836
2,3.8,0,-103,-7.08094681766793
2,3.8,0,-102,-6.90953801666239
2,3.8,0,-101,-6.73365689129769
2,3.8,0,-100,-6.55320112146818
2,3.8,0,-99,-6.36815183316792
2,3.8,0,-98,-6.17854157382797
2,3.8,0,-97,-5.98442783123875
2,3.8,0,-96,-5.78587218948279
2,3.8,0,-95,-5.58292488060564
2,3.8,0,-94,-5.3756142656785
2,3.8,0,-93,-5.16394065374093
2,3.8,0,-92,-4.94787382260155
2,3.8,0,-91,-4.72735361876208
2,3.8,0,-90,-4.50229306267467
2,3.8,0,-89,-4.27258345128321
2,3.8,0,-88,-4.03810101791159
2,3.8,0,-87,-3.79871477023674
2,3.8,0,-86,-3.55429517473214
2,3.8,0,-85,-3.3047233885718
2,3.8,0,-84,-3.04990075837576
2,3.8,0,-83,-2.78975831231798
2,3.8,0,-82,-2.52426597241852
2,3.8,0,-81,-2.25344121249797
2,3.8,0,-80,-1.97735688959828
2,3.8,0,-79,-1.69614798746267
2,3.8,0,-78,-1.41001703357466
2,3.8,0,-77,-1.11923798832185
2,3.8,0,-76,-0.824158456165171
2,3.8,0,-75,-0.525200132332593
2,3.8,0,-74,-0.222857470769917
2,3.8,0,-73,0.0823053652439648
2,3.8,0,-72,0.389659135097193
2,3.8,0,-71,0.698515535575348
2,3.8,0,-70,1.00813434645571
2,3.8,0,-69,1.31773142001665
2,3.8,0,-68,1.62648721139246
2,3.8,0,-67,1.93355554987948
2,3.8,0,-66,2.23807237254103
2,3.8,0,-65,2.53916417832174
2,3.8,0,-64,2.83595601012458
2,3.8,0,-63,3.12757883032316
2,3.8,0,-62,3.41317621835328
2,3.8,0,-61,3.69191038393109
2,3.8,0,-60,3.9629675529512
2,3.8,0,-59,4.22556284234607
2,3.8,0,-58,4.47894479238052
2,3.8,0,-57,4.72239976720775
2,3.8,0,-56,4.95525646400139
2,3.8,0,-55,5.1768907842459
2,3.8,0,-54,5.38673131408812
2,3.8,0,-53,5.5842656300195
2,3.8,0,-52,5.76904758751655
2,3.8,0,-51,5.94070565994016
2,3.8,0,-50,6.0989522703454
2,3.8,0,-49,6.24359389925386
2,3.8,0,-48,6.3745415596106
2,3.8,0,-47,6.4918210139202
2,3.8,0,-46,6.59558188298231
2,3.8,0,-45,6.68610458519801
2,3.8,0,-44,6.76380388564644
2,3.8,0,-43,6.8292277717227
2,3.8,0,-42,6.88305046180698
2,3.8,0,-41,6.9260586499752
2,3.8,0,-40,6.95913063386853
2,3.8,0,-39,6.98320877126811
2,3.8,0,-38,6.99926671419172
2,3.8,0,-37,7.00827395419781
2,3.8,0,-36,7.01116117950255
2,3.8,0,-35,7.00879054011483
2,3.8,0,-34,7.00193488604791
2,3.8,0,-33,6.99126920241344
2,3.8,0,-32,6.97737577912103
2,3.8,0,-31,6.9607622876717
2,3.8,0,-30,6.94188926313578
2,3.8,0,-29,6.92120102916942
2,3.8,0,-28,6.89915244089118
2,3.8,0,-27,6.87622348413003
2,3.8,0,-26,6.85291512212013
2,3.8,0,-25,6.82972290975786
2,3.8,0,-24,6.80708951775324
2,3.8,0,-23,6.78534270718082
2,3.8,0,-22,6.76463034283825
2,3.8,0,-21,6.74486737676147
2,3.8,0,-20,6.72571014714916
2,3.8,0,-19,6.70657018153152
2,3.8,0,-18,6.68667325489105
2,3.8,0,-17,6.66516098026801
2,3.8,0,-16,6.64122354096737
2,3.8,0,-15,6.61424514112133
2,3.8,0,-14,6.58393965145875
2,3.8,0,-13,6.55045333213725
2,3.8,0,-12,6.51441445165332
2,3.8,0,-11,6.47691589848383
2,3.8,0,-10,6.43942624131628
2,3.8,0,-9,6.4036365785135
2,3.8,0,-8,6.37126354368994
2,3.8,0,-7,6.3438403661338
2,3.8,0,-6,6.32253428570025
2,3.8,0,-5,6.30802649841142
2,3.8,0,-4,6.30047887354109
2,3.8,0,-3,6.29959212997292
2,3.8,0,-2,6.30473840993541
2,3.8,0,-1,6.31513382028597
2,3.8,0,0,6.33000852092166
2,3.8,0,1,6.34873495853478
2,3.8,0,2,6.37088714450944
2,3.8,0,3,6.39622167560398
2,3.8,0,4,6.4245901303851
2,3.8,0,5,6.45580849880168
2,3.8,0,6,6.48951909972461
2,3.8,0,7,6.52508183140506
2,3.8,0,8,6.56152418456552
2,3.8,0,9,6.59756513159104
2,3.8,0,10,6.6317107471149
2,3.8,0,11,6.66240396299977
2,3.8,0,12,6.688200991585
2,3.8,0,13,6.70794419498351
2,3.8,0,14,6.72090469345328
2,3.8,0,15,6.72687549719657
2,3.8,0,16,6.72620492555413
2,3.8,0,17,6.71976875749868
2,3.8,0,18,6.70888707234854
2,3.8,0,19,6.69519783769799
2,3.8,0,20,6.6805038537018
2,3.8,0,21,6.66661232536354
2,3.8,0,22,6.65518654608338
2,3.8,0,23,6.64762647552523
2,3.8,0,24,6.64498946604546
2,3.8,0,25,6.64795494251589
2,3.8,0,26,6.65682909677999
2,3.8,0,27,6.67157946335448
2,3.8,0,28,6.69188599610876
2,3.8,0,29,6.71719543682533
2,3.8,0,30,6.7467688139281
2,3.8,0,31,6.77971658518987
2,3.8,0,32,6.81502078621222
2,3.8,0,33,6.85154736136062
2,3.8,0,34,6.88805395060591
2,3.8,0,35,6.9231986746315
2,3.8,0,36,6.95555425702704
2,3.8,0,37,6.98362976882842
2,3.8,0,38,7.00590005197646
2,3.8,0,39,7.02084102602326
2,3.8,0,40,7.0269679322885
2,3.8,0,41,7.02287320192353
2,3.8,0,42,7.00726093261162
2,3.8,0,43,6.97897569537836
2,3.8,0,44,6.93702431702854
2,3.8,0,45,6.88059018477551
2,3.8,0,46,6.80904036007297
2,3.8,0,47,6.72192630624371
2,3.8,0,48,6.61897932667602
2,3.8,0,49,6.50010191177814
2,3.8,0,50,6.36535615442076
2,3.8,0,51,6.2149502670717
2,3.8,0,52,6.04922406317413
2,3.8,0,53,5.86863408312026
2,3.8,0,54,5.6737388726772
2,3.8,0,55,5.46518477071867
2,3.8,0,56,5.24369243841974
2,3.8,0,57,5.01004426390504
2,3.8,0,58,4.76507270228143
2,3.8,0,59,4.50964955738922
2,3.8,0,60,4.24467617453971
2,3.8,0,61,3.97107448931704
2,3.8,0,62,3.68977886310859
2,3.8,0,63,3.40172862893972
2,3.8,0,64,3.10786126960144
2,3.8,0,65,2.80910615267987
2,3.8,0,66,2.50637875303813
2,3.8,0,67,2.20057530194591
2,3.8,0,68,1.89256781291937
2,3.8,0,69,1.58319944696581
2,3.8,0,70,1.27328019380485
2,3.8,0,71,0.963582860120861
2,3.8,0,72,0.654839370219624
2,3.8,0,73,0.347737397724819
2,3.8,0,74,0.0429173582090183
2,3.8,0,75,-0.259030199027877
2,3.8,0,76,-0.557566757262571
2,3.8,0,77,-0.852207513786643
2,3.8,0,78,-1.14252253805721
2,3.8,0,79,-1.42813737734964
2,3.8,0,80,-1.70873309421614
2,3.8,0,81,-1.98404573715112
2,3.8,0,82,-2.25386526555322
2,3.8,0,83,-2.51803397119676
2,3.8,0,84,-2.77644445977536
2,3.8,0,85,-3.02903727653196
2,3.8,0,86,-3.27579827860347
2,3.8,0,87,-3.51675587281774
2,3.8,0,88,-3.75197825092347
2,3.8,0,89,-3.9815707645512
2,3.8,0,90,-4.20567358977674
2,3.8,0,91,-4.42445983632672
2,3.8,0,92,-4.63813425959186
2,3.8,0,93,-4.84693273496083
2,3.8,0,94,-5.05112265357459
2,3.8,0,95,-5.25100439609247
2,3.8,0,96,-5.44691403567927
2,3.8,0,97,-5.63922741191697
2,3.8,0,98,-5.82836570202569
2,3.8,0,99,-6.0148025926338
2,3.8,0,100,-6.19907312222799
2,3.8,0,101,-6.38178421936253
2,3.8,0,102,-6.56362690321912
2,3.8,0,103,-6.7453900405028
2,3.8,0,104,-6.9279754662747
2,3.8,0,105,-7.11241417749054
2,3.8,0,106,-7.29988319860109
2,3.8,0,107,-7.49172259990162
2,3.8,0,108,-7.68945202025772
2,3.8,0,109,-7.89478589980731
2,3.8,0,110,-8.10964644891102
2,3.8,0,111,-8.33617313488071
2,3.8,0,112,-8.57672710156599
2,3.8,0,113,-8.83388835635957
2,3.8,0,114,-9.11044261891737
2,3.8,0,115,-9.40935320162248
2,3.8,0,116,-9.733710844558
2,3.8,0,117,-10.0866505560885
2,3.8,0,118,-10.471218500717
2,3.8,0,119,-10.8901628934023
2,3.8,0,120,-11.3456097046323
2,3.8,0,121,-11.8385663574312
2,3.8,0,122,-12.3681767061975
2,3.8,0,123,-12.9306382210878
2,3.8,0,124,-13.5177154474387
2,3.8,0,125,-14.1149056767874
2,3.8,0,126,-14.6996415986345
2,3.8,0,127,-15.2405467630015
2,3.8,0,128,-15.6995216442377
2,3.8,0,129,-16.0384458217731
2,3.8,0,130,-16.230083519802
2,3.8,0,131,-16.2685403319321
2,3.8,0,132,-16.1725317261488
2,3.8,0,133,-15.9789776567238
2,3.8,0,134,-15.7314321288131
2,3.8,0,135,-15.4699723305875
2,3.8,0,136,-15.225737511409
2,3.8,0,137,-15.0194722908663
2,3.8,0,138,-14.8620847397305
2,3.8,0,139,-14.7556628842214
2,3.8,0,140,-14.6942414028285
2,3.8,0,141,-14.6642953997139
2,3.8,0,142,-14.6454332026442
2,3.8,0,143,-14.6120986115149
2,3.8,0,144,-14.5370932291687
2,3.8,0,145,-14.3970206940978
2,3.8,0,146,-14.1782832214835
2,3.8,0,147,-13.8809895255634
2,3.8,0,148,-13.5186098737985
2,3.8,0,149,-13.1135733615558
2,3.8,0,150,-12.6911981905056
2,3.8,0,151,-12.2745403684067
2,3.8,0,152,-11.88137711695
2,3.8,0,153,-11.5231736376017
2,3.8,0,154,-11.2053182146468
2,3.8,0,155,-10.9279828700511
2,3.8,0,156,-10.6872496287491
2,3.8,0,157,-10.4763754341666
2,3.8,0,158,-10.2871715694978
2,3.8,0,159,-10.1114539681754
2,3.8,0,160,-9.94242590688345
2,3.8,0,161,-9.77575900787926
2,3.8,0,162,-9.61012483231503
2,3.8,0,163,-9.44703986960661
2,3.8,0,164,-9.29008231721192
2,3.8,0,165,-9.14371898549744
2,3.8,0,166,-9.01205862021836
2,3.8,0,167,-8.89781190829501
2,3.8,0,168,-8.8016405922929
2,3.8,0,169,-8.72197876611851
2,3.8,0,170,-8.65533411955091
2,3.8,0,171,-8.59701411650244
2,3.8,0,172,-8.54214951005866
2,3.8,0,173,-8.48680345756417
2,3.8,0,174,-8.42889286734246
2,3.8,0,175,-8.36866254168988
2,3.8,0,176,-8.30856901474511
2,3.8,0,177,-8.25261371034518
2,3.8,0,178,-8.20533023198911
2,3.8,0,179,-8.17070691288551
2,3.8,0,180,-8.15130232295523
