"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
0,20,2.5,-2.81101209363894
0,20,2.51,-2.90035742238745
0,20,2.52,-2.99295106779506
0,20,2.53,-3.08892000548135
0,20,2.54,-3.18839527177777
0,20,2.55,-3.29151176040944
0,20,2.56,-3.39840794721787
0,20,2.57,-3.50922553298982
0,20,2.58,-3.62410899491316
0,20,2.59,-3.74320503842678
0,20,2.6,-3.86666194342825
0,20,2.61,-3.99462880206713
0,20,2.62,-4.12725464971339
0,20,2.63,-4.26468749605902
0,20,2.64,-4.40707326942599
0,20,2.65,-4.55455469376043
0,20,2.66,-4.7072701238143
0,20,2.67,-4.86535236877447
0,20,2.68,-5.02892753705415
0,20,2.69,-5.1981139340051
0,20,2.7,-5.37302103889569
0,20,2.71,-5.55374857680785
0,20,2.72,-5.74038568471848
0,20,2.73,-5.93301014909209
0,20,2.74,-6.13168766564373
0,20,2.75,-6.33647104206967
0,20,2.76,-6.5473992336789
0,20,2.77,-6.76449607267643
0,20,2.78,-6.98776852729149
0,20,2.79,-7.21720430991523
0,20,2.8,-7.45276864650058
0,20,2.81,-7.69440002471378
0,20,2.82,-7.94200475705116
0,20,2.83,-8.1954502279837
0,20,2.84,-8.45455674120446
0,20,2.85,-8.71908794387429
0,20,2.86,-8.98873987888134
0,20,2.87,-9.26312880306588
0,20,2.88,-9.54177800870539
0,20,2.89,-9.82410399675988
0,20,2.9,-10.1094024722605
0,20,2.91,-10.3968347621536
0,20,2.92,-10.6854153888356
0,20,2.93,-10.9740016601757
0,20,2.94,-11.2612862470013
0,20,2.95,-11.5457937968123
0,20,2.96,-11.8258826620003
0,20,2.97,-12.0997527889064
0,20,2.98,-12.365460714571
0,20,2.99,-12.6209424553975
0,20,3,-12.8640448608071
0,20,3.01,-13.0925657634909
0,20,3.02,-13.3043029934286
0,20,3.03,-13.497112012607
0,20,3.04,-13.668971502499
0,20,3.05,-13.8180555838433
0,20,3.06,-13.942810345139
0,20,3.07,-14.0420309425671
0,20,3.08,-14.1149338100078
0,20,3.09,-14.1612168240975
0,20,3.1,-14.181099189003
0,20,3.11,-14.1753330361618
0,20,3.12,-14.1451808272519
0,20,3.13,-14.0923566998497
0,20,3.14,-14.0189353348997
0,20,3.15,-13.9272375570959
0,20,3.16,-13.8197062127882
0,20,3.17,-13.6987876302744
0,20,3.18,-13.5668325588704
0,20,3.19,-13.4260261990512
0,20,3.2,-13.27835084371
0,20,3.21,-13.1255782437999
0,20,3.22,-12.9692835899797
0,20,3.23,-12.8108701095427
0,20,3.24,-12.6515932564965
0,20,3.25,-12.4925761464492
0,20,3.26,-12.3348124077235
0,20,3.27,-12.1791576931236
0,20,3.28,-12.0263153693075
0,20,3.29,-11.8768243611323
0,20,3.3,-11.7310573491569
0,20,3.31,-11.5892356241256
0,20,3.32,-11.4514633056498
0,20,3.33,-11.3177787384319
0,20,3.34,-11.1882150262136
0,20,3.35,-11.062855510474
0,20,3.36,-10.9418652871565
0,20,3.37,-10.825479850816
0,20,3.38,-10.7139403185123
0,20,3.39,-10.6073819473347
0,20,3.4,-10.5057023621701
0,20,3.41,-10.4084459012113
0,20,3.42,-10.3147343013966
0,20,3.43,-10.2232808780325
0,20,3.44,-10.1329473841917
0,20,3.45,-10.0420976443891
0,20,3.46,-9.94774907757085
0,20,3.47,-9.85933240648804
0,20,3.48,-9.76880222575028
0,20,3.49,-9.68130649794766
0,20,3.5,-9.60144617765181
0,20,3.51,-9.53040054650996
0,20,3.52,-9.46715162620408
