"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,15,2.5,-2.21810870381231
2,15,2.51,-2.29274852840377
2,15,2.52,-2.36952301172273
2,15,2.53,-2.44852977308198
2,15,2.54,-2.52986811617385
2,15,2.55,-2.61363884910748
2,15,2.56,-2.69994408157004
2,15,2.57,-2.78888700031651
2,15,2.58,-2.88057162521106
2,15,2.59,-2.97510254919213
2,15,2.6,-3.07258466673981
2,15,2.61,-3.17312289657204
2,15,2.62,-3.2768219052142
2,15,2.63,-3.38378583854962
2,15,2.64,-3.49411806818425
2,15,2.65,-3.60792095812472
2,15,2.66,-3.72529565453242
2,15,2.67,-3.84634189685843
2,15,2.68,-3.97115784223834
2,15,2.69,-4.09983988653235
2,15,2.7,-4.23248245495238
2,15,2.71,-4.3691777232357
2,15,2.72,-4.51001521756934
2,15,2.73,-4.6550812290855
2,15,2.74,-4.80445796824109
2,15,2.75,-4.95822237754834
2,15,2.76,-5.11644451985019
2,15,2.77,-5.27918546546274
2,15,2.78,-5.44649461652377
2,15,2.79,-5.61840643166293
2,15,2.8,-5.79493654865762
2,15,2.81,-5.97607734602645
2,15,2.82,-6.16179303438392
2,15,2.83,-6.3520144215811
2,15,2.84,-6.54663354796729
2,15,2.85,-6.74549843454998
2,15,2.86,-6.94840822192055
2,15,2.87,-7.15510899584392
2,15,2.88,-7.36529059077561
2,15,2.89,-7.57858463020391
2,15,2.9,-7.7945639987578
2,15,2.91,-8.01274384378709
2,15,2.92,-8.23258407543369
2,15,2.93,-8.45349318094092
2,15,2.94,-8.67483300440234
2,15,2.95,-8.89592398775875
2,15,2.96,-9.11605024938293
2,15,2.97,-9.3344638233962
2,15,2.98,-9.55038742494127
2,15,2.99,-9.76301526514851
2,15,3,-9.97151172106762
2,15,3.01,-10.1750080573046
2,15,3.02,-10.3725978629012
2,15,3.03,-10.5633323552071
2,15,3.04,-10.7462171444795
2,15,3.05,-10.9202123744637
2,15,3.06,-11.0842382812825
2,15,3.07,-11.2371880777547
2,15,3.08,-11.3779496179988
2,15,3.09,-11.5054364975487
2,15,3.1,-11.6186281102822
2,15,3.11,-11.7166167961964
2,15,3.12,-11.7986587428505
2,15,3.13,-11.8642240060159
2,15,3.14,-11.9130402015815
2,15,3.15,-11.9451243752995
2,15,3.16,-11.9607984376103
2,15,3.17,-11.9606853050603
2,15,3.18,-11.945685231025
2,15,3.19,-11.9169342773114
2,15,3.2,-11.8757489748958
2,15,3.21,-11.8235625571661
2,15,3.22,-11.7618585520912
2,15,3.23,-11.6921070649674
2,15,3.24,-11.6157080335101
2,15,3.25,-11.5339444388567
2,15,3.26,-11.4479472324943
2,15,3.27,-11.3586728106445
2,15,3.28,-11.2668933132142
2,15,3.29,-11.1731997762708
2,15,3.3,-11.0780180279557
2,15,3.31,-10.9816368983465
2,15,3.32,-10.8842474992204
2,15,3.33,-10.7859907934331
2,15,3.34,-10.6870084413636
2,15,3.35,-10.5874894344741
2,15,3.36,-10.4877032544743
2,15,3.37,-10.3880105085697
2,15,3.38,-10.2888452784011
2,15,3.39,-10.1906699498055
2,15,3.4,-10.0939117243432
2,15,3.41,-9.99889756702764
2,15,3.42,-9.90580770260401
2,15,3.43,-9.81466455526764
2,15,3.44,-9.72536412373485
2,15,3.45,-9.63774291957379
2,15,3.46,-9.55166076888214
2,15,3.47,-9.46707346768624
2,15,3.48,-9.38407281502676
2,15,3.49,-9.30288387010997
2,15,3.5,-9.22382492779312
2,15,3.51,-9.14724761757087
2,15,3.52,-9.07347802595639
2,15,3.53,-9.00277484103139
2,15,3.54,-8.93531112547454
2,15,3.55,-8.87117734301313
2,15,3.56,-8.81039793118457
2,15,3.57,-8.75295266510567
2,15,3.58,-8.69879601973514
2,15,3.59,-8.6478708453019
2,15,3.6,-8.6001154667034
2,15,3.61,-8.55546511989963
2,15,3.62,-8.51384940831749
2,15,3.63,-8.47518749687575
2,15,3.64,-8.439382425972
2,15,3.65,-8.40631551345318
2,15,3.66,-8.37584149797847
2,15,3.67,-8.3477849481139
2,15,3.68,-8.32193854279379
2,15,3.69,-8.2980641019542
2,15,3.7,-8.27589763926164
2,15,3.71,-8.25516005589594
2,15,3.72,-8.2355750797592
2,15,3.73,-8.21689519885416
2,15,3.74,-8.19893413810644
2,15,3.75,-8.18160078305822
2,15,3.76,-8.16492531873414
2,15,3.77,-8.14906612270988
2,15,3.78,-8.13428861014836
2,15,3.79,-8.12091588536704
2,15,3.8,-8.10926255089046
2,15,3.81,-8.09957076988803
2,15,3.82,-8.0919664920318
2,15,3.83,-8.08644446269445
2,15,3.84,-8.08287936783406
2,15,3.85,-8.08105339575489
2,15,3.86,-8.08068962215946
2,15,3.87,-8.08148392283502
2,15,3.88,-8.08313234188701
2,15,3.89,-8.08535378704136
2,15,3.9,-8.08790896023464
2,15,3.91,-8.09061599003075
2,15,3.92,-8.09336213395469
