"$Ha [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
0,2.5,-0.30340139326256
0,2.51,-0.310050375387827
0,2.52,-0.317346652741808
0,2.53,-0.325326161732198
0,2.54,-0.334025487102312
0,2.55,-0.34348189862199
0,2.56,-0.353733391394962
0,2.57,-0.36481872572478
0,2.58,-0.376777461297415
0,2.59,-0.389649979244108
0,2.6,-0.403477484540529
0,2.61,-0.418301980303127
0,2.62,-0.434166205014527
0,2.63,-0.451113523712867
0,2.64,-0.469187764883219
0,2.65,-0.488432996332293
0,2.66,-0.508893235796938
0,2.67,-0.530612095432794
0,2.68,-0.553632363536081
0,2.69,-0.577995531622488
0,2.7,-0.603741279939398
0,2.71,-0.63090693912654
0,2.72,-0.659526949501338
0,2.73,-0.689632341766439
0,2.74,-0.721250263336671
0,2.75,-0.754403572647573
0,2.76,-0.789110519659338
0,2.77,-0.825384524507459
0,2.78,-0.863234058351325
0,2.79,-0.902662621648285
0,2.8,-0.943668806205597
0,2.81,-0.986246419366135
0,2.82,-1.03038464244244
0,2.83,-1.07606819175715
0,2.84,-1.12327744988112
0,2.85,-1.17198853712792
0,2.86,-1.22217329903672
0,2.87,-1.273799194177
0,2.88,-1.32682907764383
0,2.89,-1.38122088841862
0,2.9,-1.43692726255605
0,2.91,-1.49389510804022
0,2.92,-1.55206519018048
0,2.93,-1.61137178758497
0,2.94,-1.67174248700295
0,2.95,-1.73309818956748
0,2.96,-1.79535340006602
0,2.97,-1.85841686368251
0,2.98,-1.92219260012724
0,2.99,-1.98658136233704
0,3,-2.05148251554915
0,3.01,-2.1167962928307
0,3.02,-2.18242633654289
0,3.03,-2.24828238481053
0,3.04,-2.3142829129379
0,3.05,-2.38035749907911
0,3.06,-2.44644866027832
0,3.07,-2.512512908676
0,3.08,-2.57852081589873
0,3.09,-2.64445594917503
0,3.1,-2.7103126500262
0,3.11,-2.77609274933432
0,3.12,-2.84180142483597
0,3.13,-2.90744247662879
0,3.14,-2.97301329444172
0,3.15,-3.03849970340183
0,3.16,-3.10387071384645
0,3.17,-3.16907300432761
0,3.18,-3.23402479438661
0,3.19,-3.29860867524406
0,3.2,-3.36266299959717
0,3.21,-3.42597158162981
0,3.22,-3.48825167629516
0,3.23,-3.54914042082297
0,3.24,-3.60818007619475
0,3.25,-3.66480250835377
0,3.26,-3.71831349227753
0,3.27,-3.76787777884743
0,3.28,-3.81250663426409
0,3.29,-3.85105089049707
0,3.3,-3.88220442826044
0,3.31,-3.9045251881323
0,3.32,-3.91648262663757
0,3.33,-3.91654086428132
0,3.34,-3.9032839958443
0,3.35,-3.87558246627772
0,3.36,-3.8327864111996
0,3.37,-3.77491552574082
0,3.38,-3.70280148433541
0,3.39,-3.61813709919694
0,3.4,-3.52340292085917
0,3.41,-3.42167457832542
0,3.42,-3.31635000582546
0,3.43,-3.21086694584775
0,3.44,-3.10864998790241
0,3.45,-3.00993503508299
0,3.46,-2.92195412536747
0,3.47,-2.84433715147815
0,3.48,-2.77340118594045
0,3.49,-2.70894838824693
0,3.5,-2.65126563939517
0,3.51,-2.60130110573374
0,3.52,-2.56011822537908
0,3.53,-2.52828321557321
0,3.54,-2.50581136273196
0,3.55,-2.49246236307985
0,3.56,-2.48847321274798
0,3.57,-2.50694921061992
0,3.58,-2.49722399039869
0,3.59,-2.51406381789061
0,3.6,-2.53812693674701
0,3.61,-2.56899403285242
0,3.62,-2.60676085946676
0,3.63,-2.65165097223792
0,3.64,-2.70401367805547
0,3.65,-2.76433038956105
0,3.66,-2.83322087719143
0,3.67,-2.91145000571374
0,3.68,-2.99993536879473
0,3.69,-3.09975600629864
0,3.7,-3.21216236600643
0,3.71,-3.33858775536633
0,3.72,-3.48066164547078
0,3.73,-3.64022528858902
0,3.74,-3.81935016354718
0,3.75,-4.02035976843074
0,3.76,-4.24585526952442
0,3.77,-4.49874555821997
0,3.78,-4.7822824704482
0,3.79,-5.10010243017315
0,3.8,-5.45627677478994
0,3.81,-5.85537474488496
0,3.82,-6.30254589763286
0,3.83,-6.80363300630541
0,3.84,-7.36533309404414
0,3.85,-7.99543442161985
0,3.86,-8.7031734042912
0,3.87,-9.4997822245517
0,3.88,-10.3993447898469
0,3.89,-11.4201657774464
0,3.9,-12.587029959964
0,3.91,-13.9350949387806
0,3.92,-15.5170005268539
0,3.93,-17.4168957455965
0,3.94,-19.7810514532879
0,3.95,-22.8936029788795
0,3.96,-27.3814406287037
0,3.97,-33.958998864448
0,3.98,-31.8677841224369
0,3.99,-26.2772364125582
0,4,-22.7526733728188
0,4.01,-20.3185903902129
0,4.02,-18.4992081708672
0,4.03,-17.0686646567349
0,4.04,-15.9047928374152
0,4.05,-14.9344830667699
0,4.06,-14.1105983174575
0,4.07,-13.4009953287368
0,4.08,-12.7827878420903
0,4.09,-12.2391171050782
0,4.1,-11.7572213850145
0,4.11,-11.3272237028946
0,4.12,-10.941338614985
0,4.13,-10.5933348085389
0,4.14,-10.2781600166704
0,4.15,-9.99167242749737
0,4.16,-9.73044403059969
0,4.17,-9.49161382121489
0,4.18,-9.27277635354401
0,4.19,-9.07189586769031
0,4.2,-8.88723925395566
0,4.21,-8.71732311734107
0,4.22,-8.56087154917952
0,4.23,-8.41678213471759
0,4.24,-8.28409836943725
0,4.25,-8.16198711434727
0,4.26,-8.04972005045072
0,4.27,-7.94665833401747
0,4.28,-7.85223983324209
0,4.29,-7.76596846111595
0,4.3,-7.68740522117734
0,4.31,-7.61616066085177
0,4.32,-7.55188848748022
0,4.33,-7.49428014927194
0,4.34,-7.44306022051741
0,4.35,-7.39798245981886
0,4.36,-7.35882643359432
0,4.37,-7.32539461600242
0,4.38,-7.29750989171292
0,4.39,-7.27501340037301
0,4.4,-7.25776267177336
0,4.41,-7.24563000905424
0,4.42,-7.23850108416331
0,4.43,-7.23627371545938
0,4.44,-7.23885680207147
0,4.45,-7.24616939354306
0,4.46,-7.25813987655905
0,4.47,-7.27470526327898
0,4.48,-7.2958105680776
0,4.49,-7.3214082613959
0,4.5,-7.35145779099447
0,4.51,-7.38592516222585
0,4.52,-7.4247825700451
0,4.53,-7.46800807639325
0,4.54,-7.51558532734379
0,4.55,-7.56750330502418
0,4.56,-7.62375610983107
0,4.57,-7.68434276886902
0,4.58,-7.749267066872
0,4.59,-7.81853739612967
0,4.6,-7.89216662214891
0,4.61,-7.97017196194712
0,4.62,-8.0525748720103
0,4.63,-8.13940094306718
0,4.64,-8.23067979894495
0,4.65,-8.32644499689606
0,4.66,-8.42673392693557
0,4.67,-8.53158770792256
0,4.68,-8.64105107837727
0,4.69,-8.75517228037194
0,4.7,-8.87400293529111
0,4.71,-8.99759791085723
0,4.72,-9.12601517958602
0,4.73,-9.25931566980539
0,4.74,-9.39756311156852
0,4.75,-9.54082388124064
0,4.76,-9.68916685025227
0,4.77,-9.84266324549136
0,4.78,-10.0013865310254
0,4.79,-10.1654123232463
0,4.8,-10.3348183540087
0,4.81,-10.5096844987217
0,4.82,-10.6900928883982
0,4.83,-10.8761281260305
0,4.84,-11.0678776278513
0,4.85,-11.2654321084727
0,4.86,-11.4688862247723
0,4.87,-11.6783393858127
0,4.88,-11.89389672392
0,4.89,-12.115670204084
0,4.9,-12.3437798237194
0,4.91,-12.5783548211325
0,4.92,-12.8195347673472
0,4.93,-13.0674703609001
0,4.94,-13.3223236775464
0,4.95,-13.5842675453804
0,4.96,-13.8534836195787
0,4.97,-14.1301586187146
0,4.98,-14.4144780551227
0,4.99,-14.7066166436483
0,5,-15.0067244048451
2,2.5,-0.222149872932945
2,2.51,-0.232399593715428
2,2.52,-0.24294824938075
2,2.53,-0.253786675820872
2,2.54,-0.264907099636545
2,2.55,-0.276303560639346
2,2.56,-0.287972359493956
2,2.57,-0.299912512583625
2,2.58,-0.312126192607525
2,2.59,-0.324619131118529
2,2.6,-0.337400958690607
2,2.61,-0.350485460075946
2,2.62,-0.363890725805166
2,2.63,-0.377639188179733
2,2.64,-0.391757538177458
2,2.65,-0.406276529784208
2,2.66,-0.421230688716106
2,2.67,-0.436657952211991
2,2.68,-0.452599274246445
2,2.69,-0.469098234868741
2,2.7,-0.486200692352656
2,2.71,-0.503954511758434
2,2.72,-0.522409393189277
2,2.73,-0.54161680791603
2,2.74,-0.561630031767019
2,2.75,-0.582504244545545
2,2.76,-0.604296644193885
2,2.77,-0.627066507930667
2,2.78,-0.65087512287242
2,2.79,-0.675785508793482
2,2.8,-0.701861868037153
2,2.81,-0.729168723071513
2,2.82,-0.757769739520107
2,2.83,-0.787726277771457
2,2.84,-0.819095762963847
2,2.85,-0.851930002954992
2,2.86,-0.886273608351699
2,2.87,-0.922162671249507
2,2.88,-0.959623837383609
2,2.89,-0.998673862344068
2,2.9,-1.0393196836256
2,2.91,-1.08155897701857
2,2.92,-1.12538110925196
2,2.93,-1.17076835782973
2,2.94,-1.21769724862843
2,2.95,-1.2661398624331
2,2.96,-1.31606497968677
2,2.97,-1.36743896252111
2,2.98,-1.42022630832124
2,2.99,-1.47438984432922
2,3,-1.52989056458925
2,3.01,-1.58668713731938
2,3.02,-1.64473513256844
2,3.03,-1.70398603767256
2,3.04,-1.76438614258672
2,3.05,-1.82587538915059
2,3.06,-1.88838628739392
2,3.07,-1.95184300679416
2,3.08,-2.0161607490199
2,3.09,-2.08124549910608
2,3.1,-2.14699423284685
2,3.11,-2.21329562944362
2,3.12,-2.28003130185666
2,3.13,-2.34707751636798
2,3.14,-2.41430733227072
2,3.15,-2.48159305735769
2,3.16,-2.54880888924456
2,3.17,-2.61583359917408
2,3.18,-2.68255311440003
2,3.19,-2.74886286617731
2,3.2,-2.81466979000393
2,3.21,-2.87989388964418
2,3.22,-2.94446930330452
2,3.23,-3.00834483648587
2,3.24,-3.07148394974373
2,3.25,-3.13386420989843
2,3.26,-3.19547622971045
2,3.27,-3.25632213330491
2,3.28,-3.3164135919797
2,3.29,-3.37576947600789
2,3.3,-3.43441316020243
2,3.31,-3.49236950089719
2,3.32,-3.54966146564652
2,3.33,-3.6063063414936
2,3.34,-3.66231137543742
2,3.35,-3.71766862817473
2,3.36,-3.77234879629392
2,3.37,-3.82629387855969
2,3.38,-3.87940898739242
2,3.39,-3.93155447646171
2,3.4,-3.98254071598718
2,3.41,-4.03212841060073
2,3.42,-4.08003569658347
2,3.43,-4.12594861389645
2,3.44,-4.16952673509158
2,3.45,-4.21039643846765
2,3.46,-4.24813224400806
2,3.47,-4.28223517638799
2,3.48,-4.31211869140034
2,3.49,-4.33710779784719
2,3.5,-4.35645163134177
2,3.51,-4.36934752615761
2,3.52,-4.3749749232565
2,3.53,-4.37253820663292
2,3.54,-4.36131755850971
2,3.55,-4.34072596778531
2,3.56,-4.31036893648965
2,3.57,-4.27010170232667
2,3.58,-4.22007746901502
2,3.59,-4.16077970738554
2,3.6,-4.09303240961978
2,3.61,-4.01798433375557
2,3.62,-3.93706651879757
2,3.63,-3.85192612225994
2,3.64,-3.76434317608782
2,3.65,-3.67613940720954
2,3.66,-3.5890892529868
2,3.67,-3.50484241671958
2,3.68,-3.42486501439194
2,3.69,-3.3504032458167
2,3.7,-3.28247050675889
2,3.71,-3.2218568229664
2,3.72,-3.16915884586635
2,3.73,-3.12482794487866
2,3.74,-3.0892217454474
2,3.75,-3.06255536808388
2,3.76,-3.04424631422547
2,3.77,-3.03120045119794
2,3.78,-3.02121412201499
2,3.79,-3.01902649747437
2,3.8,-3.02712567657347
2,3.81,-3.04473994820879
2,3.82,-3.07119059035466
2,3.83,-3.10630391190437
2,3.84,-3.15020996771766
2,3.85,-3.2032234702644
2,3.86,-3.26579877220383
2,3.87,-3.33851840097766
2,3.88,-3.42209622928991
2,3.89,-3.51738755025883
2,3.9,-3.62540284438308
2,3.91,-3.74732384967426
2,3.92,-3.88452130504998
2,3.93,-4.03857404321036
2,3.94,-4.21128920586882
2,3.95,-4.40472334999807
2,3.96,-4.62120416657203
2,3.97,-4.86335248222613
2,3.98,-5.13410419269581
2,3.99,-5.43673181642724
2,4,-5.77486548312324
2,4.01,-6.15251338931954
2,4.02,-6.57408200797504
2,4.03,-7.04439644740199
2,4.04,-7.56872085725063
2,4.05,-8.15277665288341
2,4.06,-8.80275039897609
2,4.07,-9.52526888946224
2,4.08,-10.3272866463916
2,4.09,-11.2157602429788
2,4.1,-12.1968310777914
2,4.11,-13.2739146518096
2,4.12,-14.4434411713775
2,4.13,-15.6858511238019
2,4.14,-16.94834449372
2,4.15,-18.1189590176281
2,4.16,-19.011642235933
2,4.17,-19.4206524449264
2,4.18,-19.2644874206123
2,4.19,-18.6610585728594
2,4.2,-17.8187551572445
2,4.21,-16.9052733797213
2,4.22,-16.0143430311987
2,4.23,-15.1868581613055
2,4.24,-14.435522950433
2,4.25,-13.7600539942561
2,4.26,-13.1548961713338
2,4.27,-12.6128180286555
2,4.28,-12.1264917037963
2,4.29,-11.6891320917437
2,4.3,-11.2947083286294
2,4.31,-10.9379670131276
2,4.32,-10.6143778933723
2,4.33,-10.3200527102975
2,4.34,-10.0516598550077
2,4.35,-9.80634439804853
2,4.36,-9.58165696241277
2,4.37,-9.37549214105244
2,4.38,-9.18603595958071
2,4.39,-9.01172142602672
2,4.4,-8.85119109469034
2,4.41,-8.7032656096262
2,4.42,-8.56691729377305
2,4.43,-8.44124796901897
2,4.44,-8.32547031066251
2,4.45,-8.21889214821822
2,4.46,-8.12090322022185
2,4.47,-8.03096397314258
2,4.48,-7.94859606444787
2,4.49,-7.87337428855043
2,4.5,-7.80491969322214
2,4.51,-7.74289369449695
2,4.52,-7.68699303141597
2,4.53,-7.63694542936389
2,4.54,-7.59250586322465
2,4.55,-7.55345333001591
2,4.56,-7.51958805577488
2,4.57,-7.49072907386961
2,4.58,-7.46671212209834
2,4.59,-7.44738781432029
2,4.6,-7.432620049267
2,4.61,-7.42228462487906
2,4.62,-7.41626803121531
2,4.63,-7.41446639886351
2,4.64,-7.41678458298321
2,4.65,-7.42313536574638
2,4.66,-7.43343876210036
2,4.67,-7.44762141553625
2,4.68,-7.46561607196506
2,4.69,-7.48736112093454
2,4.7,-7.51280019430488
2,4.71,-7.541881813176
2,4.72,-7.57455907435605
2,4.73,-7.61078936800418
2,4.74,-7.65053411829544
2,4.75,-7.69375853906082
2,4.76,-7.74043139636691
2,4.77,-7.79052476993178
2,4.78,-7.84401380513501
2,4.79,-7.90087644717659
2,4.8,-7.96109314867222
