"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,20,0,-180,-13.7089049209963
2,3.3,20,0,-179,-12.9354413452962
2,3.3,20,0,-178,-12.3324961304449
2,3.3,20,0,-177,-11.9302584647309
2,3.3,20,0,-176,-11.7321678415151
2,3.3,20,0,-175,-11.7269723027125
2,3.3,20,0,-174,-11.8910002190972
2,3.3,20,0,-173,-12.1842479602366
2,3.3,20,0,-172,-12.5431694681984
2,3.3,20,0,-171,-12.8762972437532
2,3.3,20,0,-170,-13.0754677254008
2,3.3,20,0,-169,-13.0536060171956
2,3.3,20,0,-168,-12.7916170594215
2,3.3,20,0,-167,-12.3487685165134
2,3.3,20,0,-166,-11.8243059715087
2,3.3,20,0,-165,-11.3113165611328
2,3.3,20,0,-164,-10.8751197606993
2,3.3,20,0,-163,-10.5528823792617
2,3.3,20,0,-162,-10.3603430934063
2,3.3,20,0,-161,-10.2975487024885
2,3.3,20,0,-160,-10.3513845010457
2,3.3,20,0,-159,-10.495191876852
2,3.3,20,0,-158,-10.6869506314772
2,3.3,20,0,-157,-10.8690774938077
2,3.3,20,0,-156,-10.9747688618308
2,3.3,20,0,-155,-10.9447229683932
2,3.3,20,0,-154,-10.7495737165865
2,3.3,20,0,-153,-10.4026910074189
2,3.3,20,0,-152,-9.95201207296641
2,3.3,20,0,-151,-9.45827387374975
2,3.3,20,0,-150,-8.9759683965949
2,3.3,20,0,-149,-8.54475042368268
2,3.3,20,0,-148,-8.18892756710371
2,3.3,20,0,-147,-7.92014407499678
2,3.3,20,0,-146,-7.74013992957052
2,3.3,20,0,-145,-7.64241276462401
2,3.3,20,0,-144,-7.61266026182316
2,3.3,20,0,-143,-7.62838986164613
2,3.3,20,0,-142,-7.65852294080004
2,3.3,20,0,-141,-7.66437864160105
2,3.3,20,0,-140,-7.60376255300627
2,3.3,20,0,-139,-7.43901943025342
2,3.3,20,0,-138,-7.14707822234478
2,3.3,20,0,-137,-6.72637317126667
2,3.3,20,0,-136,-6.19607171183445
2,3.3,20,0,-135,-5.5881741685829
2,3.3,20,0,-134,-4.93759280014149
2,3.3,20,0,-133,-4.27493707175159
2,3.3,20,0,-132,-3.62338561762898
2,3.3,20,0,-131,-2.99856426710259
2,3.3,20,0,-130,-2.40984084096308
2,3.3,20,0,-129,-1.86194229787127
2,3.3,20,0,-128,-1.35638521254671
2,3.3,20,0,-127,-0.892574989141109
2,3.3,20,0,-126,-0.468591978889945
2,3.3,20,0,-125,-0.081732291093868
2,3.3,20,0,-124,0.271127669218184
2,3.3,20,0,-123,0.593287858095057
2,3.3,20,0,-122,0.888062873487707
2,3.3,20,0,-121,1.1586749945317
2,3.3,20,0,-120,1.40818435210867
2,3.3,20,0,-119,1.63944489923176
2,3.3,20,0,-118,1.85507894546043
2,3.3,20,0,-117,2.05746556813874
2,3.3,20,0,-116,2.24873971791885
2,3.3,20,0,-115,2.43079966673424
2,3.3,20,0,-114,2.60532087023474
2,3.3,20,0,-113,2.7737745229501
2,3.3,20,0,-112,2.93744920185266
2,3.3,20,0,-111,3.09747410290412
2,3.3,20,0,-110,3.25484251750215
2,3.3,20,0,-109,3.41043438440527
2,3.3,20,0,-108,3.56503698101182
2,3.3,20,0,-107,3.71936306828782
2,3.3,20,0,-106,3.87406605523062
2,3.3,20,0,-105,4.0297519824606
2,3.3,20,0,-104,4.18698832627733
2,3.3,20,0,-103,4.3463097862819
2,3.3,20,0,-102,4.508221339107
2,3.3,20,0,-101,4.67319891997238
2,3.3,20,0,-100,4.84168813761762
2,3.3,20,0,-99,5.0141014429655
2,3.3,20,0,-98,5.19081416419619
2,3.3,20,0,-97,5.37215979680217
2,3.3,20,0,-96,5.55842490178142
2,3.3,20,0,-95,5.74984392251819
2,3.3,20,0,-94,5.94659418425558
2,3.3,20,0,-93,6.14879129176085
2,3.3,20,0,-92,6.3564850926102
2,3.3,20,0,-91,6.56965632685642
2,3.3,20,0,-90,6.78821403979014
2,3.3,20,0,-89,7.01199379396598
2,3.3,20,0,-88,7.2407566803799
2,3.3,20,0,-87,7.47418909723103
2,3.3,20,0,-86,7.71190323848094
2,3.3,20,0,-85,7.95343821363437
2,3.3,20,0,-84,8.19826170479219
2,3.3,20,0,-83,8.44577205683921
2,3.3,20,0,-82,8.6953006911966
2,3.3,20,0,-81,8.94611473229494
2,3.3,20,0,-80,9.19741973809145
2,3.3,20,0,-79,9.44836243076913
2,3.3,20,0,-78,9.6980333304002
2,3.3,20,0,-77,9.94546920202829
2,3.3,20,0,-76,10.1896552345742
2,3.3,20,0,-75,10.4295268775211
2,3.3,20,0,-74,10.6639712678915
2,3.3,20,0,-73,10.8918281850757
2,3.3,20,0,-72,11.1118904741683
2,3.3,20,0,-71,11.3229038792122
2,3.3,20,0,-70,11.5235662257803
2,3.3,20,0,-69,11.7125258872454
2,3.3,20,0,-68,11.8883794604876
2,3.3,20,0,-67,12.0496685641446
2,3.3,20,0,-66,12.1948756551766
2,3.3,20,0,-65,12.3224187366663
2,3.3,20,0,-64,12.4306448003176
2,3.3,20,0,-63,12.5178218096572
2,3.3,20,0,-62,12.5821289826805
2,3.3,20,0,-61,12.6216450733357
2,3.3,20,0,-60,12.6343342769799
2,3.3,20,0,-59,12.6180292923659
2,3.3,20,0,-58,12.5704109579527
2,3.3,20,0,-57,12.4889837394397
2,3.3,20,0,-56,12.3710461754474
2,3.3,20,0,-55,12.2136551896004
2,3.3,20,0,-54,12.0135829589851
2,3.3,20,0,-53,11.7672648199538
2,3.3,20,0,-52,11.4707365651107
2,3.3,20,0,-51,11.1195596067296
2,3.3,20,0,-50,10.7087332205973
2,3.3,20,0,-49,10.2325952451355
2,3.3,20,0,-48,9.6847179490863
2,3.3,20,0,-47,9.05781815453728
2,3.3,20,0,-46,8.34372868279778
2,3.3,20,0,-45,7.53354103816818
2,3.3,20,0,-44,6.61817040450166
2,3.3,20,0,-43,5.58990988308131
2,3.3,20,0,-42,4.44623013026214
2,3.3,20,0,-41,3.19845599548726
2,3.3,20,0,-40,1.88994685748342
2,3.3,20,0,-39,0.627486888714312
2,3.3,20,0,-38,-0.390089827113042
2,3.3,20,0,-37,-0.917336672251445
2,3.3,20,0,-36,-0.838117705324023
2,3.3,20,0,-35,-0.284647145388706
2,3.3,20,0,-34,0.492551960518231
2,3.3,20,0,-33,1.29548547161325
2,3.3,20,0,-32,2.01742498205854
2,3.3,20,0,-31,2.61281011226772
2,3.3,20,0,-30,3.06641028731366
2,3.3,20,0,-29,3.37569925527804
2,3.3,20,0,-28,3.54242606084798
2,3.3,20,0,-27,3.56885601447009
2,3.3,20,0,-26,3.45615583118243
2,3.3,20,0,-25,3.2037448705214
2,3.3,20,0,-24,2.80913533494564
2,3.3,20,0,-23,2.26817755247329
2,3.3,20,0,-22,1.57597081113463
2,3.3,20,0,-21,0.729238973769092
2,3.3,20,0,-20,-0.267948762014505
2,3.3,20,0,-19,-1.39118680014864
2,3.3,20,0,-18,-2.569312043258
2,3.3,20,0,-17,-3.64454680509516
2,3.3,20,0,-16,-4.36120957799956
2,3.3,20,0,-15,-4.48785247686816
2,3.3,20,0,-14,-4.03215093255231
2,3.3,20,0,-13,-3.23449625850893
2,3.3,20,0,-12,-2.35141684988246
2,3.3,20,0,-11,-1.54039079317242
2,3.3,20,0,-10,-0.874250879564318
2,3.3,20,0,-9,-0.381010361163693
2,3.3,20,0,-8,-0.0698530515922792
2,3.3,20,0,-7,0.0559804518305379
2,3.3,20,0,-6,-0.00674444011135031
2,3.3,20,0,-5,-0.264104463257334
2,3.3,20,0,-4,-0.72661955189839
2,3.3,20,0,-3,-1.41030070882726
2,3.3,20,0,-2,-2.3369153041294
2,3.3,20,0,-1,-3.53142597897991
2,3.3,20,0,0,-5.00890223646275
2,3.3,20,0,1,-6.72523022367216
2,3.3,20,0,2,-8.42860466167386
2,3.3,20,0,3,-9.4428338109877
2,3.3,20,0,4,-9.09746737742842
2,3.3,20,0,5,-7.76218868431802
2,3.3,20,0,6,-6.23104554458711
2,3.3,20,0,7,-4.89382333534346
2,3.3,20,0,8,-3.84781963310286
2,3.3,20,0,9,-3.09444779084407
