"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,20,0,-180,-14.5057036301767
2,3.3,20,0,-179,-15.1748634355313
2,3.3,20,0,-178,-16.1490563977079
2,3.3,20,0,-177,-17.477507513881
2,3.3,20,0,-176,-19.2380106900788
2,3.3,20,0,-175,-21.5360539417277
2,3.3,20,0,-174,-24.4076957217543
2,3.3,20,0,-173,-27.1098075338217
2,3.3,20,0,-172,-27.0545485735991
2,3.3,20,0,-171,-24.5871032782019
2,3.3,20,0,-170,-22.1550671062888
2,3.3,20,0,-169,-20.3002717503737
2,3.3,20,0,-168,-18.9550522922274
2,3.3,20,0,-167,-18.0097497684836
2,3.3,20,0,-166,-17.3818288391607
2,3.3,20,0,-165,-17.0125594044549
2,3.3,20,0,-164,-16.8581632895297
2,3.3,20,0,-163,-16.8829505029524
2,3.3,20,0,-162,-17.0543786296615
2,3.3,20,0,-161,-17.3395283019596
2,3.3,20,0,-160,-17.7030380327808
2,3.3,20,0,-159,-18.1071733635767
2,3.3,20,0,-158,-18.5149657375546
2,3.3,20,0,-157,-18.8965668656018
2,3.3,20,0,-156,-19.2368635573162
2,3.3,20,0,-155,-19.540428261155
2,3.3,20,0,-154,-19.8306353346758
2,3.3,20,0,-153,-20.1434397720367
2,3.3,20,0,-152,-20.5193577585295
2,3.3,20,0,-151,-20.9967859837096
2,3.3,20,0,-150,-21.6069847935678
2,3.3,20,0,-149,-22.3679506088603
2,3.3,20,0,-148,-23.2711502282168
2,3.3,20,0,-147,-24.2512934358094
2,3.3,20,0,-146,-25.1342870171841
2,3.3,20,0,-145,-25.6142402089904
2,3.3,20,0,-144,-25.4128864186528
2,3.3,20,0,-143,-24.56625925521
2,3.3,20,0,-142,-23.3822139464847
2,3.3,20,0,-141,-22.1476567791801
2,3.3,20,0,-140,-21.015523942949
2,3.3,20,0,-139,-20.043972387878
2,3.3,20,0,-138,-19.2465586059773
2,3.3,20,0,-137,-18.6196618934776
2,3.3,20,0,-136,-18.1544705105459
2,3.3,20,0,-135,-17.8417632031727
2,3.3,20,0,-134,-17.6736872686245
2,3.3,20,0,-133,-17.6443449628216
2,3.3,20,0,-132,-17.7499281644222
2,3.3,20,0,-131,-17.9886867145499
2,3.3,20,0,-130,-18.3608096792291
2,3.3,20,0,-129,-18.868168914232
2,3.3,20,0,-128,-19.5137180670592
2,3.3,20,0,-127,-20.3000427054775
2,3.3,20,0,-126,-21.2259176041528
2,3.3,20,0,-125,-22.278407312837
2,3.3,20,0,-124,-23.4158983455861
2,3.3,20,0,-123,-24.537077672014
2,3.3,20,0,-122,-25.4465697896496
2,3.3,20,0,-121,-25.8834622804573
2,3.3,20,0,-120,-25.6918598452534
2,3.3,20,0,-119,-24.9745391669169
2,3.3,20,0,-118,-23.9838296007593
2,3.3,20,0,-117,-22.9300931740373
2,3.3,20,0,-116,-21.9266623916285
2,3.3,20,0,-115,-21.0189997895887
2,3.3,20,0,-114,-20.2183776867299
2,3.3,20,0,-113,-19.5213896678833
2,3.3,20,0,-112,-18.9191810440041
