"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-180,-28.7144305036698
3.8,45,-179,-26.0319497692253
3.8,45,-178,-23.9741113634574
3.8,45,-177,-22.410178265649
3.8,45,-176,-21.2718123204766
3.8,45,-175,-20.5271377661138
3.8,45,-174,-20.1694816029627
3.8,45,-173,-20.210714973697
3.8,45,-172,-20.6687195919282
3.8,45,-171,-21.5177026973547
3.8,45,-170,-22.4992659203105
3.8,45,-169,-22.7291761738405
3.8,45,-168,-21.2360732097979
3.8,45,-167,-18.6394456182321
3.8,45,-166,-15.9837181330325
3.8,45,-165,-13.6454229737243
3.8,45,-164,-11.6678305621801
3.8,45,-163,-10.0154660780835
3.8,45,-162,-8.64530396712626
3.8,45,-161,-7.52131947260315
3.8,45,-160,-6.61567518576411
3.8,45,-159,-5.90730190065959
3.8,45,-158,-5.38034032896453
3.8,45,-157,-5.02291545932051
3.8,45,-156,-4.82625596346808
3.8,45,-155,-4.78408647601199
3.8,45,-154,-4.8922233317107
3.8,45,-153,-5.14832264353898
3.8,45,-152,-5.55174659420052
3.8,45,-151,-6.10352651159787
3.8,45,-150,-6.80640963064586
3.8,45,-149,-7.66497994656723
3.8,45,-148,-8.68583950479607
3.8,45,-147,-9.87781671794479
3.8,45,-146,-11.2521117526506
3.8,45,-145,-12.8221424799294
3.8,45,-144,-14.6024849928018
3.8,45,-143,-16.6053894998695
3.8,45,-142,-18.8312232369471
3.8,45,-141,-21.24517244316
3.8,45,-140,-23.7308052597787
3.8,45,-139,-26.0414549274537
3.8,45,-138,-27.8799680804916
3.8,45,-137,-29.2027426285307
3.8,45,-136,-30.3592571574179
3.8,45,-135,-31.8589170680423
3.8,45,-134,-34.2914573496768
3.8,45,-133,-38.8516739735183
3.8,45,-132,-51.6299067269274
3.8,45,-131,-40.7013777318421
3.8,45,-130,-33.6822749438838
3.8,45,-129,-29.7122432367983
3.8,45,-128,-26.9839883463556
3.8,45,-127,-24.9540946713158
3.8,45,-126,-23.3829519438877
3.8,45,-125,-22.1417608017888
3.8,45,-124,-21.1521550171821
3.8,45,-123,-20.362177102256
3.8,45,-122,-19.7351104269033
3.8,45,-121,-19.2436824289241
3.8,45,-120,-18.8667961324265
3.8,45,-119,-18.5875646084037
3.8,45,-118,-18.3920668014286
3.8,45,-117,-18.2685269504188
3.8,45,-116,-18.2067555296813
3.8,45,-115,-18.1977589631375
3.8,45,-114,-18.2334627715089
3.8,45,-113,-18.3065139150687
3.8,45,-112,-18.4101404142447
