"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-180,-39.2549738969354
3.8,45,-179,-44.3411740653422
3.8,45,-178,-44.9310184629425
3.8,45,-177,-41.8751292396233
3.8,45,-176,-39.7365296048726
3.8,45,-175,-38.1853213230694
3.8,45,-174,-36.4970107725709
3.8,45,-173,-34.4393911706404
3.8,45,-172,-32.285425912437
3.8,45,-171,-30.3480396554055
3.8,45,-170,-28.7779728599666
3.8,45,-169,-27.617149009511
3.8,45,-168,-26.8665329201738
3.8,45,-167,-26.5195849527418
3.8,45,-166,-26.5761257769796
3.8,45,-165,-27.0492437857658
3.8,45,-164,-27.9715591043138
3.8,45,-163,-29.4048133297823
3.8,45,-162,-31.4569817460645
3.8,45,-161,-34.3087072706045
3.8,45,-160,-38.1876985563168
3.8,45,-159,-42.4690554960553
3.8,45,-158,-42.7957027080825
3.8,45,-157,-40.3883790535892
3.8,45,-156,-38.8939343446343
3.8,45,-155,-38.5515482657928
3.8,45,-154,-39.0955627020002
3.8,45,-153,-39.8895984844283
3.8,45,-152,-39.4548422238221
3.8,45,-151,-37.2134611895257
3.8,45,-150,-34.5220461734685
3.8,45,-149,-32.2049182075468
3.8,45,-148,-30.3926784296662
3.8,45,-147,-29.0373306391953
3.8,45,-146,-28.0728077253207
3.8,45,-145,-27.4443779936155
3.8,45,-144,-27.1100116186323
3.8,45,-143,-27.0368141366705
3.8,45,-142,-27.1968214950895
3.8,45,-141,-27.5624147531243
3.8,45,-140,-28.1007510248083
3.8,45,-139,-28.7667614971963
3.8,45,-138,-29.4957732884978
3.8,45,-137,-30.2008174042253
3.8,45,-136,-30.784872827108
3.8,45,-135,-31.1744689318981
3.8,45,-134,-31.3572843584574
3.8,45,-133,-31.3881137998038
3.8,45,-132,-31.3564106741576
3.8,45,-131,-31.3478970827014
3.8,45,-130,-31.425305152706
3.8,45,-129,-31.6260734691178
3.8,45,-128,-31.9653073515308
3.8,45,-127,-32.4357624314266
3.8,45,-126,-33.0006274275333
3.8,45,-125,-33.5783209358371
3.8,45,-124,-34.0289287245908
3.8,45,-123,-34.1754955539709
3.8,45,-122,-33.8934234901682
3.8,45,-121,-33.205358824867
3.8,45,-120,-32.2573947256396
3.8,45,-119,-31.2111923470069
3.8,45,-118,-30.1783718209098
3.8,45,-117,-29.2174558275137
3.8,45,-116,-28.3523355266877
3.8,45,-115,-27.5884172572986
3.8,45,-114,-26.9223072066183
3.8,45,-113,-26.3468575498779
3.8,45,-112,-25.8536200331888
3.8,45,-111,-25.433977774377
3.8,45,-110,-25.0796301594567
3.8,45,-109,-24.7827696828789
3.8,45,-108,-24.5361174676764
3.8,45,-107,-24.3328989038708
3.8,45,-106,-24.1667989322172
3.8,45,-105,-24.0319158825368
3.8,45,-104,-23.922722574346
3.8,45,-103,-23.8340382798447
3.8,45,-102,-23.7610125209717
3.8,45,-101,-23.6991202347968
3.8,45,-100,-23.6441669679745
3.8,45,-99,-23.5923021634668
3.8,45,-98,-23.5400381722829
3.8,45,-97,-23.4842723443831
3.8,45,-96,-23.4223094535162
3.8,45,-95,-23.351881825158
3.8,45,-94,-23.2711648808055
3.8,45,-93,-23.1787863670149
3.8,45,-92,-23.073828246097
3.8,45,-91,-22.9558209987065
3.8,45,-90,-22.8247308250141
3.8,45,-89,-22.6809408382073
3.8,45,-88,-22.5252277578663
3.8,45,-87,-22.358735807177
3.8,45,-86,-22.1829495125883
3.8,45,-85,-21.9996669432585
3.8,45,-84,-21.8109746715575
3.8,45,-83,-21.6192254460014
3.8,45,-82,-21.4270192935098
3.8,45,-81,-21.2371885399332
3.8,45,-80,-21.0527870685595
3.8,45,-79,-20.8770840213929
3.8,45,-78,-20.7135620702981
3.8,45,-77,-20.5659203174565
3.8,45,-76,-20.4380817894543
3.8,45,-75,-20.3342053136791
3.8,45,-74,-20.2587012282504
3.8,45,-73,-20.2162497433437
3.8,45,-72,-20.2118196105152
3.8,45,-71,-20.2506826560872
3.8,45,-70,-20.3384159560355
3.8,45,-69,-20.4808766386008
3.8,45,-68,-20.6841220866344
3.8,45,-67,-20.9542263624452
3.8,45,-66,-21.2969044959868
3.8,45,-65,-21.7167877123906
3.8,45,-64,-22.2160784189506
3.8,45,-63,-22.7921448496788
3.8,45,-62,-23.4334424005555
3.8,45,-61,-24.1132501982511
3.8,45,-60,-24.7819569548532
3.8,45,-59,-25.3626157517254
3.8,45,-58,-25.760948093313
3.8,45,-57,-25.8998264399726
3.8,45,-56,-25.7633413472199
3.8,45,-55,-25.4088470780147
3.8,45,-54,-24.9325457054753
3.8,45,-53,-24.4240996187012
3.8,45,-52,-23.9419516130413
3.8,45,-51,-23.5084552356112
3.8,45,-50,-23.1124100627088
3.8,45,-49,-22.7130676031701
3.8,45,-48,-22.248204608548
3.8,45,-47,-21.6525046859377
3.8,45,-46,-20.8857566271342
3.8,45,-45,-19.9549664612542
3.8,45,-44,-18.9117564843197
3.8,45,-43,-17.8283796960704
3.8,45,-42,-16.7732856148458
3.8,45,-41,-15.79931221523
3.8,45,-40,-14.9429469940826
