"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,0,-180,-22.2387329513205
3.8,0,-179,-27.5680199081709
3.8,0,-178,-35.5017154764919
3.8,0,-177,-27.1401811838083
3.8,0,-176,-21.9890556560242
3.8,0,-175,-19.0549941211152
3.8,0,-174,-17.2571180851015
3.8,0,-173,-16.2078407966209
3.8,0,-172,-15.7428057748057
3.8,0,-171,-15.793937828474
3.8,0,-170,-16.34367997091
3.8,0,-169,-17.3907282356106
3.8,0,-168,-18.8571728616411
3.8,0,-167,-20.2618380870975
3.8,0,-166,-20.334416667213
3.8,0,-165,-18.5652604903673
3.8,0,-164,-16.1896524370527
3.8,0,-163,-14.0372724437655
3.8,0,-162,-12.2775864021164
3.8,0,-161,-10.8856982342689
3.8,0,-160,-9.80752215778877
3.8,0,-159,-8.99458659408632
3.8,0,-158,-8.40821493808903
3.8,0,-157,-8.01779970959669
3.8,0,-156,-7.79850823177338
3.8,0,-155,-7.72943167576112
3.8,0,-154,-7.7922715699678
3.8,0,-153,-7.9705031963177
3.8,0,-152,-8.2489548637806
3.8,0,-151,-8.6137434907951
3.8,0,-150,-9.05246377945171
3.8,0,-149,-9.55442612731776
3.8,0,-148,-10.1105864610343
3.8,0,-147,-10.7126416740989
3.8,0,-146,-11.3506263460988
3.8,0,-145,-12.0083304123856
3.8,0,-144,-12.6562587362152
3.8,0,-143,-13.2435379615128
3.8,0,-142,-13.6945035686774
3.8,0,-141,-13.9213068310899
3.8,0,-140,-13.8595047339515
3.8,0,-139,-13.5073205348973
3.8,0,-138,-12.9302204473873
3.8,0,-137,-12.2254697884402
3.8,0,-136,-11.4827079872725
3.8,0,-135,-10.7661056535419
3.8,0,-134,-10.1147531251279
3.8,0,-133,-9.54958984031815
3.8,0,-132,-9.08015704737375
3.8,0,-131,-8.70934244677482
3.8,0,-130,-8.4362840916603
3.8,0,-129,-8.25800313780509
3.8,0,-128,-8.17023524277845
3.8,0,-127,-8.16776001895342
3.8,0,-126,-8.24439685652357
3.8,0,-125,-8.39275303170423
3.8,0,-124,-8.60376733734446
3.8,0,-123,-8.86608588061694
3.8,0,-122,-9.16534291704915
3.8,0,-121,-9.48351248860045
3.8,0,-120,-9.79865068029803
3.8,0,-119,-10.0855180708761
3.8,0,-118,-10.3176060691328
3.8,0,-117,-10.4707402780746
3.8,0,-116,-10.5275743383459
3.8,0,-115,-10.4813188970129
