"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,0,-180,-18.7586446071262
3.8,0,-179,-16.8828310360601
3.8,0,-178,-13.9231804882768
3.8,0,-177,-11.6237646897662
3.8,0,-176,-10.051501355735
3.8,0,-175,-9.07842700505554
3.8,0,-174,-8.61434160131258
3.8,0,-173,-8.61478432118219
3.8,0,-172,-9.07180217539154
3.8,0,-171,-10.0069973150853
3.8,0,-170,-11.456762695618
3.8,0,-169,-13.3946587803009
3.8,0,-168,-15.3739833280875
3.8,0,-167,-15.9122565593347
3.8,0,-166,-14.3145561812772
3.8,0,-165,-12.1208414592183
3.8,0,-164,-10.2691136288936
3.8,0,-163,-8.91035785564192
3.8,0,-162,-8.00763567144403
3.8,0,-161,-7.50961000698454
3.8,0,-160,-7.37996742459872
3.8,0,-159,-7.59790792458263
3.8,0,-158,-8.15195958033759
3.8,0,-157,-9.02609848783279
3.8,0,-156,-10.1639822190937
3.8,0,-155,-11.381605010494
3.8,0,-154,-12.2420608456337
3.8,0,-153,-12.2004599546913
3.8,0,-152,-11.2383761300015
3.8,0,-151,-9.88215249672603
3.8,0,-150,-8.56462765721278
3.8,0,-149,-7.4610458287973
3.8,0,-148,-6.61136641200729
3.8,0,-147,-6.00800091146779
3.8,0,-146,-5.63011062695568
3.8,0,-145,-5.45416267661949
3.8,0,-144,-5.45575385032772
3.8,0,-143,-5.60805863147248
3.8,0,-142,-5.87867089242059
3.8,0,-141,-6.2257641794033
3.8,0,-140,-6.5951660294377
3.8,0,-139,-6.92161925030209
3.8,0,-138,-7.13842784641145
3.8,0,-137,-7.19586215293626
3.8,0,-136,-7.07906129369844
3.8,0,-135,-6.81127788360097
3.8,0,-134,-6.43934100191776
3.8,0,-133,-6.01332440866346
3.8,0,-132,-5.57287771189067
3.8,0,-131,-5.14294770660409
3.8,0,-130,-4.73534173870093
3.8,0,-129,-4.35233435745645
3.8,0,-128,-3.99032472473995
3.8,0,-127,-3.64289876860529
3.8,0,-126,-3.30320143135915
3.8,0,-125,-2.96563550147714
3.8,0,-124,-2.62688902855989
3.8,0,-123,-2.28630714372787
3.8,0,-122,-1.94569510693346
3.8,0,-121,-1.60872502039242
3.8,0,-120,-1.28016326253269
3.8,0,-119,-0.96511559874204
3.8,0,-118,-0.668419485567213
3.8,0,-117,-0.394234706169172
3.8,0,-116,-0.14582308926065
3.8,0,-115,0.0745240245297819
3.8,0,-114,0.265459979748243
3.8,0,-113,0.426501932294673
3.8,0,-112,0.557926576949092
3.8,0,-111,0.660662518487545
3.8,0,-110,0.736190023431824
3.8,0,-109,0.786452380150273
3.8,0,-108,0.813778993005118
3.8,0,-107,0.820818026848825
3.8,0,-106,0.810475356743507
3.8,0,-105,0.785856380649634
3.8,0,-104,0.750207686947705
3.8,0,-103,0.706856499593809
3.8,0,-102,0.659147151474117
3.8,0,-101,0.610375434745024
3.8,0,-100,0.563723348396505
3.8,0,-99,0.52219822588895
3.8,0,-98,0.488581141177076
3.8,0,-97,0.465389538159667
3.8,0,-96,0.45485800263207
3.8,0,-95,0.45893900475577
3.8,0,-94,0.479322548315129
3.8,0,-93,0.517470461269874
3.8,0,-92,0.574658165336717
3.8,0,-91,0.652014773373754
3.8,0,-90,0.75055175040777
3.8,0,-89,0.87117139436504
3.8,0,-88,1.01464906023668
3.8,0,-87,1.18158712517593
3.8,0,-86,1.3723436600879
3.8,0,-85,1.58694384981011
3.8,0,-84,1.82498638845395
3.8,0,-83,2.08555933246119
3.8,0,-82,2.36717945025875
3.8,0,-81,2.6677657876068
3.8,0,-80,2.98465257859236
3.8,0,-79,3.31464006383113
3.8,0,-78,3.65407580447419
3.8,0,-77,3.99895502852738
3.8,0,-76,4.34502707294367
3.8,0,-75,4.68789596180435
3.8,0,-74,5.02310585993986
3.8,0,-73,5.34620559250621
3.8,0,-72,5.65278975155979
3.8,0,-71,5.9385165461439
3.8,0,-70,6.19910425718881
3.8,0,-69,6.43030896533316
3.8,0,-68,6.6278863187604
3.8,0,-67,6.78753974995392
3.8,0,-66,6.90485698995534
3.8,0,-65,6.97523621784342
3.8,0,-64,6.9938030128479
3.8,0,-63,6.95531988575858
3.8,0,-62,6.85409236287106
3.8,0,-61,6.68388100631223
3.8,0,-60,6.43784076794612
3.8,0,-59,6.10853485623569
3.8,0,-58,5.68812510567362
3.8,0,-57,5.1689570247884
3.8,0,-56,4.54500171914004
3.8,0,-55,3.81511184563866
3.8,0,-54,2.98995048710803
3.8,0,-53,2.10558060349002
3.8,0,-52,1.24574197471522
3.8,0,-51,0.562895519967204
3.8,0,-50,0.255247237685893
3.8,0,-49,0.453326390947398
3.8,0,-48,1.10458277620717
3.8,0,-47,2.01960656408923
3.8,0,-46,3.00931034131529
3.8,0,-45,3.95128026254069
3.8,0,-44,4.78256022286084
3.8,0,-43,5.47501015206759
3.8,0,-42,6.01720104914537
3.8,0,-41,6.40441648884933
3.8,0,-40,6.6336429800091
3.8,0,-39,6.70111191794474
3.8,0,-38,6.60107857397021
3.8,0,-37,6.32527453859474
3.8,0,-36,5.86301022074503
3.8,0,-35,5.2025855744881
3.8,0,-34,4.33611193111745
3.8,0,-33,3.27334588801558
3.8,0,-32,2.07727821706907
3.8,0,-31,0.93707476189139
3.8,0,-30,0.230111414402658
3.8,0,-29,0.333746697058839
3.8,0,-28,1.19497668204918
3.8,0,-27,2.39721562702094
3.8,0,-26,3.59042164658102
3.8,0,-25,4.60990420356084
3.8,0,-24,5.39989654016472
3.8,0,-23,5.94754240347855
3.8,0,-22,6.25244713481315
3.8,0,-21,6.31483629756716
3.8,0,-20,6.13127195326458
3.8,0,-19,5.69358233917437
3.8,0,-18,4.99041490120205
3.8,0,-17,4.01443944509983
3.8,0,-16,2.78571674364517
3.8,0,-15,1.41748619360357
3.8,0,-14,0.247573919285635
3.8,0,-13,-0.145560893083741
3.8,0,-12,0.507042772808039
3.8,0,-11,1.76751547962961
3.8,0,-10,3.09625425207774
3.8,0,-9,4.23057762838775
3.8,0,-8,5.09132068588102
3.8,0,-7,5.66719174278295
3.8,0,-6,5.96449395667243
3.8,0,-5,5.99002884652828
3.8,0,-4,5.74620333955858
3.8,0,-3,5.23106710514788
3.8,0,-2,4.44277431409072
3.8,0,-1,3.39375357413872
