"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,90,-180,-7.64869323130409
3.8,90,-179,-7.7307686774452
3.8,90,-178,-8.21332860111477
3.8,90,-177,-9.09051411518748
3.8,90,-176,-10.3213585915734
3.8,90,-175,-11.7180421669712
3.8,90,-174,-12.7366146807153
3.8,90,-173,-12.6335721883959
3.8,90,-172,-11.4577208125818
3.8,90,-171,-9.96329972383222
3.8,90,-170,-8.64674769721148
3.8,90,-169,-7.66423186432168
3.8,90,-168,-7.03688178627251
3.8,90,-167,-6.75013011712677
3.8,90,-166,-6.7830027620952
3.8,90,-165,-7.11104724082083
3.8,90,-164,-7.69556781166664
3.8,90,-163,-8.45759125837148
3.8,90,-162,-9.23529392695034
3.8,90,-161,-9.76122616943371
3.8,90,-160,-9.77071794169568
3.8,90,-159,-9.23510082109836
3.8,90,-158,-8.38724783971001
3.8,90,-157,-7.49385569907279
3.8,90,-156,-6.71816950954442
3.8,90,-155,-6.12974889432008
3.8,90,-154,-5.74595895357822
3.8,90,-153,-5.55799456641353
3.8,90,-152,-5.54125000316564
3.8,90,-151,-5.65678724419479
3.8,90,-150,-5.84917960830672
3.8,90,-149,-6.04622764291201
3.8,90,-148,-6.16776882181302
3.8,90,-147,-6.1481109544802
3.8,90,-146,-5.96322513757453
3.8,90,-145,-5.64092866584669
3.8,90,-144,-5.24398686648028
3.8,90,-143,-4.84193154353966
3.8,90,-142,-4.49165030032706
3.8,90,-141,-4.23139375677933
3.8,90,-140,-4.08239352511389
3.8,90,-139,-4.05209249431364
3.8,90,-138,-4.13595293939296
3.8,90,-137,-4.31685672430161
3.8,90,-136,-4.56220759333207
3.8,90,-135,-4.82021977561702
3.8,90,-134,-5.01962990596766
3.8,90,-133,-5.08013893488626
3.8,90,-132,-4.93780834733232
3.8,90,-131,-4.57410310092777
3.8,90,-130,-4.02424797524685
3.8,90,-129,-3.35658671258276
3.8,90,-128,-2.64267933112468
3.8,90,-127,-1.93888387812095
3.8,90,-126,-1.28230966996866
3.8,90,-125,-0.694253867491668
3.8,90,-124,-0.185230392422595
3.8,90,-123,0.240878952862241
3.8,90,-122,0.583992958920335
3.8,90,-121,0.846066518937933
3.8,90,-120,1.0300451961209
3.8,90,-119,1.13926785438243
3.8,90,-118,1.17713889547407
3.8,90,-117,1.14696108641249
3.8,90,-116,1.0518652650363
3.8,90,-115,0.89480129250706
3.8,90,-114,0.67857191642148
3.8,90,-113,0.405902186341395
3.8,90,-112,0.0795445076030541
3.8,90,-111,-0.297575093037024
3.8,90,-110,-0.72215972726026
3.8,90,-109,-1.19028103884821
3.8,90,-108,-1.69704326824838
3.8,90,-107,-2.23616687686565
3.8,90,-106,-2.79950585812764
3.8,90,-105,-3.37655300026643
3.8,90,-104,-3.95405631316438
3.8,90,-103,-4.51596449212066
3.8,90,-102,-5.0440049101252
3.8,90,-101,-5.51918664869374
3.8,90,-100,-5.92429149650446
3.8,90,-99,-6.24692483175797
3.8,90,-98,-6.48215508057861
3.8,90,-97,-6.63362848550186
3.8,90,-96,-6.71260339731291
3.8,90,-95,-6.73530448730577
3.8,90,-94,-6.71964741250369
3.8,90,-93,-6.68233515259241
3.8,90,-92,-6.63680759000805
3.8,90,-91,-6.59200349902789
3.8,90,-90,-6.55163160188046
3.8,90,-89,-6.51364495351879
3.8,90,-88,-6.46977686783575
3.8,90,-87,-6.40526237861366
3.8,90,-86,-6.29919762831569
3.8,90,-85,-6.1262665544453
3.8,90,-84,-5.86048920601177
3.8,90,-83,-5.48082841588946
3.8,90,-82,-4.97700487452713
3.8,90,-81,-4.35283617031009
3.8,90,-80,-3.62526284653387
3.8,90,-79,-2.81968926188063
3.8,90,-78,-1.96416787098638
3.8,90,-77,-1.08480727087487
3.8,90,-76,-0.203336633367037
3.8,90,-75,0.663489866817758
3.8,90,-74,1.50341175653365
3.8,90,-73,2.30775889573155
3.8,90,-72,3.07051322481805
3.8,90,-71,3.78750425618677
3.8,90,-70,4.45578052982948
3.8,90,-69,5.07314223170871
3.8,90,-68,5.63780181567418
3.8,90,-67,6.14813861409973
3.8,90,-66,6.60251872382981
3.8,90,-65,6.99915778357506
3.8,90,-64,7.33600969791042
3.8,90,-63,7.6106684341177
3.8,90,-62,7.82027280825574
3.8,90,-61,7.96140596577548
3.8,90,-60,8.02998241993029
3.8,90,-59,8.02111657113319
3.8,90,-58,7.92896856420151
3.8,90,-57,7.74656823689854
3.8,90,-56,7.46563060739994
3.8,90,-55,7.07640842132341
3.8,90,-54,6.56770707838102
3.8,90,-53,5.92738520287914
3.8,90,-52,5.14415500568457
3.8,90,-51,4.21269489366101
3.8,90,-50,3.14679921547171
3.8,90,-49,2.00983612162777
3.8,90,-48,0.969882178410312
3.8,90,-47,0.336056049668997
3.8,90,-46,0.414291894157608
3.8,90,-45,1.19456484926969
3.8,90,-44,2.35989643721446
3.8,90,-43,3.60019035036819
3.8,90,-42,4.7467430078105
3.8,90,-41,5.73283045954673
3.8,90,-40,6.5391547322934
3.8,90,-39,7.16404527621206
3.8,90,-38,7.61050558683414
3.8,90,-37,7.88098700431793
3.8,90,-36,7.97529173918066
3.8,90,-35,7.88965896640709
3.8,90,-34,7.61629449943382
3.8,90,-33,7.14322538980125
3.8,90,-32,6.45499213374159
3.8,90,-31,5.53608139673047
3.8,90,-30,4.38288700668932
3.8,90,-29,3.04019879495093
3.8,90,-28,1.6937363436955
3.8,90,-27,0.79655250925841
3.8,90,-26,0.883921026299788
